,A,blaI
SRX4498318,-0.5927730633,-0.0021489561
SRX4498320,-0.5521759105,0.0311803197
SRX4498316,-0.144849625,-0.0293560588
SRX4498312,0.0063961546000000005,-0.0013562983
SRX4498308,0.11019253150000001,0.048540290900000005
SRX4498314,-0.0612051307,-0.0714788058
SRX4498310,-0.0553835555,0.0242948132
SRX4498319,-3.3303738495,0.4285099406
SRX4498317,-3.5249388295,0.46954850410000004
SRX4498311,-0.3385551577,-0.5778599082
SRX4498315,0.018869909100000002,-0.43642472330000004
SRX4498309,-0.20244235100000002,-0.41954072400000003
SRX4498313,-0.508582517,-0.3812092442
SRX4615568,-0.35229175620000003,0.23222287900000002
SRX4615570,0.35229175620000003,-0.23222287900000002
SRX727246,-0.024927561900000002,-0.6070703741
SRX727243,-0.48510131,-0.5992185337
SRX727247,0.291368834,-1.7739755786
SRX727244,-0.0893599588,-1.5700266664
SRX727245,2.1440304013,-2.0775803438000002
SRX727248,2.2795107261,-1.9035284987
SRX727249,0.2004973411,0.036540212100000004
SRX727251,-0.1488999752,0.0245582979
SRX727250,-0.051597365900000004,-0.06109851
SRX4498332,0.8177735193000001,0.019677773500000002
SRX4498334,0.5030701764000001,-0.1947572357
SRX4498335,0.0816071714,-0.23852150400000002
SRX4498337,0.0864539034,-0.1181652723
SRX4498324,0.10359880090000001,-0.1206388754
SRX4498326,-0.20581467350000002,0.1022016431
SRX4498328,0.047656561,-0.043000276000000004
SRX4498330,0.0545593115,0.0614375083
SRX4498336,0.7588474460000001,0.7136996627000001
SRX4498333,0.4435380875,0.5998046753
SRX4498338,0.9554700928000001,0.5904083407
SRX4498329,2.2705788666,0.3684462411
SRX4498325,2.3668126325,0.2990833128
SRX4498327,2.7350710884,0.2511198459
SRX4498331,2.3428318134,0.3638076436
