,0
gene_id,Rv2478c
name,Rv2478c
operon,Op1568
gene_product,hypothetical protein
COG,"Replication, recombination and repair"
regulator,"Rv0081,csoR,Rv1353c,Rv3066,Rv3488,espR"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2478c"">External Database</a>"
