,-0.12385846297840591,-0.10616439683863364,-0.08847033069886137,-0.0707762645590891,-0.05308219841931683,-0.03538813227954456,-0.017694066139772285,-1.3877787807814457e-17,0.017694066139772258,0.035388132279544515,0.0530821984193168,0.07077626455908909,0.08847033069886134,0.1061643968386336,0.12385846297840589,0.14155252911817817,0.15924659525795043,0.1769406613977227,0.19463472753749494,0.21232879367726726
thresh,-0.0973173637687475,0.0973173637687475,1,,,,,,,,,,,,,,,,,
unreg,1,0,1,2,9,84,778,2241,680,74,17,7,3,4,2,1,1,1,0,0
unreg_genes,['Rv0699'],[],[],[],[],[],[],[],[],[],[],[],[],['pks15' 'Rv2960c' 'lipX' 'fadD22'],['Rv2958c' 'Rv2959c'],['Rv3137'],['PPE50'],['PPE51'],[],[]
