,-0.18062532746400242,-0.15283681554646358,-0.12504830362892475,-0.0972597917113859,-0.06947127979384707,-0.04168276787630823,-0.013894255958769391,0.013894255958769447,0.041682767876308285,0.06947127979384712,0.09725979171138596,0.1250483036289248,0.15283681554646364,0.18062532746400248,0.20841383938154132,0.23620235129908015,0.263990863216619,0.29177937513415786,0.3195678870516967,0.34735639896923554
thresh,-0.0833655357526165,0.0833655357526165,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,1,3,17,2051,1799,22,3,0,0,0,0,0,3,6,0,0,0
unreg_genes,['Rv2837c'],[],[],['vapB15'],[],[],[],[],[],[],[],[],[],[],[],['Rv2819c' 'Rv2816c' 'Rv2817c'],['Rv2818c' 'Rv2824c' 'Rv2823c' 'Rv2822c' 'Rv2820c' 'Rv2821c'],[],[],[]
