,-0.06670299652189067,-0.033351498260945335,0.0,0.03335149826094534,0.06670299652189067,0.100054494782836,0.13340599304378137,0.16675749130472667,0.20010898956567202,0.23346048782661738,0.2668119860875627,0.30016348434850804,0.3335149826094534,0.3668664808703987,0.40021797913134405,0.4335694773922894,0.4669209756532347,0.50027247391418,0.5336239721751254,0.5669754704360707
thresh,-0.050027247391418,0.050027247391418,2,,,,,,,,,,,,,,,,,
unreg,2,49,3792,39,3,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0
whiB6,0,0,9,1,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0
unreg_genes,['Rv2422' 'thrB'],[],[],[],['usfY' 'Rv1986' 'lrpA'],['Rv3289c' 'lat'],[],[],[],['espI' 'eccD1' 'espK'],['espJ'],[],[],[],[],[],[],[],[],[]
whiB6_genes,[],[],"['vapB10' 'vapC10' 'Rv1871c' 'PE_PGRS41' 'espA' 'glfT1' 'espL' 'eccA1'
 'rfbE']",['espE'],['whiB6'],[],[],[],[],[],[],['PPE68'],['PE35'],[],[],['esxA' 'esxB'],[],[],[],[]
