,A,whiB6
R2,,0.04843576115383097
xmin,,-7.2327062433
xmid,,
xmax,,5.365678749
ystart,,-2.484241428337592
yend,,2.0086499892026737
SRX3995807,0.0574073609,-1.8505096902
SRX3995806,-0.0768024685,-1.389913683
SRX3995809,0.5721227786,-1.0564141965
SRX3995808,0.0947530612,-1.4514574719
SRX4619048,0.266167517,-2.3698064766
SRX4619047,0.1104892412,-1.0315540952
SRX4619049,0.48016454820000004,-1.3641510574
SRX4619050,0.5030804889,-2.026434038
SRX3995804,0.21646125530000002,-0.157867939
SRX3995805,-0.21646125530000002,0.157867939
SRX5089845,3.8508098517000002,1.2234267693
SRX5089844,3.5213764183,0.6895524695
SRX5089860,0.2354162435,-0.2933124083
SRX5089859,-0.1764699962,0.1065749196
SRX5089858,-0.058946247300000004,0.18673748880000002
SRX5089854,1.9521718634,-0.1223710474
SRX5089853,1.658523755,-0.6885546784000001
SRX5089852,1.5642307630999999,-0.8273617677
SRX5089856,3.8614417081,1.790637851
SRX5089855,3.698484932,1.8117502941999999
SRX5089857,4.461252376,1.7170196034
SRX5089868,1.7251333368,-1.1280323828
SRX5089866,1.5994860733,-1.2200655115
SRX5089867,1.4921244545,-1.1622008445
SRX5089870,0.2706365093,0.0421488905
SRX5089869,0.5548676822,0.1578300125
SRX5089871,0.4916460966,-0.024776174600000003
SRX5089846,1.58810418,0.09029757790000001
SRX5089848,1.9941265449,0.0998580592
SRX5089847,1.5312357099,0.06836430760000001
SRX5089849,4.6888925492,2.0551746786
SRX5089850,4.3381592381,1.8175201098
SRX5089851,4.7263715024,2.0922384314
SRX5089863,0.6742624337,-1.6593990717
SRX5089861,0.8446077837,-1.6187457006
SRX5089862,0.7543071456,-1.4340267412
SRX5089865,1.0401241761,-0.6713061063
SRX5089864,0.5722005286,-0.1888786459
SRX5388955,0.2573367554,-0.14950286200000001
SRX5388957,0.0666029175,-0.0503572302
SRX5388954,-0.0696983937,0.1331222698
SRX5388956,-0.2542412792,0.0667378225
SRX5388960,2.313216712,-0.8049616219
SRX5388961,1.9266679982000001,0.3116313589
SRX5388959,2.065651748,-0.6217297726000001
SRX5388958,2.3216465172,-0.38796815760000003
SRX5388964,2.3674877747,0.36218996670000003
SRX5388965,1.8851382852,0.910404466
SRX5388962,1.8649267809,0.7596751061
SRX5388963,2.1348269737,0.5586148989
SRX6889335,-0.2083134952,0.0444652386
SRX6889333,0.2083134952,-0.0444652386
SRX6810002,-0.2836789151,-0.01466574
SRX6810004,0.2188970663,-0.2740208965
SRX6810003,0.0647818488,0.28868663640000003
SRX6810006,-0.30461405080000004,3.8124689018
SRX6810005,-0.3276124769,3.8370892337
SRX6810007,-0.8013193084,3.7342447544
ERX1818322,0.2283480652,0.3256174919
ERX1818321,-0.2283480652,-0.3256174919
SRX2617830,-0.4345220254,0.2183507032
SRX2617831,-0.4632532741,0.2624125603
SRX2617833,1.2375022195,1.6536258548
SRX2617832,0.825059717,1.5513460676
SRX2617828,0.3832070849,0.10642563270000001
SRX2617827,-0.16370541360000002,-0.068154188
SRX2617829,-0.2195016713,-0.038271444700000004
SRX3456119,-0.18676617980000002,0.2154444232
SRX3456118,0.1090112241,0.0041641183
SRX3456117,-0.4361348487,0.4536992604
SRX3456101,-0.1350983469,0.0857212757
SRX3456099,-0.0028022639,-0.0147054994
SRX3456100,0.1379006109,-0.07101577640000001
SRX3456107,-10.1567099135,-7.2327062433
SRX3456105,-10.2603043463,-7.1088290542
SRX4374122,0.9444710854,-1.3485948301000001
SRX4374121,0.6452183976,-0.589827992
SRX4374123,0.8547491415,-1.1023396742
SRX4374124,-0.3547325,0.27687884690000003
SRX4374125,0.1152292862,-0.3822405325
SRX4374126,0.2395032138,0.1053616857
SRX4374127,0.4199634678,-0.29888200800000003
SRX4374128,-0.37430553120000004,0.3448768609
SRX4374129,0.0816363036,-1.0925560555
SRX4374130,-0.30185596340000004,-0.2178717251
SRX4374132,-0.2157987139,-0.8168194271
SRX4374131,0.1189287635,-0.8039509720000001
SRX4374133,1.3219270908,1.2138114062
SRX4374135,1.0760068591,-0.40518736920000004
SRX4374134,1.4308154219,1.0281564231
SRX4374138,0.0054356177,-0.1580272921
SRX4374136,-0.6093593672000001,0.5885208624
SRX4374137,0.0199900741,-0.0072192022
SRX1091379,-2.0122412078,1.5162295576
SRX1091380,-2.0009032896,1.3603040808
SRX1091377,-0.1545105307,0.0214376005
SRX1091378,0.1545105307,-0.0214376005
SRX4647145,-0.1352915444,-0.17592758560000002
SRX4647146,-0.0467616313,-0.588230557
SRX4647147,-0.09297891380000001,-0.0774643696
SRX4647144,0.0072600449,-0.0441910121
SRX4647143,0.09912535900000001,0.10207611080000001
SRX4647142,-0.10638540390000001,-0.057885098700000005
SRX4647155,0.14217412910000002,2.8957614014
SRX4647152,-0.0630577636,2.7777309829
SRX4647153,0.0049380589,2.9568853361
SRX4647154,0.657824119,2.5077830842
SRX4647148,-0.29995748510000003,1.7613698184
SRX4647149,-0.3131286303,1.6257591737000001
SRX4647151,-0.5583748282000001,1.7444540849
SRX4647150,-0.3851048703,2.0363222036
SRX4647123,-0.0364425975,0.40695483120000003
SRX4647124,-0.1104309276,-0.2330351581
SRX4647125,0.1468735251,-0.17391967300000002
SRX3103185,0.1388711581,2.0084617768
SRX3103189,0.2351983709,0.8975643390000001
SRX3103187,0.1743139596,1.2921993658
SRX3103184,0.0919350768,0.5774886555000001
SRX3103188,0.0563236583,-0.5659310433
SRX3103186,-0.1482587351,-0.011557612200000001
SRX1372110,-0.8330542053000001,0.0284841895
SRX1372111,-1.2896976901000001,0.037381129400000004
SRX1372108,-0.0243022045,0.2022660574
SRX1372109,0.0243022045,-0.2022660574
SRX4506085,-0.1452271664,-0.39719361400000003
SRX4506083,-0.1835162941,-0.1790518831
SRX4506089,-0.1987451458,0.0984068183
SRX4506087,-0.38806127360000003,0.1046061918
SRX4506077,-0.1232039909,0.3231493473
SRX4506079,-0.1297458816,-0.1767420714
SRX4506075,0.2935352986,-0.18032056330000001
SRX4506081,-0.040585426,0.0339132874
SRX4506084,-1.8505004724,-1.8252660726
SRX4506086,-1.6502396766,-1.0479150718
SRX4506088,-1.4029172962,-1.069366886
SRX4506090,-1.7684721564,-1.4522524985
SRX4506078,-1.368615379,-0.2404540497
SRX4506080,-1.0948805761,-0.2548082488
SRX4506082,-1.3213384266000001,-0.4161050676
SRX4506076,-1.3939160264,0.0426563514
SRX5352221,-1.265309386,-2.173593239
SRX5352223,-1.2354875594,-2.7747926367
SRX5352222,-1.6843375147000001,-3.7406195849
SRX5352229,-2.8349112324,2.3370387026
SRX5352227,-2.7820506254,2.3226038113
SRX5352228,-2.7202702197,2.389882955
SRX5352231,1.2697527101000001,-2.2494870924
SRX5352232,0.9251601821000001,-1.8966995376
SRX5352230,1.4517426802,-1.6882092477000001
SRX5352225,-0.1555542014,-4.5508589276
SRX5352224,-0.0434928908,-3.8187213257
SRX5352226,0.10460072740000001,-3.6195594419
SRX5352220,-0.2214086059,-0.249183752
SRX5352219,0.11807325980000001,0.11019329430000001
SRX5352218,0.1033353461,0.13899045770000001
SRX4498228,-0.030053742,0.146629627
SRX4498224,0.08545845490000001,-0.0691878018
SRX4498230,0.0355589516,0.31290268530000004
SRX4498226,0.009752091800000001,-0.1638068782
SRX4498218,0.1056353455,0.0620824748
SRX4498216,-0.2818327316,0.1761300392
SRX4498220,0.0125433136,-0.4487679416
SRX4498222,0.1636540725,0.2105554275
SRX4498225,-0.45926827680000004,-2.1941259649
SRX4498227,-0.1801506484,-1.3085947651
SRX4498231,-0.2752765354,-1.2609413922
SRX4498229,-0.1879186434,-1.6331812308
SRX4498217,-0.2213083278,-1.9212958566
SRX4498221,-0.2672619765,-1.5733535819000002
SRX4498219,-0.30309246300000003,-1.6252084501000001
SRX4498223,-0.4375169746,-1.9103934916
SRX5079928,0.2121622903,0.8550959962
SRX5079930,0.5120448636,0.3320117752
SRX5079929,0.4622312229,0.7566190135
SRX5079923,0.0027744273,0.21691767380000002
SRX5079924,0.1944402217,-0.192202592
SRX5079922,-0.0647421277,0.1282788329
SRX5079920,-0.11592955660000001,-0.06532316290000001
SRX5079921,0.09796896590000001,0.2823047128
SRX5079919,0.0179605907,-0.21698155
SRX5079926,0.0277916244,0.7009440525
SRX5079925,0.2124470685,0.45379780340000003
SRX5079927,0.2495621515,0.7423858134
SRX894005,-2.646432867,-0.6176371724
SRX894004,-2.5275534109,-0.3713363447
SRX894006,-3.240105977,-0.2592489987
SRX893999,-0.13321173390000002,0.1158209473
SRX894000,0.1141113646,0.1561857811
SRX893998,0.0191003693,-0.2720067285
SRX4647489,0.1051848437,-0.14994240320000002
SRX4647490,-0.1051848437,0.14994240320000002
SRX4647492,-0.7707708795,-1.3658160109
SRX4647491,-0.6619348796,-1.1036139164
SRX4647496,-0.2987064271,-1.3777855973
SRX4647495,-0.6793439752,-1.3677205409
SRX4647499,-0.24263565350000002,-0.7973778417
SRX4647500,-0.1490347448,-0.8553368101000001
SRX4647493,0.0086559919,0.1858793931
SRX4647494,0.0958672295,-0.3928835037
SRX4647497,-0.09461510640000001,-0.6001533536
SRX4647498,-0.1000205425,-0.7245309643000001
SRX4505482,0.2914147308,-0.4600687143
SRX4505486,0.0337838638,-0.1492493276
SRX4505484,0.2251003442,-0.8167169212000001
SRX4505473,-0.19095985140000002,-0.059069361800000005
SRX4505476,0.2649429569,0.49008466430000003
SRX4505480,-0.13615139710000002,0.0292313049
SRX4505478,-0.057889114500000005,-0.4078011494
SRX4505474,-0.0709024453,-0.1115148197
SRX4505483,-0.1083153248,0.16858102490000001
SRX4505485,0.0337479699,0.7853464348
SRX4505487,-0.1271812684,0.1849826614
SRX4505488,-0.2731420258,0.3190289556
SRX4505481,-0.4878468117,-0.4594999067
SRX4505477,-0.2253061902,-0.2337063304
SRX4505475,-0.4983204251,-0.7598100009000001
SRX4505479,-0.353365129,-0.065742251
SRX4605773,-0.3119854522,-3.9216065
SRX4605774,-0.3408189728,-3.2611526686
SRX4605772,0.2717062383,-0.1011122396
SRX4605771,-0.2717062383,0.1011122396
SRX5178871,30.3183067961,2.4477623022
SRX5178872,29.9839047164,2.0507166356
SRX5178868,0.0202108304,-0.0927792967
SRX5178870,-0.3630551155,-0.3355217601
SRX5178869,0.34284428510000003,0.4283010568
ERX1404045,0.0795103437,-0.22896494150000002
ERX1404046,-0.0795103437,0.22896494150000002
ERX1404043,0.5666595215,-0.4100855223
ERX1404044,0.11106051300000001,0.0043969452
ERX237502,-5.1042061586,-0.2779138605
ERX237505,-4.3045375967,-0.32736957710000003
ERX237506,-5.088279628,-0.6460257128
ERX237500,-3.8218380199,-1.6047208562000002
ERX237497,-3.7165220682999998,-1.3791823107
ERX237499,-2.6743047401,-1.608967846
ERX237507,0.2055122734,-0.2157476119
ERX237496,-0.08023922110000001,-0.2758421126
ERX237504,-0.1252730523,0.4915897245
ERX3772318,0.4475327261,-0.1526264762
ERX3772320,0.4368279283,-0.0554131623
ERX3772319,0.207415278,-0.0322101466
ERX3772321,0.4507711185,-0.2692680121
ERX3772322,-0.15998906000000002,-0.23702440230000002
ERX3772323,-0.2907820585,0.5062924144000001
SRX4314262,0.4045669308,-0.2561530281
SRX4314263,0.1641644414,0.1281489845
SRX4314261,-0.5687313722,0.1280040436
SRX4314265,0.6996807305,-0.0576718156
SRX4314266,0.7655837669000001,0.7288633193
SRX4314264,1.4957061696,0.2046210852
SRX4314268,1.9622155576,-0.5659308451
SRX4314267,1.7577026841,-0.3101120629
SRX4314271,2.2456093364,-0.6071415154
SRX4314272,1.8218902043,-1.2006666525
SRX4314275,2.2942606269,-0.7970429639000001
SRX4314274,2.0174463901,-1.3357529123
SRX4314273,2.2683764262,-1.4601170699
SRX4314278,2.326777389,0.23892504450000002
SRX4314276,2.8776110141,-0.3888506835
SRX4314281,2.3771295517,-0.0027877861
SRX4314279,2.5466770369000002,-0.1383152915
SRX4314280,2.1097171432,-0.1404668544
SRX4314284,2.4722826513,-0.1575352529
SRX4314283,2.3281031155,-0.6912691347000001
SRX4314282,2.279397522,-0.2512137714
SRX4314293,2.6872603412,0.10577942
SRX4314292,1.9606767461,-0.6613049422
SRX4314291,1.9158886905,-0.7346760737
SRX4314297,1.6137582328,-0.3789468614
SRX4314298,1.4786863165000002,-1.0215441244
SRX4314299,1.5807591604,-0.8338460732
SRX4314302,1.8837559997,-0.6905950095000001
SRX4314301,1.8445882905,-0.8345312271
SRX4314300,1.7641115901000002,-0.383354638
SRX4314305,2.0085261878,-0.16579141790000002
SRX4314304,1.4135311502,0.0982333922
SRX4314303,1.8561405725000002,0.5140933924000001
SRX4314309,1.9427101803000002,-0.8648226751
SRX4314306,1.9634700728,-0.5635135285
SRX4314308,1.9924188198000001,-1.0138958029
SRX4314307,1.5916045857999999,-0.23573980320000001
SRX4314311,1.9231555296,-1.2556763368000001
SRX4314317,1.4490484391,-0.5501995286
SRX4314316,1.62255972,-1.6166239654
SRX4314318,1.7937196427000002,-0.9958240920000001
SRX4314319,2.1934183707,-1.5758470033
SRX4314331,1.9266373917,0.9294450750000001
SRX4314330,1.5836837142,1.2129280597
SRX4314332,1.680817872,1.2436160099
SRX4314335,3.5606968486,1.4657147147
SRX4314334,4.212812498,1.4457834894000001
SRX4314333,4.0768520653,1.5267311911
SRX4314338,3.8671400634,1.6153611341
SRX4314336,4.1654053552,1.6987973843000002
SRX4314337,4.1625784545,1.804343642
SRX4314339,2.4403561952,1.310612014
SRX4314340,2.7914310872,1.2443019892
SRX4314341,2.3572223642,1.1623048676
SRX3686762,-4.4779937646,-0.9026911021
SRX3686763,-4.3590553946,-0.6774789695
SRX3686761,-4.6895506073,-1.0184293453
SRX3686765,-1.5475856798,0.3574818322
SRX3686769,-1.0913078645,0.6128782869
SRX3686766,-0.9426041901000001,0.5831482032
SRX3686768,-0.8527537128,0.7002822372
SRX3686764,-1.3174603471,0.389565523
SRX3686767,-1.0442040377,0.4370061011
SRX3686788,0.0344578102,0.3261030402
SRX3686791,-0.0160417235,0.1859988277
SRX3686792,0.0376697758,-0.249736584
SRX3686793,-0.0861148199,-0.2440313378
SRX3686790,0.1609047947,-0.0557654782
SRX3686789,-0.1308758373,0.037431532100000005
SRX3686829,-2.7194112820000003,0.2333597957
SRX3686830,-3.077547262,0.2551883059
SRX3686828,-2.9201724068,0.1288757151
SRX3686819,-1.3244844176,1.0912914265
SRX3686818,-1.2502928307,1.2295875679
SRX3686817,-1.7107149251,1.2798860874
SRX3686822,-0.6661338905,1.526105598
SRX3686820,-0.5342992115,1.6428108444
SRX3686821,-0.7278502837,1.5990495340000002
SRX3686743,-3.9600186739,-0.8578028045
SRX3686744,-3.9119900363999998,-0.9137766748
SRX3686745,-3.8368524341,-0.811425998
SRX3686772,-3.6402893443,-1.7220393605000002
SRX3686770,-3.3690917113,-1.9740689033
SRX3686771,-3.3868315884,-1.8971847525
SRX3686794,-0.34481318,0.2343915187
SRX3686796,-1.4960804917,0.34357206090000003
SRX3686751,-3.9519941515,-0.6927684575
