,0
gene_id,Rv3640c
name,Rv3640c
operon,Op2272
gene_product,transposase
COG,"Replication, recombination and repair"
regulator,"csoR,Rv1776c,Rv3736"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv3640c"">External Database</a>"
