,A,Rv3095
R2,,0.6824796539834113
xmin,,-3.6996939611
xmid,,-2.9762369422388124
xmax,,3.487526206
ystart,,-7.458897906945898
yend,,9.195362862767363
SRX3995807,-3.4201821038,-0.8791296374
SRX3995806,-2.3152471288,-1.1295032713
SRX3995809,-2.7434121914,-0.7413015266
SRX3995808,-0.8997776749,-0.5219564042
SRX4619048,-3.2861339083,-1.0265546061
SRX4619047,-1.5660768255000002,-0.7860437515
SRX4619049,-1.6940012776,-0.2486467068
SRX4619050,-2.9422499646,-0.7203299575000001
SRX3995804,-0.8689581608,-0.07031464280000001
SRX3995805,0.8689581608,0.07031464280000001
SRX5089845,0.7948396861,0.6104679955
SRX5089844,0.887828962,0.3608706873
SRX5089860,-0.0705578614,-0.0004841431
SRX5089859,0.40851650770000003,0.0273260286
SRX5089858,-0.3379586463,-0.026841885500000003
SRX5089854,0.0983017951,-0.0778192442
SRX5089853,-0.0215651622,-0.1266991864
SRX5089852,-0.1213206674,0.0223658225
SRX5089856,-0.7303952783000001,-0.3082174523
SRX5089855,-1.2073160574,-0.3795547098
SRX5089857,-1.2846994069,-0.2964251258
SRX5089868,-3.3158240244,-0.6855076634
SRX5089866,-3.0415815649,-0.6982346813
SRX5089867,-2.8358800434,-0.8918471355
SRX5089870,-2.5686769731,-0.773910341
SRX5089869,-2.5726219738,-0.8037450737
SRX5089871,-2.0624884268,-0.4732558564
SRX5089846,-1.1162784383,-0.291314583
SRX5089848,-0.6915279139,-0.09667550870000001
SRX5089847,-0.9283894869,-0.4379595196
SRX5089849,-2.0247400421,-0.4591185706
SRX5089850,-1.2941307023,-0.2632309158
SRX5089851,-1.5061046556000002,-0.1796992942
SRX5089863,-4.0670893182,-0.9978770469
SRX5089861,-3.9033767055,-0.9799485828000001
SRX5089862,-4.1076800337,-1.0262259247
SRX5089865,-2.9662098845,-0.70234428
SRX5089864,-3.2403781596,-0.7829349927
SRX5388955,-0.2677064921,-0.046901671000000006
SRX5388957,-0.0969748514,-0.0406823311
SRX5388954,0.36123412450000003,0.1412426859
SRX5388956,0.003447219,-0.0536586837
SRX5388960,2.4245690487,-0.1637753214
SRX5388961,2.7414082418,0.0292491707
SRX5388959,2.6064445457,-0.19433997800000002
SRX5388958,1.8699540978,-0.1972113238
