,-0.28122324381074165,-0.23435270317561804,-0.18748216254049443,-0.14061162190537083,-0.09374108127024722,-0.04687054063512361,0.0,0.04687054063512358,0.09374108127024722,0.14061162190537085,0.18748216254049443,0.23435270317561802,0.28122324381074165,0.3280937844458653,0.3749643250809888,0.42183486571611245,0.4687054063512361,0.5155759469863597,0.5624464876214834,0.6093170282566069
thresh,-0.30465851412830347,0.30465851412830347,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,2,111,3665,124,3,0,0,0,0,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Rv0841'],[],[]
