,0
gene_id,Rv0997a
name,Rv0997a
operon,Op648
gene_product,hypothetical protein
COG,No COG annotation
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0997a"">External Database</a>"
