sample,Rv2224d
SRX4505477,-0.6167887308000001
SRX4505475,1.6197826849
SRX4505479,0.7534493024000001
SRX4605773,0.4819819731
SRX4605774,0.8630638976
SRX4605772,-0.7040736895
SRX4605771,0.7040736895
SRX5178871,-0.7267474809000001
SRX5178872,-0.7452456886000001
SRX5178868,0.0825788029
SRX5178870,-0.8862789545
SRX5178869,0.8037001516000001
ERX1404045,-1.4822268232
ERX1404046,1.4822268232
ERX1404043,0.1036256203
ERX1404044,-0.4026035133
ERX237502,0.0
ERX237505,2.4093120303
ERX237506,0.0
ERX237500,1.0169216075
ERX237497,0.8821889265
ERX237499,1.214061389
ERX237507,0.0
ERX237496,0.0
ERX237504,0.0
ERX3772318,0.5343936492
ERX3772320,0.24135779770000002
ERX3772319,0.41318977830000003
ERX3772321,-0.9744058246
ERX3772322,0.5037598248
ERX3772323,0.4706459998
SRX4314262,-1.5418570303
SRX4314263,0.3775508757
SRX4314261,1.1643061546
SRX4314265,0.2915239826
SRX4314266,0.2255124218
SRX4314264,0.0165484226
SRX4314268,-2.3966561996
SRX4314267,-2.2492044913
SRX4314271,-1.6477535489
SRX4314272,-1.046540031
SRX4314275,-3.0565672787000002
SRX4314274,-2.0619166483
SRX4314273,-1.2977466008
SRX4314278,-3.117729691
SRX4314276,-1.9163144015
SRX4314281,-2.5892057009
SRX4314279,-2.3246875388
SRX4314280,-1.3968915902
SRX4314284,-2.2637019732
SRX4314283,-2.5397934343
SRX4314282,-5.5532340406
SRX4314293,-1.5429315881
SRX4314292,-1.0332820254
SRX4314291,-5.5532340406
SRX4314297,-2.7005956822
SRX4314298,-2.7346940537
SRX4314299,-1.7662462694
SRX4314302,-2.3494991465
SRX4314301,-2.1789365732
SRX4314300,-2.8448432685
SRX4314305,-3.3480377853
SRX4314304,-2.4816244622
SRX4314303,-1.9534102516
SRX4314309,-2.4935132208
SRX4314306,-1.2826137912
SRX4314308,-1.2115445572
SRX4314307,-1.685305036
SRX4314311,-2.6864141771
SRX4314317,-1.1900589035
SRX4314316,-0.5158560598
SRX4314318,-0.9538785496000001
SRX4314319,-1.4686823482
SRX4314331,-1.3884440108
SRX4314330,-1.3874193731
SRX4314332,-1.4137154378
SRX4314335,-1.2771367398
SRX4314334,-1.2484501261
SRX4314333,-1.5339329614000001
SRX4314338,-1.6324371047000001
SRX4314336,-1.3956748352
SRX4314337,-1.5669228204999999
SRX4314339,-1.4320513827
SRX4314340,-1.8158921597000002
SRX4314341,-1.4780742042
SRX3686762,1.9113402889
SRX3686763,2.2872101714
SRX3686761,2.2408698017
SRX3686765,1.9981368775
SRX3686769,1.5804759759
SRX3686766,1.7092528242
SRX3686768,0.7828206857000001
SRX3686764,1.2261423955
SRX3686767,0.47641460820000003
SRX3686788,-1.4241355246
SRX3686791,-1.4241355246
SRX3686792,1.9692604337000001
SRX3686793,-1.4241355246
SRX3686790,1.1327783053
SRX3686789,1.1703678347
SRX3686829,1.8658997298000002
SRX3686830,1.3353390344
SRX3686828,0.9367424545
SRX3686819,1.0942845456
SRX3686818,1.7516975793
SRX3686817,1.2831259395
SRX3686822,2.153094771
SRX3686820,2.4666264408
SRX3686821,2.3851662685
SRX3686743,2.4139789559000002
SRX3686744,2.6042909771
SRX3686745,1.6925399305000002
SRX3686772,1.9132911714
SRX3686770,1.9671797238000002
SRX3686771,2.2751269377
SRX3686794,-1.4241355246
SRX3686796,1.2347258413
SRX3686751,2.1845080133
SRX3686749,2.2706976772
SRX3686750,2.7133959298
SRX3686778,2.1548445017
SRX3686777,1.8823663686
SRX3686776,2.4125138256
SRX3686800,1.3176281571000001
SRX3686801,1.4327793593
SRX3686755,2.228031082
SRX3686757,1.9836729477000001
SRX3686756,2.3005876067
SRX3686784,2.0761471961
SRX3686783,2.0213827062
SRX3686782,1.534951526
SRX3686809,1.3105223801
SRX3686807,1.279476267
SRX3686808,1.5411676184
SRX3686787,2.4474565074
SRX3686786,2.186193279
SRX3686785,2.4689121798
SRX3686799,1.7108373312
SRX3686797,1.661448111
SRX3686798,1.3488078977
SRX3686746,2.4077190873
SRX3686748,2.4213093769
SRX3686747,2.2919167087
SRX3686773,2.1609060727
SRX3686774,2.3275542261
SRX3686775,2.3737320586
SRX3686754,2.644029246
SRX3686753,2.5515132144
SRX3686752,2.6527366356
SRX3686780,1.4653972571
SRX3686779,1.6678629594
SRX3686781,1.681860404
SRX3686806,1.2459197166
SRX3686805,1.179856428
SRX3686758,2.3153608674
SRX3686760,1.6984526173
SRX3686759,2.4352669616
SRX3686810,2.487353817
SRX3686811,1.8164312165
SRX3686812,2.1737502851
SRX3686813,1.2360227195
SRX3686815,1.6357551299000002
SRX3686816,1.2122844747000001
SRX3686823,1.5172190254
SRX3686824,2.0481255167
SRX3686825,2.2204209286
SRX3686827,1.9010086655
SRX3686826,1.5880653386999999
SRX7054191,0.43156449690000004
SRX7054189,-0.3937618268
SRX7054190,-0.037802670100000005
SRX7054193,0.36637202680000003
SRX7054192,0.4056397601
SRX7054194,0.4725869005
SRX4506284,1.4118054289
SRX4506280,0.6754719884
SRX4506282,-0.4784058701
SRX4506278,0.41818421380000004
SRX4506274,-0.1667665548
SRX4506273,-0.2958001049
SRX4506271,0.7729645151000001
SRX4506276,-0.31039785540000003
SRX4506283,0.1013066921
SRX4506279,-0.4926015184
SRX4506285,-0.1598214902
SRX4506281,0.5765001982
SRX4506275,-0.2886857322
SRX4506277,-0.6076050248
SRX4506272,0.1263411323
SRX2923393,-0.0091601757
SRX2923394,0.0091601757
SRX2923398,2.1299274158
