,0
gene_id,Rv2224d
name,Rv2224d
operon,Op1397
gene_product,hypothetical protein
COG,Lipid transport and metabolism
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2224d"">External Database</a>"
