,0
gene_id,Rv1138a
name,Rv1138a
operon,Op741
gene_product,hypothetical protein
COG,Lipid transport and metabolism
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv1138a"">External Database</a>"
