,0
gene_id,Rv2477c
name,Rv2477c
operon,Op1567
gene_product,macrolide ABC transporter ATP-binding protein
COG,Function unknown
regulator,"Rv0081,csoR,Rv1473A,Rv2011c,Rv2887,Rv3066,Rv3249c"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2477c"">External Database</a>"
