,0
gene_id,RV1984a
name,RV1984a
operon,Op1243
gene_product,hypothetical protein
COG,Function unknown
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/RV1984a"">External Database</a>"
