,0
gene_id,Rv0867c
name,rpfA
operon,Op561
gene_product,resuscitation-promoting factor RpfA
COG,Function unknown
regulator,"Rv0023,senX3,regX3,Rv0653c,Rv0678,kmtR,whiA,Rv2324,devR,mtrA,Rv3488,lsr2,Rv3830c"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0867c"">External Database</a>"
