,0
gene_id,Rv2914c
name,pknI
operon,Op1829
gene_product,serine/threonine-protein kinase PknI
COG,Transcription
regulator,"Rv0195,Rv0302"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2914c"">External Database</a>"
