sample,Rv3753c
SRX3995807,-0.0781781618
SRX3995806,-0.1154553707
SRX3995809,-0.0734962916
SRX3995808,0.3177118108
SRX4619048,-0.1140482356
SRX4619047,0.1660826956
SRX4619049,0.5099707991
SRX4619050,-0.2865614601
SRX3995804,-0.008559116
SRX3995805,0.008559116
SRX5089845,-0.0154119618
SRX5089844,-0.12695037
SRX5089860,-0.1029537236
SRX5089859,-0.0650288542
SRX5089858,0.1679825778
SRX5089854,-0.14358995230000002
SRX5089853,-0.3048017606
SRX5089852,-0.3107093835
SRX5089856,0.0839075222
SRX5089855,0.2311188431
SRX5089857,0.0029662423
SRX5089868,-0.0667843307
SRX5089866,-0.1177301168
SRX5089867,-0.35383319620000003
SRX5089870,0.3412945799
SRX5089869,0.3046105261
SRX5089871,0.150916472
SRX5089846,-0.08307249550000001
SRX5089848,-0.1730189134
SRX5089847,-0.20089386350000002
SRX5089849,-0.1799962111
SRX5089850,0.0431696195
SRX5089851,-0.015852922800000002
SRX5089863,-0.1025310167
SRX5089861,-0.0604278527
SRX5089862,0.027852840700000003
SRX5089865,0.3128191429
SRX5089864,0.3582859527
SRX5388955,0.0089132347
SRX5388957,-0.012331436500000001
SRX5388954,-0.0524076583
SRX5388956,0.0558258601
SRX5388960,-1.0946906944
SRX5388961,-1.4011489251
SRX5388959,-0.9665837922
SRX5388958,-1.1166923813
SRX5388964,-0.8570387116
SRX5388965,-0.8560264187000001
SRX5388962,-0.8550029871
SRX5388963,-0.8085936837000001
SRX6889335,0.020986989100000002
SRX6889333,-0.020986989100000002
SRX6810002,0.0055437046
SRX6810004,-0.45095962970000003
SRX6810003,0.4454159251
SRX6810006,0.23529608070000002
SRX6810005,-0.3646685968
SRX6810007,0.0593292866
ERX1818322,0.0811175175
ERX1818321,-0.0811175175
SRX2617830,0.1938631633
SRX2617831,0.2396586322
SRX2617833,-0.4042393246
SRX2617832,-0.5225028429
SRX2617828,0.0735742777
SRX2617827,-0.0098575476
SRX2617829,-0.06371673010000001
SRX3456119,0.148389449
SRX3456118,-0.0137499725
SRX3456117,0.0902745788
SRX3456101,0.1630194657
SRX3456099,-0.2611494179
SRX3456100,0.09812995220000001
SRX3456107,2.7093376814
SRX3456105,2.4705043985
SRX4374122,0.4269315394
SRX4374121,0.40630865650000003
SRX4374123,0.3087909633
SRX4374124,0.0617111459
SRX4374125,-0.0631497891
SRX4374126,0.0014386432000000002
SRX4374127,-0.7076161043
SRX4374128,-0.0641276369
SRX4374129,-0.7990010289
SRX4374130,-0.5926454840000001
SRX4374132,-0.8696215226
SRX4374131,-0.9032978317
SRX4374133,-0.6848040755
SRX4374135,-1.4201017655000001
SRX4374134,-0.9922125682
SRX4374138,-1.1968412809
SRX4374136,-0.8637890047000001
SRX4374137,-0.9826035088
SRX1091379,1.0703175759
SRX1091380,0.9638723462000001
SRX1091377,-0.0113232659
SRX1091378,0.0113232659
SRX4647145,0.1131706403
SRX4647146,-0.013355731800000001
SRX4647147,-0.07750141170000001
SRX4647144,0.020627218200000002
SRX4647143,-0.015709967300000002
SRX4647142,-0.0049172509000000005
SRX4647155,-0.4848520336
SRX4647152,-0.2674407379
SRX4647153,-0.301607336
SRX4647154,-0.5118558486
SRX4647148,-0.5377428665
SRX4647149,-0.5297807169000001
SRX4647151,-0.566479835
SRX4647150,-0.5172203754
SRX4647123,-0.0909305754
SRX4647124,0.0119608169
SRX4647125,0.0789697585
SRX3103185,-0.35642674300000005
SRX3103189,-0.42978261980000004
SRX3103187,-0.241886064
SRX3103184,-0.12179884690000001
SRX3103188,-0.032972146800000005
SRX3103186,0.1547709937
SRX1372110,-0.23022028100000003
SRX1372111,0.07104477370000001
SRX1372108,0.3257223493
SRX1372109,-0.3257223493
SRX4506085,0.1550645186
SRX4506083,0.1825629963
SRX4506089,0.13802455090000001
SRX4506087,0.1788089985
SRX4506077,0.057784166000000005
SRX4506079,0.0124571561
SRX4506075,-0.14347894120000002
SRX4506081,0.0732376191
SRX4506084,-0.3424026341
SRX4506086,-0.2582170719
SRX4506088,-0.3451730823
SRX4506090,-0.4396608562
SRX4506078,-0.5254533609
SRX4506080,-0.5182052687
SRX4506082,-0.26149325160000003
SRX4506076,-0.43662735690000004
SRX5352221,0.1201318014
SRX5352223,0.0455736397
SRX5352222,0.0900414603
SRX5352229,1.1013187048
SRX5352227,1.1126003831
SRX5352228,1.1238908507
SRX5352231,-0.4067057697
SRX5352232,-0.39934512990000004
SRX5352230,-0.7331016391
SRX5352225,0.6210473948
SRX5352224,0.5333988717
SRX5352226,0.6463739882
SRX5352220,-0.1003897742
SRX5352219,-0.0254094528
SRX5352218,0.125799227
SRX4498228,0.2671950831
SRX4498224,0.3064175521
SRX4498230,0.23942725280000002
SRX4498226,0.15196172160000002
SRX4498218,-0.0295697449
SRX4498216,-0.0615400521
SRX4498220,-0.027475621300000003
SRX4498222,0.11858541830000001
SRX4498225,0.4955392468
SRX4498227,0.4863284586
SRX4498231,0.3486036715
SRX4498229,0.4176024969
SRX4498217,0.3848790596
SRX4498221,0.5313843569
SRX4498219,0.6041645691
SRX4498223,0.5825983374
SRX5079928,-0.1930917584
SRX5079930,-0.4440112544
SRX5079929,-0.32334606050000003
SRX5079923,-0.2567809719
SRX5079924,-0.260761528
SRX5079922,-0.2707808684
SRX5079920,0.0611103546
SRX5079921,0.0085029964
SRX5079919,-0.069613351
SRX5079926,-0.1083627444
SRX5079925,-0.21556204040000002
SRX5079927,-0.1739696184
SRX894005,-0.47822484470000004
SRX894004,-0.5286043681
SRX894006,-0.6409271739
SRX893999,0.1286599737
SRX894000,-0.0662528748
SRX893998,-0.0624070989
SRX4647489,-0.0188817277
SRX4647490,0.0188817277
SRX4647492,0.0162990311
SRX4647491,-0.0223057578
SRX4647496,-0.264414812
SRX4647495,-0.1185756131
SRX4647499,-0.12717484310000002
SRX4647500,-0.0450910829
SRX4647493,-0.3574620874
SRX4647494,-0.4047076523
SRX4647497,-0.1456627972
SRX4647498,-0.0638539147
SRX4505482,-0.2771717675
SRX4505486,-0.1374828358
SRX4505484,-0.5789292014
SRX4505473,-0.08437322430000001
SRX4505476,-0.0984560374
SRX4505480,-0.0741478866
SRX4505478,-0.0052727349
SRX4505474,0.17787665900000002
SRX4505483,-0.9875398935
SRX4505485,-1.0266948136
SRX4505487,-0.9341815435
SRX4505488,-0.9860193877000001
SRX4505481,-1.0503058266
SRX4505477,-1.029538417
SRX4505475,-0.9363329503000001
SRX4505479,-1.1828792453
SRX4605773,-0.065461688
SRX4605774,0.15250214580000002
SRX4605772,-0.0214432533
SRX4605771,0.0214432533
SRX5178871,-0.0694776384
SRX5178872,-0.0698264666
SRX5178868,0.0762172566
SRX5178870,-0.0172248368
SRX5178869,-0.0589924198
ERX1404045,-0.2106128742
ERX1404046,0.2106128742
ERX1404043,0.1439643029
ERX1404044,0.2087491112
ERX237502,1.5658352958
ERX237505,1.5069403051
ERX237506,1.6501158489
ERX237500,1.1982996352
ERX237497,1.1878319021000001
ERX237499,1.2063697379
ERX237507,-0.1137496776
ERX237496,0.0028571186000000003
ERX237504,0.110892559
ERX3772318,-0.1951522909
ERX3772320,-0.1144808712
ERX3772319,-0.0915903452
ERX3772321,-0.0332867546
ERX3772322,-0.0988315874
ERX3772323,0.132118342
SRX4314262,0.0994235163
SRX4314263,0.062286763800000006
SRX4314261,-0.1617102801
SRX4314265,-0.17498320280000002
SRX4314266,-0.2733184616
SRX4314264,-0.3257980499
SRX4314268,-0.5875748809
SRX4314267,0.0856917096
SRX4314271,-0.4925071123
SRX4314272,-0.0572461796
SRX4314275,-0.5971515109000001
SRX4314274,-0.41564038940000003
SRX4314273,-0.1541660756
SRX4314278,-0.3319149953
SRX4314276,-0.6069145695
SRX4314281,-0.5129831454
SRX4314279,-0.5905838537
SRX4314280,-0.3813040102
SRX4314284,-0.5600979351
SRX4314283,-0.7606811538
SRX4314282,-0.5584834107000001
