,0
gene_id,Rv1498A
name,Rv1498A
operon,Op958
gene_product,hypothetical protein
COG,Function unknown
regulator,"Rv0023,csoR"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv1498A"">External Database</a>"
