sample,Rv1958c
SRX3995807,0.24356300400000003
SRX3995806,-0.0693838632
SRX3995809,-0.2429521984
SRX3995808,-0.6929958142
SRX4619048,-0.0436850338
SRX4619047,-0.5473155877
SRX4619049,-0.6810402195
SRX4619050,-0.4694637484
SRX3995804,-0.1169002538
SRX3995805,0.1169002538
SRX5089845,0.0778884136
SRX5089844,-0.0039584952
SRX5089860,-0.041728056300000003
SRX5089859,0.0665425333
SRX5089858,-0.024814477
SRX5089854,-0.9047459051000001
SRX5089853,-0.8461672726
SRX5089852,-0.6781843836
SRX5089856,-0.8000864708000001
SRX5089855,-1.0549671121
SRX5089857,-0.7775086444
SRX5089868,-0.628994359
SRX5089866,-0.7628039187000001
SRX5089867,-0.7285257598
SRX5089870,-0.9870622878
SRX5089869,-0.9606892111
SRX5089871,-0.7912927877
SRX5089846,-0.9308421089000001
SRX5089848,-0.90223894
SRX5089847,-0.8656552807000001
SRX5089849,-0.7528394857
SRX5089850,-0.8409672904000001
SRX5089851,-0.9397470039
SRX5089863,-1.2110226586
SRX5089861,-1.141062363
SRX5089862,-1.0752958764
SRX5089865,-1.2584377625
SRX5089864,-0.9527927898
SRX5388955,-0.0386996219
SRX5388957,0.1096638625
SRX5388954,-0.0053940532
SRX5388956,-0.06557018740000001
SRX5388960,-1.0267321925
SRX5388961,-0.7897925482
SRX5388959,-1.0464427981
SRX5388958,-0.8420436733000001
SRX5388964,-0.44254295520000003
SRX5388965,-0.2855806508
SRX5388962,-0.2801913393
SRX5388963,-0.4198793448
SRX6889335,-0.019046281800000002
SRX6889333,0.019046281800000002
SRX6810002,0.1755395615
SRX6810004,-0.38384459670000004
SRX6810003,0.20830503520000002
SRX6810006,0.6949553104
SRX6810005,1.5763553589
SRX6810007,1.0368457748
ERX1818322,0.033699464400000004
ERX1818321,-0.033699464400000004
SRX2617830,-0.1233759336
SRX2617831,-0.23585268380000002
SRX2617833,0.1168778179
SRX2617832,0.23872955440000002
SRX2617828,0.0884917397
SRX2617827,-0.0700333696
SRX2617829,-0.0184583701
SRX3456119,0.17628997
SRX3456118,-0.0236674539
SRX3456117,0.07249598460000001
SRX3456101,0.2495637124
SRX3456099,-0.5415667217
SRX3456100,0.2920030093
SRX3456107,0.11086047310000001
SRX3456105,0.10123309999999999
SRX4374122,-0.2319359337
SRX4374121,-0.2529795221
SRX4374123,-0.1766635013
SRX4374124,0.5428419732
SRX4374125,-0.4437394213
SRX4374126,-0.0991025519
SRX4374127,0.2090785054
SRX4374128,0.10834851570000001
SRX4374129,0.06868306960000001
SRX4374130,0.1448081174
SRX4374132,-0.3804778015
SRX4374131,-0.6467526216
SRX4374133,0.8684806762
SRX4374135,-0.274050367
SRX4374134,0.2212251523
SRX4374138,0.5783406579
SRX4374136,0.9505211089000001
SRX4374137,0.2767288276
SRX1091379,0.9073420509000001
SRX1091380,0.9619380593
SRX1091377,-0.0953168673
SRX1091378,0.0953168673
SRX4647145,-0.0332182923
SRX4647146,0.0548392115
SRX4647147,-0.0312664753
SRX4647144,0.032073396000000004
SRX4647143,0.0031464468
SRX4647142,-0.0352198428
SRX4647155,-0.1691551051
SRX4647152,-0.4347335176
SRX4647153,-0.2642162379
SRX4647154,-0.2582669819
SRX4647148,-0.015629760700000002
SRX4647149,-0.0496428862
SRX4647151,-0.0808137404
SRX4647150,-0.0744360894
SRX4647123,0.050719116700000004
