,-0.09283473670598213,-0.07220479521576388,-0.05157485372554563,-0.030944912235327374,-0.01031497074510912,0.010314970745109134,0.030944912235327388,0.051574853725545655,0.0722047952157639,0.09283473670598213,0.1134646781962004,0.13409461968641867,0.1547245611766369,0.17535450266685515,0.19598444415707345,0.21661438564729169,0.23724432713750992,0.25787426862772816,0.2785042101179464,0.2991341516081647
thresh,-0.08251976596087301,0.08251976596087301,1,,,,,,,,,,,,,,,,,
unreg,1,4,9,186,1922,1542,191,33,9,4,0,3,1,0,0,0,0,1,0,0
unreg_genes,['Rv3745c'],[],[],[],[],[],[],[],[],['relG' 'bioD' 'Rv3654c' 'Rv2656c'],[],['mycP1' 'pntAa' 'pntB'],['pntAb'],[],[],[],[],['lipP'],[],[]
