,0
name,Nicotinate Metabolism
TF,
Regulator,
Function,iModulon enriched with the nicotinate and nicotinamide metabolism KEGG pathway
Category,Central Carbon
has_venn,False
scatter,0
has_meme,False
precision,0.15
recall,0.2307692308
