,A,zur
SRX3686796,-1.8296320763,-0.3474515868
SRX3686751,-5.1342381847,0.36016363500000004
SRX3686749,-5.1993758487,0.1292828294
SRX3686750,-5.2161619017,0.0481306696
SRX3686778,-3.7197178494000003,-0.5823818511000001
SRX3686777,-4.2452649748,-0.0957675285
SRX3686776,-4.9177096722,0.2665066446
SRX3686800,-1.3695948468,-0.5093323827
SRX3686801,-1.1849145254,-0.6239189955000001
SRX3686755,-4.5048272656,0.45461791630000004
SRX3686757,-5.8381368722,0.2951058518
SRX3686756,-5.1278066864,-0.0503934975
SRX3686784,-3.9630036572,-0.27056850120000003
SRX3686783,-4.2140142864,0.0544248727
SRX3686782,-3.9593658745,0.5113520293
SRX3686809,-1.9905308696000001,-0.3265996431
SRX3686807,-1.9088916216,-0.4621494639
SRX3686808,-1.4288164919000002,-0.6419503799
SRX3686787,-2.2930864677000002,-0.2465516731
SRX3686786,-2.328519996,-0.1359705352
SRX3686785,-2.0015431843,-0.3484074992
SRX3686799,-1.1264787055,-0.228278699
SRX3686797,-1.2719058269,-0.11978017960000001
SRX3686798,-1.4237103284,-0.3243351651
SRX3686746,-4.2229617679,0.07786979100000001
SRX3686748,-4.4398032046,0.1215311954
SRX3686747,-4.4933167443,0.1507543228
SRX3686773,-4.0975555798,-0.0705771848
SRX3686774,-3.9100056593,-0.1610856002
SRX3686775,-2.7629326027000003,-0.33934882180000003
SRX3686754,-3.7347906831,0.20933764430000001
SRX3686753,-4.1063888944,0.0572704401
SRX3686752,-3.6630922299,0.0624377921
SRX3686780,-2.0193362417,-0.38464683190000004
SRX3686779,-2.5592286093,-0.47173305800000004
SRX3686781,-1.7367515889,-0.3864872858
SRX3686806,-1.1221080093,-0.2392277737
SRX3686805,-1.0275888152,-0.3555863477
SRX3686758,-3.0407306707,-0.0477522682
SRX3686760,-3.12264952,0.0783782259
SRX3686759,-2.7222273193,0.060716326800000005
SRX3686810,-2.3121632748,0.0299203743
SRX3686811,-1.5002594237,-0.44998560600000004
SRX3686812,-1.4755498946,-0.2375487818
SRX3686813,-4.2832989778,-0.4436056121
SRX3686815,-3.3920925481,-0.32584735400000003
SRX3686816,-2.963647397,-0.17943999200000002
SRX3686823,-3.7821932509,-0.6155966227
SRX3686824,-3.544197947,-0.7127789059
SRX3686825,-2.7496463725,-0.42651549110000003
SRX3686827,-3.1123172692,-0.28205259
SRX3686826,-3.2815265545,-0.4047281191
SRX7054191,1.2649582909000001,0.041020662400000005
SRX7054189,-0.4120636801,-0.1437547637
SRX7054190,-0.8528946109000001,0.1027341013
SRX7054193,-12.0987928306,-0.7492422261
SRX7054192,-14.8015502306,-0.9482433791
SRX7054194,-14.8467833067,-0.8143293267
SRX4506284,-2.1095133744,0.3541027438
SRX4506280,-2.8010969861,0.5143261006000001
SRX4506282,-2.0374955407,0.7350134649000001
SRX4506278,-2.3739143515,0.7248626492
SRX4506274,0.1751745518,0.0360650099
SRX4506273,-0.1894348563,-0.016447659700000002
SRX4506271,-0.1440819653,0.052496499999999995
SRX4506276,0.15834226980000002,-0.0721138501
SRX4506283,4.1245881755,-0.0914583172
SRX4506279,3.9486307038,-0.07697331510000001
SRX4506285,4.4388310236,-0.066202667
SRX4506281,4.4872251865,-0.1142050681
SRX4506275,-0.3819315958,0.1248182471
SRX4506277,-0.3462305765,-0.0499582388
SRX4506272,-0.2898667921,0.2036082157
SRX2923393,-0.2121296474,0.0489473719
SRX2923394,0.2121296474,-0.0489473719
SRX2923398,-15.808532089,2.7561992550000003
SRX2923397,-12.5047644661,2.2997930488
SRX2923395,-2.1911389633000002,2.2068565202
SRX2923396,-2.2302701989,2.0061206315
SRX2923400,4.5506048963,2.018424087
SRX2923401,3.2842957794,1.8861209856
SRX2923403,-4.2491723392,2.4598053062
SRX2923402,-5.7201809143,2.1641422674
SRX6853288,-3.8550445158,0.3665739457
SRX6853287,-2.9810831379,-0.0564321382
SRX6853286,-1.6728701062,0.048457144800000004
SRX6853284,0.3328390423,0.046406402900000004
SRX6853285,-0.8978632936000001,0.0469010284
SRX6853283,0.5650242514,-0.09330743130000001
SRX4319040,0.311316525,0.0646923663
SRX4319041,-0.025181470600000002,-0.1058888587
SRX4319039,-0.28613505440000003,0.0411964923
SRX4314613,8.9603991388,-1.8023409564000001
SRX4314614,7.79151955,-1.6839063288
SRX4314615,8.2040899997,-1.5903957765999999
SRX4314632,8.8221025813,-0.9427717296
SRX4314631,9.8835774358,-0.8203477472
SRX4314633,9.8438154795,-1.1942864134
SRX4314622,9.4219862905,-1.4807877017
SRX4314623,9.5260667004,-1.1863389292
SRX4314624,9.3270858541,-1.3699482056
SRX4314611,0.1488350835,0.0379564014
SRX4314610,-0.364149255,-0.09191818410000001
SRX4314612,0.2153141715,0.0539617827
SRX4314630,1.0541272479,-0.5830754301000001
SRX4314628,0.7947093749,-0.4359364113
SRX4314629,1.3815250355,-0.4124229392
SRX4314619,3.677844767,-0.9251009318000001
SRX4314621,4.2304987734,-1.17230395
SRX4314620,3.7848182026,-0.9017983965
SRX7119390,-0.7620036382,0.0299940257
SRX7119388,0.7620036382,-0.0299940257
SRX7119386,2.0122338534,0.48028062320000003
SRX7119385,1.2982579542,0.5197177483000001
SRX7119387,2.15911499,0.5432360991
SRX3746749,4.4469255368,0.8302892383
SRX3746748,3.3496872412,1.1068946466
SRX3746751,-4.7240778396,0.0169374705
SRX3746750,-3.3871813561,0.3899665505
SRX3746752,0.0806237045,0.0118998574
SRX3746753,-1.7480382331,0.2802341988
SRX3746755,-0.7922225251,0.2499617381
SRX3746754,0.7922225251,-0.2499617381
SRX2345943,0.5473809266,-0.3025384446
SRX2345942,-0.5473809266,0.3025384446
SRX2345941,0.23314032850000002,1.0326133624
SRX2345940,0.31679156010000004,0.7008375626000001
SRX3992217,0.09903821260000001,-0.08306981470000001
SRX3992216,0.8940639753,0.2191479351
SRX3992214,-3.8272954076,-2.0041361068
SRX3992215,-3.5866590803,-1.9585533195
SRX3992221,-4.0579371606,-1.8838161983
SRX3992220,-4.1794591758,-2.1224234905
SRX3992219,-4.3522146195,-2.1080158136
SRX3992218,-3.6739428815,-2.3728402596000002
SRX3992201,-3.6581988637,-2.3326595469
SRX3992200,-3.9676278590000003,-2.1794717899
SRX3992198,0.1665877366,-0.1377940933
SRX3992199,0.45506226580000003,0.2344962304
SRX3992202,0.8064019677,-0.0291236292
SRX3992203,0.30232628580000004,-0.23771014910000002
SRX3992204,-5.0052000882,-1.6471365328
SRX3992205,-3.7617178539,-1.0910137757
SRX3992206,-5.1534235973,-1.5891352148
SRX3992207,-3.9476500165,-1.3355622334000001
SRX3992209,-3.6176389958,-2.0875978964
SRX3992208,-3.7435541166,-2.1943869869
SRX3992212,-3.4007120243,-2.2837383645
SRX3992213,-3.6712185885,-2.1454739862
SRX3992210,0.06935918270000001,0.17316239490000002
SRX3992211,-0.06935918270000001,-0.17316239490000002
SRX357084,0.0534590732,-0.1094937083
SRX357083,-0.0534590732,0.1094937083
SRX4647134,0.05848586100000001,0.513859713
SRX4647137,0.9656569869,-0.0266968309
SRX4647136,-0.1323521677,0.4914009882
SRX4647135,0.0233341561,0.45336271720000004
SRX4647139,0.2749578505,-0.0985963935
SRX4647141,-0.1477201253,0.1103307899
SRX4647140,-0.2606821857,0.0107771745
SRX4647138,0.1334444605,-0.0225115709
SRX4647128,-2.7508383397,0.1484445053
SRX4647127,-3.1134373941,0.0619655832
SRX4647129,-2.7316611262,0.0384311621
SRX4647126,-2.9873028717,0.1645342574
SRX4647133,-0.4882260641,-0.2596342085
SRX4647132,-0.11884125870000001,-0.24395895550000002
SRX4647131,-0.33222150770000003,-0.43672220500000003
SRX4647130,-0.23595437230000002,-0.0439956868
SRX6923924,-1.5791936504000001,-1.2496529562
SRX6923925,-2.0501230763,-1.2147616667
SRX6923923,-1.3228445340000001,-0.5540551665
SRX6923922,-1.8464690009,-1.3409539756
SRX6923939,-0.1777654469,0.1806656405
SRX6923938,0.1777654469,-0.1806656405
SRX6923936,1.4713905312,0.2818219723
SRX6923937,1.1633940564,0.2011800458
SRX5509428,0.055266500100000004,-0.0587025921
SRX5509427,-0.055266500100000004,0.0587025921
SRX1882560,7.1489583051,-2.4215640717999998
SRX1882558,6.8436055183,-2.4877345584
SRX1882559,7.1539289951,-2.65952378
SRX1882561,5.3093250505,-2.4302044415
SRX1882563,5.4362233167,-2.3795478041
SRX1882562,5.2575234596,-2.4500979068
SRX1882565,6.6123939088,-2.5453299039
SRX1882566,7.0109324468,-2.5751355986
SRX1882564,6.7955116475,-2.5156582798000002
SRX1882568,7.6034154029,-2.5489976911000003
SRX1882567,7.4945767713,-2.3468411276
SRX1882569,7.5065526299,-2.5380518995
SRX1882555,-0.044782553100000004,-0.0014645018
SRX1882557,0.0142895815,-0.015021521900000001
SRX1882556,0.0304929716,0.0164860237
SRX5088615,0.687487916,-0.8213056364
SRX5088616,0.08826710730000001,-0.9207074732
SRX6845150,-5.8840105718,-0.6941044014000001
SRX6845149,-8.4376274593,-0.5355332741000001
SRX6845151,-5.5976882911,0.1201619909
SRX6845152,-4.6789080471,1.2261822734
SRX6845145,-5.252197301,-0.2748275083
SRX6845146,-8.2623987523,-0.47294392350000003
SRX6845142,-6.531897252,-0.0810823519
SRX6845141,-4.1661666749,-0.1528835148
SRX6845144,-0.6579145694,-0.0137622308
SRX6845143,0.6579145694,0.0137622308
SRX5605051,0.0087872052,-0.19173496580000002
SRX5605045,-0.0087872052,0.19173496580000002
SRX5605060,-0.9429878377,-0.14434558720000001
SRX5605059,-1.6192742325,-0.47793464360000004
SRX2382017,0.22113452420000002,0.18696805330000002
SRX2382024,-0.22113452420000002,-0.18696805330000002
SRX2382027,2.7896803455,-1.288738086
SRX2382029,2.9133740829,-1.3099524716
SRX2382217,0.014301572700000001,-1.3616548708
SRX2382023,2.3709046545,-1.5375414573000001
SRX2382218,3.2825536497,-0.6408120049
SRX2382219,1.3808971711,-0.41464581450000004
SRX2382213,0.507505187,-1.0921964955
SRX2382019,2.3046275141,-1.0374131144
SRX2382214,-0.046279234,-0.360938287
SRX2382215,1.2424078718,-0.7713457188
SRX2382020,-0.7420425421,0.4116220196
SRX2382216,2.3960240409,-0.6665412522
SRX2382022,0.1913337941,0.401640457
SRX2382033,-0.6524468342,-0.0838085196
SRX2382220,3.9401498643,-0.7171790294
SRX2382222,4.2518918076,-0.873209487
SRX2382030,3.6165029536,-0.45819609920000004
SRX4506350,0.1116671391,-0.0400909844
SRX4506352,0.1240786227,0.1223232593
SRX4506354,0.1446338218,-0.0061518350000000005
SRX4506348,0.0731811763,-0.0280576779
SRX4506346,0.014839399900000001,-0.0316142726
SRX4506344,-0.0880205762,0.0596719504
SRX4506351,-0.2717650346,-0.5753596125
SRX4506353,0.0154930955,-0.5880126204
SRX4506355,0.16242221880000002,-0.6046861652000001
SRX4506349,-2.1640222588,-0.5265000681
SRX4506345,-2.5640172588,-0.3919967031
SRX4506347,-2.2499245574,-0.47739013290000004
SRX4514122,2.1975846049,-0.35206557110000003
SRX4514124,-1.6369244943,0.3683969788
SRX4514126,-1.5632150888,0.35162662
SRX4514120,2.2406159012,-0.2662353993
SRX4514112,2.2372833847,-0.4072189089
SRX4514116,-2.6276839122,0.3996988803
SRX4514118,-2.3280909511,0.4217348106
SRX4514114,2.7184914785,-0.414214782
SRX4514121,1.9269128629,-0.3617925791
SRX4514125,-1.6892588349,0.226806572
SRX4514127,-1.6282850416999999,0.3609429649
SRX4514123,2.1773406768,-0.3146478303
SRX4514115,2.3048243181,-0.4658356749
SRX4514117,-2.1743829942,0.4987320295
SRX4514113,2.4688788039,-0.2208377109
SRX4514119,-2.4552609832,0.5818144592
SRX958308,-0.209913341,1.3725372986
SRX958306,-0.3269004729,0.9191493747
SRX958307,-1.7721837602,1.6129970035999999
SRX958313,-0.48958537010000003,0.0325091811
SRX958312,1.1287726342,-0.1797469861
SRX958314,-0.6391872642,0.147237805
SRX958320,10.736179374,0.0549791211
SRX958318,10.5373869489,-0.41027943980000003
SRX958319,10.8911823464,-0.0738660065
SRX958323,15.2810950448,0.9880996082000001
SRX958322,14.4390778726,0.7548317624
SRX958321,13.8697785093,0.8407310715
SRX958310,1.3275883473,0.24445411460000002
SRX958309,0.6850583915,0.035221174800000005
SRX958311,1.001967688,0.43813273410000003
SRX958317,9.9107076556,-1.2597505222
SRX958315,9.5465511364,-1.2095611282
SRX958316,10.2637447852,-1.0944443555
SRX958324,1.9643470197,0.3322175518
SRX958325,2.7506776339,0.5134959050000001
SRX4498322,0.255576519,-0.0320991752
SRX4498318,-0.3864102713,-0.069168803
SRX4498320,0.0282939487,0.1252684745
SRX4498316,-0.8169784433,0.0749222838
SRX4498312,-0.3908096325,-0.0234431574
SRX4498308,0.0198434169,-0.1964879227
