,-0.06363636363636364,-0.05454545454545455,-0.045454545454545456,-0.03636363636363636,-0.027272727272727268,-0.018181818181818174,-0.00909090909090908,1.3877787807814457e-17,0.009090909090909108,0.018181818181818202,0.027272727272727296,0.03636363636363639,0.045454545454545484,0.05454545454545458,0.06363636363636367,0.07272727272727277,0.08181818181818186,0.09090909090909095,0.10000000000000005,0.10909090909090914
thresh,-0.05,0.05,2,,,,,,,,,,,,,,,,,
unreg,1,0,10,22,100,361,836,962,531,204,65,22,8,3,4,3,2,2,0,0
lsr2,0,0,0,2,13,44,133,205,162,97,43,29,11,8,8,5,6,2,2,0
unreg_genes,['bpoA'],[],[],[],[],[],[],[],[],[],[],[],[],['Rv1574' 'Rv3114' 'Rv3902c'],['Rv2491' 'PPE36' 'Rv2307B' 'PE22'],['Rv3377c' 'Rv1502' 'PPE59'],['PPE57' 'Rv1501'],['fadD30' 'PPE58'],[],[]
lsr2_genes,[],[],[],['Rv2765' 'Rv0696'],"['Rv1976c' 'prpR' 'Rv1204c' 'ino1' 'nadD' 'Rv0887c' 'Rv0443' 'cysT' 'pks1'
 'Rv3405c' 'lpqR' 'rplO' 'rplR']","['eccD3' 'Rv3745c' 'Rv3237c' 'mmpL5' 'Rv0325' 'Rv0047c' 'fadB' 'PPE60'
 'espG3' 'esxH' 'vapC36' 'Rv1972' 'sodC' 'PE_PGRS56' 'Rv2618' 'def'
 'pstC1' 'Rv1566c' 'Rv0428c' 'aroE' 'trpG' 'pks15' 'Rv3660c' 'eccE1'
 'Rv1220c' 'PPE29' 'vapB47' 'Rv0814c' 'Rv2084' 'Rv2732c' 'Rv2307c'
 'Rv0807' 'Rv3844' 'gcvH' 'Rv0859' 'Rv0076c' 'Rv1491c' 'alkB' 'nuoC'
 'deoC' 'Rv0323c' 'Rv2657c' 'Rv1044' 'Rv1975']","['Rv3118' 'hsaD' 'mutA' 'cysA1' 'Rv1075c' 'Rv3786c' 'Rv2472' 'PPE20'
 'Rv0431' 'espH' 'Rv1672c' 'ppsC' 'Rv3488' 'Rv0575c' 'PPE1' 'subI' 'PPE22'
 'Rv2219A' 'ponA2' 'Rv0839' 'Rv1043c' 'bisC' 'Rv3780' 'rplA' 'marR'
 'PE_PGRS13' 'esxG' 'ispD' 'irtB' 'yrbE3B' 'TB18.6' 'PPE32' 'PPE38'
 'Rv2342' 'pstA1' 'Rv3661' 'purT' 'lppO' 'cysS1' 'ctpC' 'Rv0476' 'mobA'
 'Rv3231c' 'vapB38' 'Rv1615' 'Rv2826c' 'fadD18' 'cysA2' 'Rv3033' 'Rv2695'
 'efpA' 'nat' 'Rv3406' 'Rv1057' 'Rv2731' 'Rv3733c' 'higB' 'TB8.4'
 'Rv2743c' 'vapC47' 'Rv3165c' 'Rv3572' 'PE_PGRS49' 'cyp135B1' 'glnH'
 'Rv2411c' 'whiB3' 'aglA' 'lppL' 'adoK' 'Rv1877' 'rpmD' 'Rv2294' 'ephA'
 'Rv3644c' 'fadD10' 'ppsD' 'Rv2664' 'tsnR' 'fdhD' 'Rv0516c' 'Rv3899c'
 'PE5' 'Rv2454c' 'Rv1005c' 'nuoF' 'esxK' 'Rv3192' 'Rv2455c' 'lppW' 'PPE23'
 'Rv2203' 'Rv3821' 'Rv2563' 'nuoG' 'accD6' 'clgR' 'Rv3748' 'espL'
 'Rv0836c' 'Rv0823c' 'Rv3289c' 'Rv2560' 'nuoJ' 'dapC' 'Rv2971' 'Rv3788'
 'Rv3740c' 'Rv1466' 'cysW' 'ctpG' 'Rv2081c' 'ppsE' 'Rv3205c' 'PE_PGRS26'
 'esxE' 'pstS1' 'rpsE' 'snzP' 'fadD6' 'lppA' 'rplT' 'glnQ' 'rpsN2'
 'Rv0790c' 'Rv3348' 'eccE3' 'esxA' 'PE_PGRS50' 'Rv1433' 'smpB' 'nuoL'
 'mycP3']","['mesT' 'Rv0502' 'PPE33' 'Rv1434' 'Rv2410c' 'eccB1' 'Rv2082' 'Rv2663'
 'desA1' 'Rv2926c' 'lipN' 'Rv3729' 'Rv1286' 'Rv2659c' 'echA14' 'lysG'
 'espG2' 'fadD32' 'fbiA' 'Rv3413c' 'Rv0740' 'hemZ' 'cinA' 'Rv1813c'
 'Rv1375' 'glfT1' 'PPE46' 'Rv2409c' 'lepB' 'Rv1101c' 'PPE18' 'pks3' 'rho'
 'Rv2553c' 'pks13' 'eccCb1' 'Rv0326' 'lpqE' 'Rv2953' 'ilvX' 'Rv0175'
 'nirB' 'mmpL7' 'rphA' 'csd' 'atpC' 'Rv3787c' 'phoR' 'Rv1616' 'pstA2'
 'sahH' 'Rv1828' 'mce1D' 'Rv3735' 'Rv1638A' 'Rv2147c' 'cysG' 'Rv2559c'
 'Rv1887' 'Rv1937' 'Rv1496' 'Rv0756c' 'fas' 'kasA' 'pknG' 'inhA' 'nuoM'
 'ddn' 'Rv2693c' 'Rv3529c' 'Rv0565c' 'narK1' 'Rv3193c' 'cydD' 'PPE68'
 'Rv1463' 'lprM' 'Rv2422' 'Rv0919' 'lppX' 'Rv2292c' 'murI' 'nuoE' 'Rv0477'
 'rpfA' 'mycP2' 'sucD' 'narL' 'lipF' 'PE_PGRS38' 'esxR' 'sigA' 'lysX'
 'Rv0176' 'Rv3510c' 'Rv3066' 'lprK' 'espG1' 'yrbE4B' 'rpsH' 'Rv3860'
 'yrbE1B' 'prpC' 'rplE' 'Rv2191' 'Rv0739' 'rpmB1' 'Rv2310' 'alaS' 'mce1C'
 'eccE5' 'hsp' 'sigD' 'trpA' 'Rv3191c' 'arsC' 'mce3A' 'rpoZ' 'ahpD'
 'Rv3916c' 'Rv3099c' 'Rv0517' 'Rv1453' 'qcrC' 'atpD' 'nuoA' 'mce4C' 'fdhF'
 'Rv2721c' 'Rv3741c' 'mpa' 'Rv1996' 'Rv3645' 'lpqM' 'PE_PGRS54' 'Rv2644c'
 'Rv1184c' 'Rv3249c' 'Rv3403c' 'mce3F' 'Rv0073' 'Rv3822' 'mutB' 'accD4'
 'PE29' 'rfbD' 'yrbE4A' 'Rv1482c' 'mce1A' 'galE2' 'rpsN1' 'celA1' 'Rv3177'
 'Rv0059' 'lipQ' 'cyp138' 'prpD' 'lppB' 'Rv1465' 'gltB' 'cbs' 'Rv2060'
 'gid' 'Rv2551c' 'rplF' 'cycA' 'rnc' 'Rv3098c' 'moxR3' 'mce4B' 'pncB2'
 'Rv2141c' 'PE13' 'Rv3210c' 'mce1F' 'eccA1' 'leuS' 'Rv3618' 'nuoB'
 'Rv2324' 'rplS' 'Rv1673c' 'PPE25' 'Rv2656c' 'sucC' 'Rv1128c' 'higA'
 'eccE2' 'Rv1993c' 'dnaB' 'mce3C' 'hsaC' 'Rv2023c' 'Rv2617c' 'esxP'
 'Rv2943A' 'Rv1358' 'Rv1321' 'tpi' 'Rv2008c' 'Rv0560c' 'pknD' 'Rv1461'
 'Rv2694c' 'mce1R']","['PE_PGRS20' 'Rv1810' 'Rv0077c' 'PPE19' 'proC' 'papA3' 'fabG1' 'Rv3920c'
 'Rv0178' 'Rv0072' 'Rv3843c' 'mmpL10' 'Rv1045' 'fadD11' 'parA' 'Rv0654'
 'Rv1192' 'Rv1303' 'Rv1882c' 'nrdI' 'atpH' 'fadH' 'rhlE' 'tgs2' 'mmpL3'
 'Rv0207c' 'Rv0148' 'PPE17' 'nuoH' 'esxD' 'Rv1771' 'Rv1754c' 'rpfC'
 'Rv2137c' 'gap' 'Rv1319c' 'Rv3530c' 'Rv1794' 'garA' 'infC' 'secE1' 'rplK'
 'Rv1337' 'Rv0364' 'eccC3' 'PE_PGRS32' 'Rv3802c' 'Rv2952' 'Rv3415c'
 'Rv0791c' 'mce1B' 'lppK' 'Rv0024' 'fadB2' 'espD' 'Rv1989c' 'zur' 'lppU'
 'pepR' 'qcrB' 'vapC15' 'Rv1403c' 'PE_PGRS35' 'Rv2144c' 'Rv2958c' 'esxO'
 'Rv2944' 'Rv1957' 'Rv0149' 'nadE' 'qcrA' 'espK' 'Rv0433' 'Rv3847' 'htrA'
 'eccB3' 'Rv3238c' 'Rv1364c' 'nanT' 'esxL' 'nusG' 'Rv2927c' 'PPE2' 'rocE'
 'cydA' 'PPE54' 'vapB15' 'Rv2136c' 'Rv1974' 'Rv3218' 'cdsA' 'rnhB'
 'Rv2777c' 'pstC2' 'kdtB' 'Rv0430' 'Rv0193c' 'eccCa1' 'PPE6' 'mce4A'
 'glnA1' 'mycP5' 'PPE56' 'Rv0078' 'ppsB' 'Rv1145' '35kd_ag' 'Rv2699c'
 'vapC14' 'PPE4' 'Rv1508c' 'fadD24' 'Rv2451' 'Rv3629c' 'Rv3856c'
 'PE_PGRS19' 'nuoK' 'Rv1645c' 'esxV' 'Rv3680' 'lgt' 'moeB1' 'mce3D'
 'Rv0250c' 'Rv1816' 'Rv1885c' 'drrA' 'rpfB' 'PE_PGRS25' 'Rv1767' 'Rv3485c'
 'Rv0911' 'tatB' 'Rv0845' 'fcoT' 'rfbE' 'trpD' 'mce3B' 'lppE' 'Rv0634c'
 'PE9' 'echA13' 'Rv1510' 'Rv1973' 'PPE42' 'kasB' 'egtD' 'Rv3064c' 'nuoN'
 'nuoD' 'fhaA' 'fadD28' 'atpA' 'PE27' 'Rv3311' 'PPE62' 'ctpE' 'Rv2307A'
 'ndh' 'lipY' 'PE35' 'Rv2951c']","['Rv2642' 'Rv0246' 'Rv3531c' 'pgk' 'bfrB' 'Rv3796' 'Rv3486' 'pks5'
 'Rv3750c' 'gmk' 'Rv3190c' 'mmpL8' 'Rv2778c' 'mmr' 'mbtK' 'Rv1289' 'rubB'
 'Rv3207c' 'Rv0025' 'cyp141' 'Rv2990c' 'eccA5' 'Rv3861' 'betP' 'trpB'
 'fadD5' 'esxC' 'rpmG1' 'PPE67' 'rnpA' 'Rv2209' 'Rv1977' 'wag31' 'Rv1194c'
 'eccD2' 'Rv3643' 'whiB4' 'Rv2970A' 'Rv0042c' 'Rv3404c' 'fadE17' 'Rv1362c'
 'gltD' 'parB' 'rubA' 'Rv0830' 'Rv0837c' 'PPE14' 'atpG' 'sapM' 'PE1'
 'Rv0910' 'PPE55' 'espC' 'rne' 'Rv2021c' 'Rv0177' 'Rv1883c' 'PE_PGRS4'
 'idsA1' 'eccA3' 'moaE1' 'Rv3755c' 'Rv1320c' 'lpqG' 'glyS' 'mez' 'ftsX'
 'Rv0306' 'PE32' 'nrdE' 'Rv3583c' 'Rv3900c' 'fadD25' 'dnaN' 'ctaE' 'PPE34'
 'lppT' 'Rv2309A' 'mazF6' 'PPE27' 'lysS' 'PE_PGRS57' 'pstS2' 'Rv2645'
 'espA' 'acpA' 'Rv2190c' 'Rv0888' 'erg3' 'Rv2957' 'fadD26' 'Rv0034' 'moaX'
 'PPE10' 'Rv1508A' 'Rv3631']","['Rv2658c' 'icd1' 'ctaC' 'hddA' 'atpB' 'Rv0831c' 'eccA2' 'esxF' 'Rv1205'
 'moaC1' 'PE3' 'Rv1255c' 'Rv1312' 'Rv3922c' 'drrB' 'Rv0248c' 'Rv3382c'
 'cysA3' 'phyA' 'PPE53' 'recF' 'cfp21' 'Rv0010c' 'pgsA3' 'Rv3612c' 'PE19'
 'Rv3784' 'mscL' 'acpM' 'PPE8' 'Rv0060' 'papA2' 'thyA' 'plcB' 'plcA'
 'espE' 'frr' 'Rv3888c' 'fadD29' 'Rv2901c' 'cdh' 'Rv1490' 'ppk2']","['atpE' 'fadD23' 'PPE35' 'papA1' 'argA' 'Rv2435c' 'Rv3921c' 'lipU'
 'fadD34' 'moaB1' 'espF' 'cpsY' 'moeB2' 'Rv1356c' 'Rv2734' 'Rv0247c'
 'Rv1498c' 'PPE5' 'Rv2067c' 'gmhB' 'Rv3749c' 'bfrA' 'Rv1115' 'idsB'
 'Rv1804c' 'papA5' 'Rv1979c' 'PPE21' 'Rv3727']","['Rv0249c' 'mmpL4' 'drrC' 'mpt64' 'Rv2337c' 'dnaA' 'Rv1509' 'mmpL9'
 'PPE12' 'mmpL2' 'vapC18']",['bioF2' 'mmpS4' 'Rv2022c' 'umaA' 'whiB2' 'Rv1506c' 'Rv2336' 'Rv2929'],['moeW' 'pks6' 'Rv2956' 'Rv1500' 'Rv0455c' 'Rv2949c' 'moaA1' 'Rv2808'],['gmhA' 'gca' 'Rv0987' 'tesA' 'Rv3424c'],['Rv1948c' 'Rv0988' 'Rv0986' 'Rv1507A' 'Rv1507c' 'Rv2959c'],['Rv3528c' 'Rv1505c'],['Rv2492' 'Rv3378c'],[]
