,A,lsr2
SRX4498315,-3.2111858941,0.24873813600000003
SRX4498309,0.7484480353,-0.14079921880000001
SRX4498313,-3.5212270051,-0.0869852119
SRX4615568,-3.2650755997,0.14875476840000001
SRX4615570,3.2650755997,-0.14875476840000001
SRX727246,4.6293039621,2.235767316
SRX727243,2.8002753968,1.5975098968
SRX727247,13.0563546176,2.7259207321
SRX727244,9.954739268099999,2.6643754612
SRX727245,12.0111530971,1.5751219131
SRX727248,15.5586881845,1.7307857012
SRX727249,-1.207522302,0.1211562395
SRX727251,0.5289564928,-0.12168310880000001
SRX727250,0.6785658091,0.0005268694
SRX4498332,-1.5414482561,0.3025344034
SRX4498334,-3.6705978265,0.6180773122000001
SRX4498335,-3.0899350086,0.4582968604
SRX4498337,-5.3249964562,0.5390588124
SRX4498324,-0.7961380020000001,0.2019848438
SRX4498326,0.8259180049,-0.18201487090000001
SRX4498328,0.8806181142,-0.0930601754
SRX4498330,-0.9103981171000001,0.0730902025
SRX4498336,-5.2289352215000005,0.5725405693
SRX4498333,-6.615583538,0.5921856178
SRX4498338,-7.6327520135,0.6955092864
SRX4498329,-6.4289547206,0.6728533651
SRX4498325,-7.7011773939,0.7087030253000001
SRX4498327,-5.5643615064,0.6188511938
SRX4498331,-4.5160579395,0.5227950473
