,-0.1114288321545803,-0.09285736012881692,-0.07428588810305353,-0.05571441607729015,-0.037142944051526766,-0.018571472025763383,0.0,0.018571472025763397,0.037142944051526766,0.055714416077290135,0.07428588810305353,0.09285736012881693,0.1114288321545803,0.13000030418034367,0.1485717762061071,0.16714324823187046,0.18571472025763383,0.2042861922833972,0.22285766430916057,0.241429136334924
thresh,-0.120714568167462,0.120714568167462,2,,,,,,,,,,,,,,,,,
unreg,0,1,0,2,58,700,2508,547,53,2,2,0,0,0,0,0,2,2,0,0
kstR2,0,0,0,0,0,2,7,6,3,0,0,0,1,3,2,3,0,0,2,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['fadE30' 'fadD3'],['Rv3549c' 'echA20'],[],[]
kstR2_genes,[],[],[],[],[],['Rv0831c' 'Rv3773c'],['echA21' 'Rv1587c' 'lipE' 'Rv1232c' 'Rv1582c' 'mmpL8' 'dcd'],['Rv1583c' 'Rv1586c' 'Rv1584c' 'PPE64' 'Rv0793' 'Rv1754c'],['Rv0790c' 'Rv0791c' 'Rv0792c'],[],[],[],['aspB'],['Rv3548c' 'fadA6' 'fadE33'],['kstR2' 'fadE32'],['Rv3553' 'fadE31' 'Rv3559c'],[],[],['Rv3552' 'Rv3551'],[]
