,A,kstR2
SRX4314622,12.6706865473,1.5778082125
SRX4314623,12.7409258965,1.6190577802
SRX4314624,11.855806728,1.5496159192999999
SRX4314611,0.1926976692,0.0081105536
SRX4314610,-0.5802542294,-0.1479721219
SRX4314612,0.3875565602,0.1398615684
SRX4314630,2.2368482199,0.8525726257
SRX4314628,2.9939827536,0.9187204234
SRX4314629,2.5325115526,0.812612938
SRX4314619,0.6547469006000001,0.8737947745
SRX4314621,0.17483590340000002,0.6208015335
SRX4314620,1.0742538072,0.7589980612
SRX7119390,-0.0521973092,0.24956623860000002
SRX7119388,0.0521973092,-0.24956623860000002
SRX7119386,15.1034443353,3.9533579513
SRX7119385,14.5003211628,3.6710633010000002
SRX7119387,14.8366415142,3.7104112553
SRX3746749,-0.5782086999,-0.388719498
SRX3746748,-1.3570561646,0.1620904678
SRX3746751,-1.3819374568,-0.1657162428
SRX3746750,-1.9438510062,0.0063333431
SRX3746752,-1.6293660561999999,-0.129233543
SRX3746753,-2.4462200038,-0.1935466575
SRX3746755,-0.7484997165,0.288765669
SRX3746754,0.7484997165,-0.288765669
SRX2345943,-0.7231910749,-0.2087846646
SRX2345942,0.7231910749,0.2087846646
SRX2345941,-0.06340413930000001,-0.1761581949
SRX2345940,-0.8654332389,-0.3600198471
SRX3992217,-1.5858177806,-0.1722478224
SRX3992216,-0.36342477700000003,-0.0824694296
SRX3992214,-5.3656772315,-0.1876667303
SRX3992215,-5.9400572483000005,-0.6155426874000001
SRX3992221,-5.192952101,-0.3588911923
SRX3992220,-5.3129486457,-0.157054041
SRX3992219,9.1265792346,1.4019789677
SRX3992218,9.1828692743,1.3300623217
SRX3992201,9.427779241,1.5248553756
SRX3992200,8.794631345300001,1.4120042796
SRX3992198,-1.4499850253,0.09365203300000001
SRX3992199,-0.662837502,-0.0890862459
SRX3992202,0.7226777174,0.1595473097
SRX3992203,-0.5171656031,0.1155322799
SRX3992204,-6.7465997366,-0.2210208524
SRX3992205,-6.1997278163,-0.6224348298
SRX3992206,-6.5413215955,-0.46870400830000003
SRX3992207,-6.4801783512,-0.640817979
SRX3992209,9.3543206248,1.6622748011000001
SRX3992208,9.0401280391,1.4831311421
SRX3992212,8.7920581645,1.6384323243
SRX3992213,8.7643682536,1.6658260930000002
SRX3992210,0.30550676060000004,-0.0138882276
SRX3992211,-0.30550676060000004,0.0138882276
SRX357084,0.0115996002,-0.2167083223
SRX357083,-0.0115996002,0.2167083223
SRX4647134,3.6229406037,0.502818355
SRX4647137,0.7411361639,-0.0193130962
SRX4647136,3.1325418503,0.5530928581
SRX4647135,3.6370475661,0.4642699716
SRX4647139,-0.0162922418,-0.0453705898
SRX4647141,-0.0353600049,-0.0813408691
SRX4647140,-0.0867321583,0.0372315448
SRX4647138,0.1383844049,0.0894799141
SRX4647128,2.4240347921,-0.1544146901
SRX4647127,2.3622924572,-0.1743998549
SRX4647129,2.2742347816,-0.28746921670000003
SRX4647126,2.1027019419,-0.145625732
SRX4647133,-1.288539021,-0.8032736978
SRX4647132,-1.1838467612999999,-0.8294628844
SRX4647131,-0.9077137278,-0.7775963176
SRX4647130,-0.9955275653000001,-0.7160342379
SRX6923924,-2.0260453264,1.1385870593
SRX6923925,-2.0350627304,0.3359256355
SRX6923923,-2.2902226411,0.3432345208
SRX6923922,-2.0590161967,-0.25634472140000003
SRX6923939,0.13615538,-0.1432225175
SRX6923938,-0.13615538,0.1432225175
SRX6923936,-0.4663189211,-0.1544706172
SRX6923937,-0.13086101490000002,0.1850980177
SRX5509428,-0.3079374507,-0.028354554400000002
SRX5509427,0.3079374507,0.028354554400000002
SRX1882560,1.1850890132,-0.3460897458
SRX1882558,1.2575214012,-0.2716294785
SRX1882559,1.3389778251,-0.3489441446
SRX1882561,0.9875850617,-0.5427593561
SRX1882563,0.8414955270000001,-0.7346824702
SRX1882562,0.8896205812,-0.7419992766
SRX1882565,1.4883144042,-0.3833653615
SRX1882566,1.5105745726,-0.3182081767
SRX1882564,1.2299015007,-0.4322876526
SRX1882568,4.1675766415,0.0175867714
SRX1882567,4.1213006991,-0.0424464247
SRX1882569,4.4284376594,0.0051013702
SRX1882555,-0.3177201887,-0.035258935000000005
SRX1882557,0.2556731309,0.07837661480000001
SRX1882556,0.062047057700000005,-0.0431176798
SRX5088615,19.6568765092,3.298332063
SRX5088616,17.2590959185,3.4370895927
SRX6845150,6.1792398757,1.3523580320000002
SRX6845149,4.2389827251,2.219662472
SRX6845151,5.5428016043,0.7495205468
SRX6845152,6.2992010448,0.6906210267
SRX6845145,4.3488140494,2.2457779907
SRX6845146,3.111407534,1.7299647377
SRX6845142,4.2705144804,0.4947149079
SRX6845141,5.089472426,0.5251537958
SRX6845144,1.0253040322,0.10201415920000001
SRX6845143,-1.0253040322,-0.10201415920000001
SRX5605051,0.008621924500000001,-0.0754113616
SRX5605045,-0.008621924500000001,0.0754113616
SRX5605060,2.7137435632,0.3331068636
SRX5605059,1.3413768911,0.3674109131
SRX2382017,-0.0997295711,-0.3794205279
SRX2382024,0.0997295711,0.3794205279
SRX2382027,0.2719513463,0.5984528044
SRX2382029,0.6124279036,0.6214060387
SRX2382217,0.6002288457,0.7852282988
SRX2382023,0.1376273294,0.8214371571
SRX2382218,0.3628399583,0.3145326775
SRX2382219,-0.06308021280000001,0.8583428041000001
SRX2382213,0.5045187907,0.3901184077
SRX2382019,0.5805122483,0.22013376040000002
SRX2382214,-1.0019395139,0.3604377476
SRX2382215,0.9976385397,1.0230303697
SRX2382020,0.09544339090000001,0.9111639874
SRX2382216,-0.0174156336,0.3691139565
SRX2382022,0.3573281867,0.5173648195
SRX2382033,0.6710942697000001,0.8234260643
SRX2382220,3.1196337995,1.8604554597
SRX2382222,2.7681267177,1.7506378274
SRX2382030,3.0203085578,1.7086191081000002
SRX4506350,-0.6659893129000001,-0.0700361555
SRX4506352,-0.990191875,-0.1644973408
SRX4506354,-0.9064471438,-0.08821556300000001
SRX4506348,0.0189227052,-0.0304641315
SRX4506346,0.0564645738,0.0295268612
SRX4506344,-0.075387279,0.0009372703
SRX4506351,-4.2237253504,-0.39965793510000003
SRX4506353,-4.0133078593,-0.48580779830000004
SRX4506355,-4.1905037305,-0.43168483750000003
SRX4506349,-3.3137085804,-0.6041169866
SRX4506345,-3.7013676235,-0.6134413444
SRX4506347,-3.2062975091,-0.6809992986000001
SRX4514122,-0.9318126521000001,0.0441017651
SRX4514124,-0.8477487869,-0.16819546970000002
SRX4514126,-0.8561206337,-0.0090980153
SRX4514120,-0.8771831544,-0.0285608251
SRX4514112,0.1497670884,0.096559554
SRX4514116,-0.122056121,0.0211156653
SRX4514118,-0.029160694900000002,-0.09607913850000001
SRX4514114,0.0014497275,-0.0215960807
SRX4514121,-1.0702560532,0.0870906864
SRX4514125,-0.8292340928,0.0638600384
SRX4514127,-1.0168437776,0.1147604322
SRX4514123,-1.048369874,0.13001199260000001
SRX4514115,-0.6917736827000001,-0.0652432657
SRX4514117,0.0560809644,0.0406272748
SRX4514113,-0.3310919473,-0.16389605200000001
SRX4514119,-0.3767760676,-0.19078682700000002
SRX958308,3.9316845964000002,0.8967705825000001
SRX958306,3.2116870946000002,0.912193927
SRX958307,5.2812318493,1.4853484622
SRX958313,-0.2606897126,-0.0206933595
SRX958312,0.1563914553,0.1361660071
SRX958314,0.1042982573,-0.1154726476
SRX958320,3.827677908,0.20666213730000002
SRX958318,2.2534284867,-0.14188338420000002
SRX958319,2.8921173841,0.32044201920000004
SRX958323,8.3083196339,0.7314891198
SRX958322,8.8266913919,0.9448891573
SRX958321,8.2381611958,0.8660600896
SRX958310,2.0446009733,0.9583284694
SRX958309,0.3274443769,0.7923491854
SRX958311,1.9037933716,0.8988007575
SRX958317,0.5497207816,0.2106482345
SRX958315,0.3915943568,0.3813769333
SRX958316,0.5757678002000001,0.6027019407
SRX958324,0.7271103855000001,0.5372983456
SRX958325,0.8409061761000001,0.5752071797
SRX4498322,-0.7638587053,0.14309805350000002
SRX4498318,-0.3134691074,-0.09834699999999999
SRX4498320,-0.444312319,-0.0537471896
SRX4498316,-0.7291493713,-0.102122896
SRX4498312,-0.21298763440000001,-0.0273245176
SRX4498308,0.07893506110000001,-0.0101659582
SRX4498314,0.37060837960000004,0.02752212
SRX4498310,-0.2365558064,0.0099683558
SRX4498319,-8.4188644774,-2.6067851892
