,0
gene_id,Rv0271c
name,fadE6
operon,Op187
gene_product,acyl-CoA dehydrogenase FadE6
COG,Lipid transport and metabolism
regulator,"senX3,regX3,Rv1816,blaI,vapB15,Rv2324,tcrX"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0271c"">External Database</a>"
