,-0.08380541593831575,-0.05986101138451125,-0.03591660683070674,-0.011972202276902238,0.011972202276902266,0.03591660683070677,0.059861011384511276,0.08380541593831578,0.10774982049212029,0.1316942250459248,0.1556386295997293,0.17958303415353377,0.2035274387073383,0.22747184326114284,0.2514162478149473,0.2753606523687518,0.2993050569225563,0.32324946147636086,0.34719386603016533,0.3711382705839698
thresh,-0.095777618215218,0.095777618215218,2,,,,,,,,,,,,,,,,,
unreg,2,6,110,1929,1722,108,16,2,1,1,0,0,0,0,0,0,0,0,0,0
whiB7,0,0,0,0,0,1,1,1,2,1,0,0,1,0,0,0,2,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],['Rv1257c'],['Rv2415c'],[],[],[],[],[],[],[],[],[],[]
whiB7_genes,[],[],[],[],[],['Rv2302'],['cut2'],['Rv1473'],['Rv0263c' 'hflX'],['erm(37)'],[],[],['whiB7'],[],[],[],['eis' 'Rv1258c'],[],[],[]
