,Value,list
TF,whiB7,
reg_genes,9,['Rv2302' 'Rv1473' 'cut2']
comp_genes,8,['Rv2415c' 'Rv1257c']
both_genes,6,['eis' 'hflX' 'whiB7' 'Rv0263c' 'Rv1258c' 'erm(37)']
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
