,A,whiB7
R2,,0.548659019769079
xmin,,-4.0773113818
xmid,,-2.072664117387229
xmax,,5.6023557743
ystart,,-3.771818600078953
yend,,10.858814768950653
SRX3995807,0.8021995153,0.1292674987
SRX3995806,1.9469248245,0.33415461280000003
SRX3995809,0.8244871285,-0.1736577641
SRX3995808,3.1622025666,-0.012149223300000001
SRX4619048,0.8218980224,-0.0969436984
SRX4619047,2.8111260809000003,0.28551032260000003
SRX4619049,2.3563707029,-0.6748255536000001
SRX4619050,1.2565039269,-0.20616645290000002
SRX3995804,0.3146027319,-0.0722740952
SRX3995805,-0.3146027319,0.0722740952
SRX5089845,2.7785732185,0.7668201404
SRX5089844,2.5868596184,0.6401672984
SRX5089860,0.1551841515,0.0626907828
SRX5089859,-0.1413646227,-0.1286839727
SRX5089858,-0.013819528800000001,0.0659931899
SRX5089854,-3.7632269573,-1.2264640815
SRX5089853,-3.7756280492,-1.3326401895
SRX5089852,-4.6645720225,-1.6512906107
SRX5089856,2.2884583866,1.317052991
SRX5089855,1.4614732552,1.3624763652
SRX5089857,2.3595615938,1.2598256911
SRX5089868,-5.0303204828,-1.47421039
SRX5089866,-5.5748589727999995,-1.8888972176
SRX5089867,-4.7996304377,-1.5913110389
SRX5089870,5.4192598497,2.527340659
SRX5089869,4.4624256539000005,2.476248821
SRX5089871,4.672835952,2.4551539933
SRX5089846,-5.0827252975,-1.2732788918
SRX5089848,-3.9081677266,-0.8955734593
SRX5089847,-4.5569320671,-1.3654627244
SRX5089849,5.622585767,2.7611458248
SRX5089850,4.9993166212,2.0346479691
SRX5089851,4.08970936,2.1444657511
SRX5089863,-5.5981353568,-2.4379847839
SRX5089861,-5.9876497028,-2.4260669984
SRX5089862,-5.9628407701,-2.4286342214
SRX5089865,5.2516554827,1.6767408714
SRX5089864,4.9060721597,2.0572633257
SRX5388955,0.1990402521,0.009059073400000001
SRX5388957,-0.168937097,-0.1408269331
SRX5388954,-0.10639861290000001,0.0068443549
SRX5388956,0.0762954577,0.12492350470000001
SRX5388960,0.7321696743,-0.5282670128
SRX5388961,-0.32607274880000003,-0.7158837601
SRX5388959,0.7763919804,-0.8151334459
SRX5388958,0.7051466735,-0.6025382180000001
SRX5388964,1.2805137609,0.4237364384
SRX5388965,1.1448315322,0.5864412886
SRX5388962,0.6386620082000001,0.47306276220000004
SRX5388963,1.0675800772,0.47070853300000004
SRX6889335,-0.0826540826,-0.4679586576
SRX6889333,0.0826540826,0.4679586576
SRX6810002,-0.4223551515,-0.1651923293
SRX6810004,-0.2315118851,-0.22641474290000002
SRX6810003,0.6538670367,0.3916070723
SRX6810006,5.1744696008,2.3295021139
SRX6810005,4.1585468414,2.1732798042
SRX6810007,5.4911367361,2.1347039936
ERX1818322,0.9389873466,0.2631313132
ERX1818321,-0.9389873466,-0.2631313132
SRX2617830,1.9353299829,1.7420655618
SRX2617831,2.1440036604,1.7013082536000002
SRX2617833,1.1901766857,0.1031969814
SRX2617832,1.8243590889,0.1749817001
SRX2617828,-0.13500250730000002,-0.0755646702
SRX2617827,-0.042722405500000005,-0.1013767076
SRX2617829,0.1777249129,0.1769413778
SRX3456119,-1.0212230206,0.7388362351000001
SRX3456118,-0.46674861770000003,-0.0715100259
SRX3456117,0.5572452627,0.7943499707
SRX3456101,0.4692359176,0.2490415531
SRX3456099,-0.4587290339,0.5227476673
SRX3456100,-0.0105068837,-0.7717892205
SRX3456107,-1.5826391737,2.8203822137000003
SRX3456105,-1.6689061241,3.2236079423
SRX4374122,-1.9635545338,-1.2588123856
SRX4374121,-2.3691678737,-0.896187594
SRX4374123,-2.8557930268,-1.0882768779
SRX4374124,-0.40636825930000003,0.0095044738
SRX4374125,0.5234182669,-0.1081078988
SRX4374126,-0.1170500076,0.09860342500000001
SRX4374127,-3.413357868,-0.4178600248
SRX4374128,-2.3861494416,-0.6658361742000001
SRX4374129,-3.2530177514,-0.7459360999
SRX4374130,0.2851646492,0.14526998730000001
SRX4374132,1.1803111759,-0.25670810780000003
SRX4374131,2.7400775345,0.1663393484
SRX4374133,-4.4623617637,-1.1767193954
SRX4374135,-4.4935125105000004,-1.2931462359
SRX4374134,-4.3555842814,-1.2620957623
SRX4374138,-1.4822618992,-0.045154751900000005
SRX4374136,-2.1991359524,0.2515594578
SRX4374137,-1.7078303287,-0.159955638
SRX1091379,-5.182083134,-0.1784114087
SRX1091380,-5.1991824075,-0.1195071028
SRX1091377,-0.17409152690000002,0.0070538961
SRX1091378,0.17409152690000002,-0.0070538961
SRX4647145,0.1974400415,-0.0698577522
SRX4647146,0.29677916330000004,0.12032459370000001
SRX4647147,0.2246294995,-0.1402862047
SRX4647144,0.1232466843,0.051774408
SRX4647143,-0.1175464635,-0.060348657800000004
SRX4647142,-0.0057002208,0.008574249800000001
SRX4647155,-1.6943872968,-0.5896327915
SRX4647152,-1.2068993983,-0.5535240426
SRX4647153,-1.4752015408,-0.6872299164
SRX4647154,-2.2632368016,-0.36638655870000003
SRX4647148,-1.2035177249,-0.7428930466
SRX4647149,-0.9659983128,-0.7430760895
SRX4647151,-1.0144937797,-0.7207874408
SRX4647150,-0.9546118689,-0.6924760633
SRX4647123,0.1947224861,0.052048334200000004
SRX4647124,0.0316300785,-0.014725709100000001
SRX4647125,-0.2263525646,-0.0373226251
SRX3103185,-1.2389040046,-0.11446752880000001
