sample,Rv2276
SRX3995807,0.0657036274
SRX3995806,0.0955809172
SRX3995809,-0.0609262064
SRX3995808,-0.11038263050000001
SRX4619048,-0.1181285014
SRX4619047,-0.0989401869
SRX4619049,-0.1691587206
SRX4619050,-0.08712650250000001
SRX3995804,-0.3014098812
SRX3995805,0.3014098812
SRX5089845,0.1741467939
SRX5089844,0.018142731000000002
SRX5089860,-0.0681991564
SRX5089859,-0.11450602380000001
SRX5089858,0.18270518030000002
SRX5089854,-1.4202532624
SRX5089853,-1.2801828721000001
SRX5089852,-1.3041433114
SRX5089856,0.6450249583000001
SRX5089855,0.8924010049000001
SRX5089857,0.5266092537
SRX5089868,-0.9812399863000001
SRX5089866,-1.3240773737
SRX5089867,-0.9980969731
SRX5089870,0.8598529497
SRX5089869,0.9334333890000001
SRX5089871,0.7410157260000001
SRX5089846,-0.9847030263000001
SRX5089848,-0.8114275066000001
SRX5089847,-1.0868512248
SRX5089849,1.0064651626
SRX5089850,0.8982787135
SRX5089851,0.910181243
SRX5089863,-0.6216910905
SRX5089861,-0.8110254245
SRX5089862,-0.6334210818
SRX5089865,0.9251729196
SRX5089864,1.097604503
SRX5388955,-0.15118599870000002
SRX5388957,0.0847869309
SRX5388954,0.059505632200000005
SRX5388956,0.0068934357000000005
SRX5388960,-1.5058424675
SRX5388961,-0.8512752966
SRX5388959,-1.3511079051000001
SRX5388958,-1.4610757291
SRX5388964,-0.8574033320000001
SRX5388965,-0.367843539
SRX5388962,-0.34276085170000004
SRX5388963,-0.6717399503
SRX6889335,0.3499502378
SRX6889333,-0.3499502378
SRX6810002,0.0234735421
SRX6810004,-0.1342352869
SRX6810003,0.1107617448
SRX6810006,-0.1640213841
SRX6810005,0.1802372573
SRX6810007,-0.3485896129
ERX1818322,-0.26615325700000003
ERX1818321,0.26615325700000003
SRX2617830,0.0884857433
SRX2617831,0.0087317994
SRX2617833,-1.3882721757
SRX2617832,-1.3746977675
SRX2617828,0.031096271
SRX2617827,-0.1439911791
SRX2617829,0.11289490810000001
SRX3456119,0.1092946629
SRX3456118,1.3699124550000001
SRX3456117,1.0076129216
SRX3456101,0.041537826
SRX3456099,0.812922123
SRX3456100,-0.8544599490000001
SRX3456107,2.7127313232
SRX3456105,2.3283162491000002
SRX4374122,-0.9761508761000001
SRX4374121,-0.7351654066000001
SRX4374123,-0.7887245681
SRX4374124,0.2059239641
SRX4374125,-0.1177668193
SRX4374126,-0.0881571449
SRX4374127,0.5529113337
SRX4374128,0.08097436770000001
SRX4374129,0.12557818810000002
SRX4374130,0.2625916399
SRX4374132,-0.012280827900000001
SRX4374131,0.0842144331
SRX4374133,0.30379682890000004
SRX4374135,-0.22224884520000002
SRX4374134,-0.30874510110000003
SRX4374138,0.2005890762
SRX4374136,0.7495565924
SRX4374137,0.4502200807
SRX1091379,0.695133996
SRX1091380,0.9726794795
SRX1091377,-0.02859234
SRX1091378,0.02859234
SRX4647145,0.0725986581
SRX4647146,0.09758425250000001
SRX4647147,0.1061894553
SRX4647144,0.020314742
SRX4647143,0.0203918078
SRX4647142,-0.0407065498
SRX4647155,0.19315207080000002
SRX4647152,0.18149293830000002
SRX4647153,0.2409931978
SRX4647154,0.3095743187
SRX4647148,0.9557176471000001
SRX4647149,0.9004131691
SRX4647151,0.9249144329000001
SRX4647150,0.9196122974000001
SRX4647123,0.19301134890000002
SRX4647124,-0.1368056558
SRX4647125,-0.0562056931
SRX3103185,-0.3554583216
SRX3103189,-0.39786702490000003
SRX3103187,-0.4647980748
SRX3103184,0.0428523065
SRX3103188,0.092907425
SRX3103186,-0.1357597314
SRX1372110,-0.1556091752
SRX1372111,-0.3340517812
SRX1372108,-0.5114754189
SRX1372109,0.5114754189
SRX4506085,0.093335966
SRX4506083,-0.0215440119
SRX4506089,0.008431026500000001
SRX4506087,0.005196231
SRX4506077,-0.1155684198
SRX4506079,-0.1311717097
SRX4506075,0.2944847108
SRX4506081,-0.0477445813
SRX4506084,1.1567776695
SRX4506086,1.1272794757
SRX4506088,1.194298188
SRX4506090,1.1065926207
SRX4506078,0.8491342533
SRX4506080,0.8864171268000001
SRX4506082,0.8060471691000001
SRX4506076,0.9522290336
SRX5352221,0.4918239458
SRX5352223,0.386224911
SRX5352222,0.5019163586000001
SRX5352229,-1.1381718634
SRX5352227,-0.8488675873
SRX5352228,-1.1799965464
SRX5352231,-0.32138765480000003
SRX5352232,-0.4417695622
SRX5352230,-0.1157224466
SRX5352225,-1.2128035609
SRX5352224,-1.3444551426
SRX5352226,-1.2187447887
SRX5352220,0.056747151200000005
SRX5352219,-0.1119300653
SRX5352218,0.0551829141
SRX4498228,-0.0304456452
SRX4498224,-0.0807618079
SRX4498230,-0.1343037738
SRX4498226,-0.0885286946
SRX4498218,0.0331286675
SRX4498216,0.0003578818
SRX4498220,-0.0494875005
SRX4498222,0.016000951200000002
SRX4498225,-0.5160193059
SRX4498227,-0.4332919066
SRX4498231,-0.5180667474
SRX4498229,-0.502879151
SRX4498217,-0.6759912726
SRX4498221,-0.6181587363000001
SRX4498219,-0.6269385562
SRX4498223,-0.5093254647000001
SRX5079928,-0.27902903490000003
SRX5079930,-0.3458277698
SRX5079929,-0.5346633352
SRX5079923,-0.3077733036
SRX5079924,-0.2007265075
SRX5079922,-0.4111052396
SRX5079920,0.0003227894
SRX5079921,0.1708531784
SRX5079919,-0.1711759678
SRX5079926,-0.33456232900000005
SRX5079925,-0.4992664599
SRX5079927,-0.3473296428
SRX894005,0.3683716951
SRX894004,0.47502654250000004
SRX894006,0.38133245790000003
SRX893999,-0.0020700229000000002
SRX894000,-0.06335667090000001
SRX893998,0.0654266939
SRX4647489,0.0833125146
SRX4647490,-0.0833125146
SRX4647492,0.0277298488
SRX4647491,-0.0336475441
SRX4647496,0.5215254709
SRX4647495,0.1966804409
SRX4647499,-0.0016584914000000001
SRX4647500,0.0161467196
SRX4647493,-0.0062425543000000005
SRX4647494,0.2150707212
SRX4647497,0.0015243979000000001
SRX4647498,0.1599203021
