Geneid,ctrl_1,ctrl_2,ctrl_3,levofloxacin_1,levofloxacin_2,levofloxacin_3
Rv0001,43.291669883414606,57.99769173289153,61.461493430349535,174.29818672334338,186.84971033468275,206.92839063397122
Rv0002,111.6464948917,126.67792912002464,118.34845404370304,172.23265869379824,181.7411537643152,184.8959901772763
Rv0003,19.608824607631437,21.89002486991785,25.54330951400402,89.80531613810085,113.0332578565593,125.09017848139128
Rv0004,29.97183345168828,37.179147732164054,28.511932069392852,85.38036007906308,114.26388020352393,121.71606995966172
Rv0005,389.7092740005668,406.4573915261065,361.856354122518,1124.8300851850872,1598.5200783289727,1663.600725537839
Rv0006,220.67497505295225,234.374304807262,245.48098063994672,747.8066799904182,1041.1442184915793,1072.6828661635307
Rv0007,113.05255309303251,119.3713727684448,104.03631108666245,273.1138343731782,448.85599928805595,400.72010410132003
Rv0008c,58.75484341336896,69.08474893321808,55.74095548652838,49.0762798035839,45.45831561726932,43.85053012492637
Rv0009,454.5080284919088,443.8352377538779,435.51575356253767,783.0750657183884,536.0691749003466,522.9629836672057
Rv0010c,54.783496292291105,65.7346421928811,58.6887944786044,151.09423842588947,203.82555534000332,199.540831221813
Rv0011c,287.1927921788625,261.19527837153225,291.362809468249,286.1626033572586,385.1967003570335,392.3915179565987
Rv0012,201.61632747076808,173.25336109294537,163.04922369721297,183.85804780250504,164.10485688692793,169.92900637544085
Rv0013,62.623871854920566,68.35129892195522,71.19899530451553,121.80406232978136,122.36583848866216,116.64495993469238
Rv0014c,57.072695020932436,54.32795737900052,49.17253593741653,149.9639719490554,193.97830286171268,198.02382321456113
Rv0015c,85.65747868724607,83.66397642799872,90.2974198999515,247.3995886746478,349.2634217596169,303.7592233304365
Rv0016c,54.44282985742581,64.82915401872197,60.358800825556635,174.8407945393754,230.44175385228934,229.5246919326788
Rv0017c,44.28673898085281,46.30921692208788,39.791835121663524,124.59996687847274,174.9678721361445,162.84467699296246
Rv0018c,54.21596744589403,59.35687260157263,57.587192511044655,220.04124777454197,268.7250556482731,273.8920866268342
Rv0019c,112.13342664512216,115.70063890165218,120.38727072534216,384.8913220521727,484.6024732299155,477.6479746246295
Rv0020c,523.0769504298,498.26939026991846,445.35309951567115,771.8412295086566,849.3244786725054,876.6226774764036
Rv0021c,21.74103976362462,22.18772040856655,23.136346223763564,42.38332675774527,47.1746507975719,49.23276337405596
Rv0022c,2.1025017495960356,2.843902258717067,3.3536453987773784,1.7155156068611084,3.646656087978747,1.4751560825436032
Rv0023,20.615970462965095,16.008477046474773,20.552496120912057,46.570352336709554,66.47152222625103,66.21556641331884
Rv0024,23.709062282678776,31.68855629492456,29.136280946824854,57.91386020325468,82.99972285350393,72.35588274377007
Rv0025,57.688477757511286,58.49716308104922,91.5092497930858,84.68881453154587,107.75370309551944,95.92171948308311
Rv0026,11.61292725834781,11.823201669499278,15.249501163705613,34.50134950992395,47.93069300492184,49.30766700849532
Rv0027,82.51327621056159,62.184277900249434,64.96369703292063,52.86809102905342,59.64849653341112,66.24285804629777
Rv0028,50.295139892297456,45.97332191651577,31.837712037412736,34.1421243326281,48.897092944390636,39.27964627635711
Rv0029,42.164925797909596,46.65588283578329,41.477690815479974,77.7606664421475,86.05433912531556,80.91593856050663
Rv0030,43.19685412806413,55.90135146932742,73.27207068237855,89.88262073523846,67.47588817336883,79.98028069354581
Rv0032,4.5209234512039,6.532625222959785,5.270841645746863,10.007174373356538,12.819253366270427,11.289147844129035
Rv0033,11.468191361432932,10.556909899783037,11.115301984584109,13.191275310333628,3.5701528134057625,7.509885511131072
Rv0034,24.84774794977137,14.746159860014414,19.5629314928681,11.826660623057688,7.437818361261961,9.074444992616677
Rv0035,13.145304011683908,8.40766841041678,7.644484775188266,15.144072053463184,8.370518141555221,9.023867758934585
Rv0036c,166.24432438666366,142.66052329688407,196.53921871904663,219.6923862429893,224.51833099809406,195.47533391473183
Rv0037c,63.64586744252253,74.36468399993709,79.9336069595468,120.99171912040046,117.72619288549502,106.06438982632493
Rv0038,238.2144839443783,246.90737617827045,293.54034151367705,328.70856513074574,346.86760560986187,366.8560574932579
Rv0039c,87.72507300038615,110.59619895010833,107.93341513306508,116.63534269636185,119.84633668449996,90.79840025311498
Rv0040c,222.8246227224606,231.0073660385534,214.62611657127363,183.7973634103288,200.02039427904168,192.57664614556384
Rv0041,40.09926017270793,41.593292141236724,44.00651187364772,78.28292695363827,75.70932306366649,77.32859431461571
Rv0042c,106.43286368768486,98.4253253814359,97.72105492131236,148.81482273871762,180.95037680577641,191.30445196776026
Rv0043c,36.72941831947365,35.93247933236169,34.015546187599156,52.282380399576795,48.889235465209396,46.53063757508961
Rv0044c,42.36739374657684,36.058534299205135,36.46825719802594,47.732333614802506,52.16464790002659,55.488135210545956
Rv0045c,92.2569329588631,111.40995024673103,128.36947019734825,226.3830349879045,291.9764105224456,283.8812073229396
Rv0046c,842.9432286288043,937.9038524008085,1075.642271268213,1006.6999872327646,1301.9415966278632,1323.6479322832215
Rv0047c,424.2174800842404,543.0823294301448,643.5231718703702,762.7567826233485,1197.243842365178,1225.4390528798654
Rv0048c,31.030025821624186,26.085448304094445,33.86410899799919,51.48518677602745,44.82388411589772,46.71666711062223
Rv0049,198.67117981690066,225.68035959674293,197.89748089886842,255.25546227692007,300.2291550693761,284.04237264745404
Rv0050,86.63917371678536,83.98144356211458,83.26490723768575,265.2859185867706,318.1642369543394,325.2034811248697
Rv0051,19.11365226905485,19.477548050393384,16.947566320024773,88.6196832207403,135.73580990575965,120.52629982079965
Rv0052,13.196553534698548,12.706797326182675,20.395396662777454,71.5406508393146,105.28152764639086,94.03335368724758
Rv0053,328.1636751431332,350.2593022419927,364.23354923834904,571.9564404730781,425.91555006939683,411.34043010968486
Rv0054,165.90650169539595,208.32302202238546,215.0736832003801,378.69573810447406,324.88390601992455,323.17540649567445
Rv0055,278.51964353472243,262.30816127461,424.86084159805307,622.5639774859908,451.393321007901,519.4631983846485
Rv0056,229.21391623047043,235.3602769814074,270.04517197998416,520.8963183621637,429.4217138895814,458.12755828851
Rv0057,24.65002051250529,24.15319287416151,25.859047375630226,212.7962366748228,281.4470467901537,323.7882822098012
Rv0058,39.022432472502345,41.45777514929786,39.707161521524185,196.02625001066409,229.52614441751626,235.50571826592034
Rv0059,4.5508695878702135,5.362239949096173,3.89564869554948,37.082862612957534,55.59237952303267,50.4235170033087
Rv0060,123.64854482043592,99.75589163091936,111.6140057411793,149.00200710017526,191.9083559047422,215.76560581838882
Rv0061c,483.01721610188497,497.19353156331834,422.76706819100883,720.1623186206656,583.1670852198541,594.7098274013833
Rv0062,120.74209522614525,139.21768245793132,157.94114769570126,175.13868430850653,105.75523530734193,100.27963920703242
Rv0063,23.91595740165496,24.146836770773685,27.632640733676116,66.29753022348696,72.6526097528074,61.870504695349744
Rv0063a,103.56767877639724,106.5000434334374,100.71286953735769,161.5973343253122,177.44981761446374,196.57820685155104
Rv0064,94.99875252256415,81.38977416614104,85.11871416896878,163.09651948086764,185.93938734309162,195.142076062197
Rv0064A,29.43502449434449,35.94376465878508,27.87717737733708,56.54053520946439,50.07139320801575,53.69568140458699
Rv0065,15.062699101583604,14.195930014491534,11.971346137426718,47.79545969364306,56.26987120830579,56.71644878555705
Rv0066c,154.16467252399954,130.40270321248659,101.01395725271816,122.23240333783461,103.18028774400547,108.63160127428351
Rv0067c,20.36106957503525,17.69539183201735,34.18364871385387,36.025827744083465,44.85239350315553,48.478287260011975
Rv0068,39.145262837873666,47.585469811428275,42.472153898990115,20.277695440748754,19.506657312720204,18.61414056788566
Rv0069c,19.02263487729754,14.841914144819741,12.618514252975576,40.63519290999315,45.561950190130595,41.304370311220836
Rv0070c,17.668911416792973,17.342314764946515,16.623899531498257,31.19607410285778,33.00296192298557,29.86325365224419
Rv0071,4.810809088058712,4.311377247207614,4.973626650729178,7.4629774987743644,6.489811681996068,7.875833322054822
Rv0072,82.77849745552385,102.2540856578712,96.24962294491104,220.50093933521566,328.42345752350104,321.70203848110833
Rv0073,78.00217971310974,95.02585794988163,100.47427050717775,210.05996237486661,297.8003600547827,290.87760482010907
Rv0074,36.844812213794704,39.51398176081525,35.327235511392864,101.33478515932886,162.1386633292116,156.39518855704995
Rv0075,34.09171634894851,35.18712825931835,35.023151010249805,102.57993577599234,145.33535123012686,148.10416157629587
Rv0076c,25.876944610412817,34.36989567372586,30.096817681335658,26.172609899547812,17.823301353079454,20.01673330466857
Rv0077c,34.45977596810828,29.22614354927059,38.27837136871673,14.59530125211558,11.200226696207984,11.481720267018103
Rv0078,11.449266953245761,9.417102088821064,18.98185431981263,28.138985366665832,13.22016982389852,10.428331118179507
Rv0078A,189.43753137774436,197.50917145837573,217.16830010769726,306.07802022751036,304.4546982543242,327.9316673193912
Rv0078B,102.38269389337265,137.20340043665627,139.49220716653764,136.90974794852994,133.75137713991143,151.44935780780975
Rv0079,4025.753714992955,4926.616663888634,4639.699051578487,1605.9688742526675,879.3130022360873,881.2603972240751
Rv0080,2915.743929603249,3257.4556271160286,3013.714348280469,1286.6740802134952,692.0029531657582,609.3069528916698
Rv0081,325.4307055896479,335.05839751493767,390.23795517077656,498.4443027007482,374.2761940732156,339.77334186447746
Rv0082,228.6470652685689,257.96563405112835,361.9142326180596,364.0109678308439,256.9840621999629,247.826221867326
Rv0083,67.3062962585191,90.89247676586092,97.23478898015226,126.9552917381208,95.26905440453292,77.00268724166781
Rv0084,108.9056111304952,138.57668840057767,165.51350871884034,243.07647531496957,222.25045936829366,180.4623119275737
Rv0085,79.34327869516255,82.67190980342917,106.04702230070579,145.80588905976478,170.41421732406064,137.5566359685912
Rv0086,57.442583588145126,57.44669638717261,57.76865659652646,105.02416949706674,135.88483468938222,106.76630689853398
Rv0087,26.01472753049859,22.702505747973614,26.031000120327484,46.68661472356984,71.37408951100832,58.89852399348553
Rv0088,306.6849218744074,278.99734455147245,253.3616994231892,217.93401968643025,239.46998337742144,239.74892278424227
Rv0089,62.862678573780656,54.29267948459864,63.43132332536035,72.17295457148013,70.80803079921392,69.25783304709753
Rv0090,10.14436641828438,11.877257163513598,8.52547987237834,14.796600240760652,10.849374892100766,13.982413296016446
Rv0091,11.498056443103348,10.022780529853568,12.073996780754522,25.017935933391357,24.237990584762496,23.23370830006173
Rv0092,46.96139078494034,46.96709971162065,46.77645824147737,66.6094336242311,56.742940581571226,53.28372180568252
Rv0093c,29.420165824735985,36.891452936007916,56.269350654398224,39.60436501116348,44.267371810038185,33.13106735211013
Rv0094c,2.2479578454800406,1.5302618722656538,1.476447659839109,4.279797845209072,4.075363117189589,5.974846019862151
Rv0095c,4.604018429772329,3.874903320879713,5.711804815435953,7.888867389215378,7.739674347310293,8.14027736060557
Rv0096,18.12501508272448,18.11489465562115,14.250583716787512,10.35224935174812,2.5391173026377256,1.2462525524937313
Rv0097,128.61510702701239,113.64712857631812,85.13248118620544,46.792167069901396,13.812798126349213,17.518750166483333
Rv0098,90.49898835217762,77.65776578453281,63.57952735182117,49.16568279083838,18.99554132784915,26.937632811665857
Rv0099,91.79499320787133,86.02380872126716,74.27405043687801,70.7346299514147,30.12522660480092,37.868701801045425
Rv0100,21.823435881883,39.19865279244348,25.75373259820604,35.46846613341549,23.36416461431366,16.730884176697042
Rv0101,16.281211319991627,16.846886175129892,17.344294216518147,39.94905424333969,30.129646186513895,29.618175607170777
Rv0102,62.18577682339935,59.54151858884993,58.393281918289055,80.17832760767818,115.9167138539931,111.93359567723594
