,-0.056249999999999994,-0.048749999999999995,-0.041249999999999995,-0.033749999999999995,-0.026249999999999996,-0.018749999999999996,-0.011249999999999996,-0.0037499999999999964,0.0037500000000000033,0.01125000000000001,0.018750000000000003,0.026249999999999996,0.03375,0.04125000000000001,0.04875,0.056249999999999994,0.06375,0.07125000000000001,0.07875000000000001,0.08625
thresh,-0.06,0.06,1,,,,,,,,,,,,,,,,,
unreg,2,2,10,50,145,293,662,908,834,490,238,133,51,38,27,15,4,2,2,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Rv2365c' 'Rv3422c' 'murC' 'proZ'],['hisF' 'aroE'],['era' 'ccdA'],[]
