,-0.22973936046223103,-0.1914494670518592,-0.15315957364148736,-0.11486968023111552,-0.07657978682074368,-0.03828989341037184,0.0,0.03828989341037187,0.07657978682074368,0.11486968023111549,0.15315957364148736,0.19144946705185922,0.22973936046223103,0.26802925387260285,0.30631914728297477,0.3446090406933466,0.3828989341037184,0.4211888275140902,0.459478720924462,0.49776861433483394
thresh,-0.24888430716741694,0.24888430716741694,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,4,220,3477,200,1,2,0,0,0,0,0,0,1,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['ppsC'],[],['ppsB'],[]
