,-0.030151525247687334,-3.469446951953614e-18,0.030151525247687327,0.06030305049537466,0.09045457574306198,0.12060610099074934,0.15075762623843666,0.180909151486124,0.21106067673381132,0.24121220198149868,0.271363727229186,0.30151525247687333,0.33166677772456066,0.361818302972248,0.3919698282199353,0.42212135346762264,0.45227287871530997,0.4824244039629973,0.5125759292106846,0.5427274544583719
thresh,-0.045227287871531,0.045227287871531,2,,,,,,,,,,,,,,,,,
unreg,28,3395,27,2,1,1,2,1,3,1,0,3,1,0,0,0,0,0,0,0
devR,11,415,8,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],['Rv0569' 'ctpF'],['Rv2628'],['Rv3134c'],['Rv1996' 'TB31.7'],['Rv0079'],['Rv3127' 'hrp1' 'fdxA'],['acg'],[],['hspX' 'Rv3131' 'Rv1738'],['tgs1'],[],[],[],[],[],[],[]
devR_genes,"['Rv2631' 'Rv1885c' 'Rv3742c' 'grpE' 'Rv3189' 'pncB2' 'hspR' 'Rv1907c'
 'argG' 'dnaJ1' 'ethR']","['Rv2039c' 'ethA' 'Rv1507A' 'dnaK' 'Rv2551c' 'PPE33' 'Rv2630' 'Rv1597'
 'Rv3292' 'pepR' 'Rv1979c' 'mtn' 'parE2' 'Rv1883c' 'argR' 'Rv1592c'
 'eccE3' 'Rv0320' 'Rv1735c' 'rpfC' 'cysA2' 'gpsI' 'cmtR' 'frdC' 'esxK'
 'Rv0841' 'Rv2619c' 'pcd' 'Rv0090' 'Rv2751' 'argC' 'ctpG' 'eccD3' 'PPE30'
 'PPE7' 'Rv0193c' 'Rv3767c' 'bacA' 'Rv3741c' 'argD' 'omt' 'Rv2520c'
 'Rv1167c' 'Rv1566c' 'Rv2912c' 'PPE27' 'argF' 'Rv1993c' 'Rv3768' 'Rv2369c'
 'mmpS3' 'Rv3294c' 'Rv2011c' 'radA' 'phoH1' 'Rv3387' 'rplF' 'Rv2777c'
 'Rv1598c' 'speE' 'Rv3098c' 'Rv0843' 'prpR' 'clpC1' 'acyP' 'argJ' 'dnaA'
 'Rv0268c' 'htrA' 'Rv2553c' 'aspC' 'menC' 'Rv0227c' 'tatB' 'mmpL5'
 'vapC43' 'add' 'fadE28' 'vapC7' 'uvrD2' 'aroE' 'fabG3' 'psd' 'mazF6'
 'Rv0775' 'PPE17' 'mpt64' 'rpsD' 'Rv1462' 'ggtA' 'Rv0192' 'Rv0008c'
 'Rv2418c' 'rplB' 'kshA' 'Rv2819c' 'Rv0338c' 'Rv3920c' 'fadE15' 'fadD4'
 'Rv2818c' 'hadA' 'Rv1702c' 'Rv1463' 'Rv2018' 'gap' 'fadE4' 'Rv1459c'
 'mycP3' 'rpsH' 'Rv2787' 'csd' 'fadD1' 'fadD13' 'PPE8' 'argB' 'katG' 'tpi'
 'ppsD' 'Rv1101c' 'Rv2197c' 'htdX' 'Rv3525c' 'Rv1882c' 'Rv2019' 'gmk'
 'Rv0083' 'Rv1138c' 'Rv1505c' 'pepN' 'Rv0909' 'pgk' 'Rv1460' 'Rv1816'
 'Rv2242' 'mgtC' 'dnaJ2' 'rpoA' 'PPE4' 'Rv3902c' 'Rv2802c' 'nrdF1'
 'Rv1375' 'icd2' 'Rv2375' 'mmpL1' 'devS' 'Rv3903c' 'espG3' 'topA' 'tgs4'
 'nusG' 'Rv1508c' 'glbN' 'relG' 'moeA2' 'Rv1465' 'Rv2226' 'lipY' 'Rv2037c'
 'Rv0680c' 'Rv0986' 'glyS' 'Rv0875c' 'Rv1887' 'Rv2423' 'moeB2' 'Rv1332'
 'Rv3736' 'Rv3271c' 'gpgP' 'mtc28' 'ppsE' 'hrcA' 'rplC' 'rplD' 'Rv2148c'
 'Rv1730c' 'sdhA' 'Rv1823' 'esxH' 'furA' 'Rv3085' 'Rv2120c' 'Rv3740c'
 'Rv3921c' 'Rv0776c' 'Rv0565c' 'tmk' 'fadD30' 'Rv3008' 'sirR' 'Rv0910'
 'pks8' 'trpE' 'Rv2620c' 'Rv2000' 'Rv1544' 'mshC' 'typA' 'Rv1509' 'sigK'
 'hadC' 'Rv0435c' 'vapB14' 'fadE29' 'parA' 'Rv3766' 'Rv2953' 'Rv3064c'
 'gid' 'mmpL4' 'Rv1543' 'nirB' 'Rv3729' 'Rv1524' 'fmt' 'Rv1358' 'moaR1'
 'rplQ' 'Rv0911' 'Rv0567' 'qor' 'Rv2367c' 'Rv2466c' 'Rv3273' 'cyp135B1'
 'amt' 'PE_PGRS40' 'vapC41' 'vapC6' 'ctpE' 'cbs' 'Rv0552' 'Rv3190c'
 'Rv1096' 'Rv2798c' 'moaE1' 'rplA' 'Rv1466' 'Rv0078A' 'Rv2147c' 'rplE'
 'rplV' 'aftA' 'Rv3083' 'adhD' 'pgsA2' 'fadD23' 'Rv2803' 'gabD2' 'Rv2693c'
 'sdhB' 'sdhD' 'pfkA' 'leuS' 'mycP5' 'dprE1' 'Rv1998c' 'rpsE' 'Rv3789'
 'Rv2508c' 'Rv0455c' 'lprF' 'mazF2' 'Rv0178' 'Rv3231c' 'lpdC' 'ftsY'
 'hisS' 'ndh' 'vapC1' 'hadB' 'rplO' 'Rv3087' 'PPE11' 'purB' 'Rv1112'
 'Rv0365c' 'Rv3492c' 'mmr' 'Rv0245' 'rpsS' 'gatB' 'Rv0089' 'rplR' 'Rv1360'
 'mbcA' 'drrC' 'mazF3' 'eccA5' 'plsB1' 'truA' 'proS' 'amiC' 'yrbE4B'
 'Rv2636' 'Rv0176' 'rpsC' 'Rv2302' 'Rv3353c' 'smtB' 'lprK' 'mce2F' 'rpmH'
 'mce1F' 'lppE' 'PPE3' 'pyrE' 'dgt' 'Rv3272' 'ppk2' 'Rv2331A' 'erg3'
 'Rv0439c' 'Rv1989c' 'drrB' 'dprE2' 'Rv2949c' 'mazE2' 'Rv1066' 'Rv3046c'
 'mmpS5' 'PE12' 'Rv2715' 'Rv1132' 'Rv2908c' 'Rv3249c' 'PE_PGRS23' 'Rv2422'
 'TB18.6' 'Rv1976c' 'Rv2799' 'PE19' 'vapC14' 'icd1' 'rpmD' 'cpsY' 'yrbE1B'
 'Rv2864c' 'groEL2' 'rplP' 'Rv2028c' 'fbiC' 'Rv2420c' 'rpmG2' 'Rv2800'
 'Rv3312A' 'Rv0880' 'Rv0823c' 'rpsN1' 'Rv0250c' 'Rv2716' 'rskA' 'Rv3524'
 'Rv2004c' 'frdB' 'papA5' 'papA1' 'vapB41' 'Rv2635' 'Rv2141c' 'mmpL12'
 'virS' 'mscL' 'prpC' 'lipR' 'Rv1192' 'accD6' 'cysK2' 'kasB' 'zur' 'rpfA'
 'rpsQ' 'Rv0678' 'Rv2923c' 'Rv0585c' 'kasA' 'Rv3090' 'fmu' 'Rv0177'
 'Rv3066' 'Rv0175' 'ppiA' 'TB27.3' 'prpD' 'Rv0082' 'nrdB' 'Rv1331'
 'Rv3839' 'Rv0401' 'mce1B' 'ribD' 'acpM' 'Rv0654' 'Rv3295' 'Rv2372c'
 'Rv1732c' 'Rv3005c' 'Rv1995' 'espA' 'rpmC' 'mce2R' 'Rv2021c' 'mce1C'
 'Rv3769' 'mce1A' 'Rv2035' 'PPE50' 'Rv1453' 'pip' 'Rv2033c' 'mpt83'
 'Rv1535' 'yrbE2A']",['Rv0653c' 'Rv0574c' 'fadE5' 'Rv2624c' 'Rv0081' 'pfkB' 'devR' 'Rv2625c'],['narX'],[],[],['Rv0080' 'Rv1813c'],['narK2' 'Rv2627c'],['Rv1733c' 'Rv2030c'],[],[],[],[],[],[],[],[],[],[],[]
