,A,devR
SRX4506080,-0.9810572126,0.1489391984
SRX4506082,-1.4876596611,0.0216966686
SRX4506076,-1.2275605796,0.0382073415
SRX5352221,-5.6304579008,-1.4515291327
SRX5352223,-6.9367363504,-1.4104968917
SRX5352222,-4.7314331293,-1.0954825616
SRX5352229,-4.4138553057,-1.6901040762
SRX5352227,-3.9517785529,-1.3574757373000002
SRX5352228,-4.7121130983,-1.4398924327
SRX5352231,-0.8842529693000001,-0.4610380157
SRX5352232,-0.6570391647,-0.201696657
SRX5352230,-0.8630842291,-0.5110921384
SRX5352225,15.5370515425,2.7898417243
SRX5352224,11.9343858777,1.8604269249
SRX5352226,15.877620673,3.0293202938
SRX5352220,0.0882987274,0.1044391509
SRX5352219,-0.3047588356,-0.014861049400000001
SRX5352218,0.2164601082,-0.0895781015
SRX4498228,0.845023575,-0.087067434
SRX4498224,0.9869812431,-0.2919847365
SRX4498230,0.6290931131,-0.07233696790000001
SRX4498226,-0.13803086150000002,-0.0062526209
SRX4498218,0.4880213351,0.029229263000000002
SRX4498216,-0.2219467645,0.0054115602
SRX4498220,-0.1838290727,-0.10099394240000001
SRX4498222,-0.0822454979,0.0663531191
SRX4498225,4.6004210115,0.28104408210000004
SRX4498227,4.7322568454,0.11069513160000001
SRX4498231,4.5683230978000005,0.050367711100000004
SRX4498229,4.8245791211,0.1363518833
SRX4498217,4.4895534786,0.0928537881
SRX4498221,4.6602632533,0.2667557564
SRX4498219,5.3113618006,0.1455455813
SRX4498223,4.5943747678,0.2603256628
SRX5079928,11.7571853768,0.1755106296
SRX5079930,21.0877252613,1.853617968
SRX5079929,18.5674356067,1.4089722601
SRX5079923,6.2283613596,0.1808595135
SRX5079924,2.3947532226,-0.1069160237
SRX5079922,2.5604008219,-0.2182816152
SRX5079920,1.8247220144,-0.019091769300000002
SRX5079921,-0.8118245637,-0.0070384955
SRX5079919,-1.0128974507,0.026130264900000002
SRX5079926,14.3877420739,0.8172577823
SRX5079925,14.1537926077,0.5139739153
SRX5079927,11.4341418382,0.474625799
SRX894005,3.096044454,0.5863004607
SRX894004,3.7592637488,0.32453236690000004
SRX894006,3.8431152341,0.3146050681
SRX893999,0.1377178598,-0.1786935418
SRX894000,-0.1881131359,0.119767258
SRX893998,0.050395276100000004,0.0589262838
SRX4647489,0.3854705355,0.0566716528
SRX4647490,-0.3854705355,-0.0566716528
SRX4647492,0.11190025370000001,-0.0266954773
SRX4647491,1.6847194390000002,-0.0309683328
SRX4647496,1.0639377104,-0.0768890223
SRX4647495,0.285455138,-0.0332261765
SRX4647499,-0.9631768672000001,0.11245199260000001
SRX4647500,-0.7685140986,0.028416081000000003
SRX4647493,-0.424770378,-0.11049691410000001
SRX4647494,0.6941666483000001,-0.2535597428
SRX4647497,-0.3079965644,0.1066251245
SRX4647498,2.1243536233,-0.0760884856
