,A,devR
SRX4615570,1.6094712632000001,-0.36385978210000003
SRX727246,-1.6814029325000002,0.3634587814
SRX727243,-3.3513691424,0.33898709850000003
SRX727247,-1.9623516771,-0.6423916065
SRX727244,-2.1400160945,-0.9740935858
SRX727245,-4.6493119188000005,-0.2649986563
SRX727248,-3.9601045123,-0.4108100764
SRX727249,-1.6887492821999999,0.0094555512
SRX727251,0.2019042285,-0.0350245132
SRX727250,1.4868450538,0.025568962100000002
SRX4498332,-0.27015724680000003,-0.3531687188
SRX4498334,-0.8528755454,-0.1643062147
SRX4498335,-0.2148443482,-0.0077209489
SRX4498337,-0.6671487490000001,-0.38336598920000003
SRX4498324,-0.27205384120000004,-0.0511124169
SRX4498326,0.2746079844,0.12296216210000001
SRX4498328,-0.0801009546,0.0548888498
SRX4498330,0.0775468115,-0.126738595
SRX4498336,-1.5208855509,-0.0598443576
SRX4498333,-1.7009135659,0.060670963700000004
SRX4498338,-1.5819910173,0.30435514
SRX4498329,-1.7316744356,-0.23463935230000002
SRX4498325,-2.3136150693,-0.48822555110000004
SRX4498327,-1.4301173968,-0.19485919140000002
SRX4498331,-1.5693250408,-0.2242619321
