,A,sigC
SRX4505476,0.1947508825,0.0045363085
SRX4505480,-0.5815991944000001,-0.0215389157
SRX4505478,-0.10328519750000001,0.0028998044000000003
SRX4505474,0.4901335093,0.014102802800000001
SRX4505483,-4.1231436153,-0.2072816519
SRX4505485,-3.8752324253,-0.3085077737
SRX4505487,-3.7421303611,-0.202064914
SRX4505488,-4.3434888298,-0.2068987655
SRX4505481,-3.3567167617,-0.1529065999
SRX4505477,-4.2340016839,-0.2613409767
SRX4505475,-4.1929770784,-0.0800756861
SRX4505479,-3.3416924129,-0.2769499566
SRX4605773,0.35244448100000003,0.0060137796000000006
SRX4605774,-0.1404709555,0.042372773
SRX4605772,0.1769152993,-0.2136654435
SRX4605771,-0.1769152993,0.2136654435
SRX5178871,0.8318952381,0.2983758677
SRX5178872,-1.0312221896,-0.6125633769000001
SRX5178868,0.8900171376,0.1405146041
SRX5178870,-0.472303108,-0.12684976550000002
SRX5178869,-0.41771402960000004,-0.0136648386
ERX1404045,-0.5534402890000001,-0.0480081962
ERX1404046,0.5534402890000001,0.0480081962
ERX1404043,0.25846514260000003,-0.1007667358
ERX1404044,1.0511427629,0.43327291560000003
ERX237502,8.5895755407,1.7938897373
ERX237505,5.8499640211,1.6137477307
ERX237506,8.7077891658,1.805605598
ERX237500,18.6024931229,0.7525744172000001
ERX237497,18.7933287445,1.0751643845
ERX237499,16.1105489188,1.3570324983
ERX237507,0.42241580170000004,-0.1560456621
ERX237496,0.0572857223,0.17279613570000002
ERX237504,-0.47970152400000005,-0.0167504736
ERX3772318,1.0315298617,-0.0062133765
ERX3772320,0.9063141828,0.0363252062
ERX3772319,0.8955401506,-0.1045161044
ERX3772321,-0.8639458136,-0.0637610235
ERX3772322,-0.2057438655,-0.08091657890000001
ERX3772323,1.0696896791,0.1446776024
SRX4314262,-0.7950839143,-0.0025618458
SRX4314263,-0.24793211910000001,0.0877310484
SRX4314261,1.0430160334,-0.0851692027
SRX4314265,1.8707431606,-0.17347562300000002
SRX4314266,2.3296265293,-0.022322194
SRX4314264,1.1530823203,-0.2083166639
SRX4314268,1.0815609598,-0.2593008739
SRX4314267,-0.0509886801,-0.07291798690000001
SRX4314271,-0.440955019,-0.14320661440000002
SRX4314272,-1.2140034033,-0.1949315617
SRX4314275,-2.4275458606,0.07431607300000001
SRX4314274,-0.564110381,-0.1027428211
SRX4314273,-0.9590133930000001,-0.13047336910000001
SRX4314278,-1.7611118641,-0.07159169680000001
SRX4314276,-2.1121428727,-0.2269241717
SRX4314281,-2.4426161208,0.0227635493
SRX4314279,-2.5965710095,-0.2069798316
SRX4314280,-3.1725364675,-0.0866458085
SRX4314284,-2.7946815292,-0.0244789049
SRX4314283,-2.4628023896,-0.0999540495
SRX4314282,-3.1759929318,-0.1246196603
SRX4314293,-2.3433006831,-0.1797175576
SRX4314292,-1.1868384737,-0.5628560037
SRX4314291,-2.6836582484,-0.42133701900000003
SRX4314297,-1.48011325,-0.6581397013
SRX4314298,-0.8962918737000001,-0.3354697202
SRX4314299,-3.3632296698,-0.7706077262000001
SRX4314302,-3.2041606474,-0.9270101553000001
SRX4314301,-0.1258664541,-0.8497150285
SRX4314300,-1.419137343,-0.5220091155000001
SRX4314305,-2.4999807414,-0.6575699681
SRX4314304,0.1326924579,-0.5393664013
SRX4314303,-0.9654448979,-0.5230773204
SRX4314309,-2.5195358871,-0.4904789128
SRX4314306,0.5570359758,-0.5178693877
SRX4314308,-1.1647457647000001,-0.7925505032
SRX4314307,0.7232838827,-0.2272335335
SRX4314311,-3.3784868659000002,-0.8498292074
SRX4314317,0.08805310150000001,-0.9260860047
SRX4314316,-1.111840488,-0.5576138064
SRX4314318,-2.864250331,-0.9280862783
SRX4314319,-3.0106435229,-1.0202360227
SRX4314331,1.0405886565,-0.315484023
SRX4314330,0.9243995252,-0.3015287085
SRX4314332,0.36439873310000004,-0.3988755619
SRX4314335,0.9060209329000001,-0.42840640820000003
SRX4314334,0.3110796612,-0.48071897300000005
SRX4314333,0.6630994731000001,-0.5169230842
SRX4314338,0.40876202650000004,-0.5474681945000001
SRX4314336,-0.5489872334,-0.665456763
SRX4314337,-0.3013891523,-0.7158513563000001
SRX4314339,-0.9631204894000001,-0.7573667649
SRX4314340,-1.4196291597,-0.7101483326
SRX4314341,-0.0275134644,-0.7098497850000001
SRX3686762,6.2086967654,0.9922315088
SRX3686763,6.4923839799,0.9058545012
SRX3686761,7.7954400651,1.0636966438
SRX3686765,-0.8346975892,-0.1795946864
SRX3686769,-0.4113539941,0.13011074620000002
SRX3686766,0.0983591729,0.020474428700000002
SRX3686768,0.12093210310000001,0.1883906468
SRX3686764,-0.3942204583,0.10164108720000001
SRX3686767,-0.0111199403,0.027035630800000002
SRX3686788,0.13301155,0.4446515934
SRX3686791,-0.5498618039000001,-0.20724104940000002
SRX3686792,1.0230299755,-0.16320346700000002
SRX3686793,-0.6817546833,-0.4759430503
SRX3686790,-0.6958429815,0.48202019620000003
SRX3686789,0.7714179432,-0.08028422290000001
SRX3686829,2.2685021853,0.4392035789
SRX3686830,1.1392500146,0.5783791296
SRX3686828,2.073111364,0.5441523551
SRX3686819,3.4484137532,0.43085920120000004
SRX3686818,3.2941296176,0.3200878887
SRX3686817,3.9485198542,0.49764484130000003
SRX3686822,1.8478862803,-0.042232843000000006
SRX3686820,1.2763792219,0.11732794140000001
SRX3686821,1.4621060316,-0.025242995
SRX3686743,6.4549470243,1.3930318527
SRX3686744,6.7348509179,1.3780620876
SRX3686745,5.9501005319,1.3220837515000001
SRX3686772,8.5655263743,0.7296388631
SRX3686770,9.414246315,0.7947937098000001
SRX3686771,9.7228136229,0.675873053
SRX3686794,2.2775761664,-0.4463877264
SRX3686796,1.4134702469,0.29514737760000004
SRX3686751,6.2792401153,1.2323590417
SRX3686749,5.4893498969,1.1811981244
SRX3686750,6.3794756295,1.2653241069
SRX3686778,6.5260148793,0.5855508119
SRX3686777,7.7093288474,0.9549906801
SRX3686776,8.7553094937,0.7707338336
SRX3686800,1.2315600879,0.5273541723
SRX3686801,1.2868561382,0.3766795838
SRX3686755,4.3783846467,2.0585945003
SRX3686757,4.9336690095,2.0606115091
SRX3686756,5.3955643202,1.6329066984
SRX3686784,6.9492858519,0.6515880970000001
SRX3686783,7.9596669723,0.7466834749
SRX3686782,8.1406730198,1.0023010384
SRX3686809,0.168268136,0.25802749340000003
SRX3686807,0.2424961998,0.5103382635
SRX3686808,0.4748951247,0.3743855331
SRX3686787,0.9850879298,-0.0167359462
SRX3686786,1.1815435204,0.3442749395
SRX3686785,1.3930879772,0.1585453312
SRX3686799,1.3450358319,-0.1797210614
SRX3686797,1.2363325939,-0.3054184151
SRX3686798,1.4768882764,-0.2727508815
SRX3686746,3.9348785122,0.7297894454
SRX3686748,4.2978601174,1.0551063823
SRX3686747,5.0816438653,0.829809961
SRX3686773,6.3117726509,0.1302767457
SRX3686774,6.8500226582,0.1345337067
SRX3686775,5.3472143685,-0.3126814148
SRX3686754,3.8578695619000003,0.7419644935
SRX3686753,3.8503895832,0.6746409113
SRX3686752,3.4127027501000002,0.7490905170000001
SRX3686780,1.8855937201000001,0.036231049200000004
SRX3686779,3.1781243508,-0.1088566416
SRX3686781,2.5701078565,-0.1462453826
SRX3686806,1.0931457521,-0.4095162573
SRX3686805,0.4504733971,-0.3537269179
SRX3686758,1.7042505228,0.5925289887
SRX3686760,1.7843353366999999,0.44204711630000004
SRX3686759,1.0413702559,0.5563474447
SRX3686810,0.0675468535,-0.38953593680000004
SRX3686811,0.1423644157,-0.48386942930000004
SRX3686812,0.2085334304,-0.35052764340000003
SRX3686813,8.4066831932,0.6473821843
SRX3686815,1.2779571824,0.1675776762
SRX3686816,1.8031188393000002,0.1631847761
SRX3686823,6.7722980264,0.6340937961
SRX3686824,6.0413160665,0.32006617060000003
SRX3686825,1.6783746478000001,-0.06361833010000001
SRX3686827,0.3740841069,-0.0913060858
SRX3686826,0.38631586970000004,0.08591350660000001
SRX7054191,0.7086168616,-0.0625858147
SRX7054189,0.5930253359000001,0.10989483300000001
SRX7054190,-1.3016421975,-0.0473090183
SRX7054193,-4.0273486052,0.32680804490000004
SRX7054192,-6.7770409402,0.0609924694
SRX7054194,-6.8403429386,0.053309162900000005
SRX4506284,0.21782308150000002,-0.0621181695
SRX4506280,-0.4411531399,-0.1755756457
SRX4506282,0.06257198480000001,-0.1523216751
SRX4506278,0.20810412650000001,-0.0099619326
SRX4506274,-0.2368834468,0.0084625884
SRX4506273,0.08822398690000001,-0.0027585366
SRX4506271,0.0360070574,-0.0002959904
SRX4506276,0.1126524025,-0.005408061400000001
SRX4506283,-0.3140925645,-0.3305640022
SRX4506279,-0.25826729870000004,-0.22582834300000001
SRX4506285,-0.4848681549,-0.191447787
SRX4506281,-0.5494180856,-0.2510810265
SRX4506275,-0.4878819539,-0.0043022715000000005
SRX4506277,-0.5087107656000001,-0.16170714960000002
SRX4506272,-0.3514537049,0.0655473372
SRX2923393,0.0861979046,0.053548520700000005
SRX2923394,-0.0861979046,-0.053548520700000005
SRX2923398,-6.6776375204,-1.2672826418
SRX2923397,-6.1654311165,-1.1727685801
SRX2923395,-7.59601271,-3.4941121329
SRX2923396,-7.5087991505,-3.4081577014
SRX2923400,-10.7448385695,-1.8506920322
SRX2923401,-10.4386968907,-2.4485602954
SRX2923403,-10.6957158438,-3.9566685264
SRX2923402,-8.2577605439,-3.8785326803
SRX6853288,0.114337725,-0.2127211795
SRX6853287,-0.12424857980000001,-0.2722413844
SRX6853286,-0.7314598108,-0.3866443913
SRX6853284,-0.0021122292000000003,-0.0150396008
SRX6853285,0.1806528255,-0.047627502
SRX6853283,-0.1785405963,0.0626671028
SRX4319040,-0.7467752313,0.1344934935
SRX4319041,0.0575191434,-0.0176686469
SRX4319039,0.6892560878,-0.1168248466
SRX4314613,0.37942742890000003,-0.7536028608
SRX4314614,-0.9558281023,-0.3743178452
SRX4314615,1.2196782041,-0.9731837175
SRX4314632,6.085849123,-1.9390796107
SRX4314631,4.3293941862,-1.7887980604
SRX4314633,4.5786109124,-1.9480070281000001
SRX4314622,3.9140654998,-1.2743728084
SRX4314623,4.2767081724,-0.9999464629
SRX4314624,5.1545086174,-1.4968076387
SRX4314611,0.1167668813,0.0383931509
SRX4314610,-0.30639716110000004,-0.011586870800000001
SRX4314612,0.1896302798,-0.026806280000000002
SRX4314630,3.6110679217,-0.0611534813
SRX4314628,4.2424499294,-0.1602559252
SRX4314629,2.8098626811000003,0.0910800558
SRX4314619,1.9873913163,-0.1445702067
SRX4314621,1.9233371243000001,-0.0811082249
SRX4314620,2.1141558506,-0.0675481387
SRX7119390,0.081612617,-0.0576710834
SRX7119388,-0.081612617,0.0576710834
SRX7119386,-1.4206548232,-0.3408345937
SRX7119385,-2.7675450809,-0.8464459949
SRX7119387,-2.2022656425,-0.7477430915000001
SRX3746749,-8.1505770273,0.025822219
SRX3746748,-5.2869594719,-0.5543873063
SRX3746751,9.1656533044,-1.3082811942
SRX3746750,4.5171801474,-0.5892141276
SRX3746752,0.5025973072000001,-0.0387591251
SRX3746753,6.9866286667,-1.160904295
SRX3746755,1.9977908471,-0.3388650838
SRX3746754,-1.9977908471,0.3388650838
SRX2345943,0.6673537816,0.1308048565
SRX2345942,-0.6673537816,-0.1308048565
SRX2345941,-3.8188624561,-0.7172694055000001
SRX2345940,-4.1568926801,-0.9040262054
SRX3992217,-0.5072830894,-0.39698605260000003
SRX3992216,-0.7721585431,-0.5938883379000001
SRX3992214,3.0629658601,-1.6497977856000001
SRX3992215,4.2334326252,-1.9919334948
SRX3992221,4.4154619167,-1.8400956279
SRX3992220,2.8882965119,-1.7525120238
SRX3992219,-2.7036122308,-2.2345449547
SRX3992218,-2.4907434449,-2.1823905106
SRX3992201,-2.5918523139,-2.1255120527
SRX3992200,-3.0551988503,-2.1586471478
SRX3992198,-0.8347284033,-0.3977155334
SRX3992199,-0.5796754470000001,-0.6548085631
SRX3992202,-0.1033565674,0.015520316000000001
SRX3992203,0.15873384170000002,0.0380796173
SRX3992204,4.2309129569,-1.2888259042999999
SRX3992205,5.309738258,-1.5027462061999999
SRX3992206,4.6660993328,-1.1798647657
SRX3992207,5.4647357972,-1.6803287931000002
SRX3992209,-4.5250347281,-2.0475965867
SRX3992208,-3.544289032,-2.0347202464
SRX3992212,-4.3365137399,-1.9242247598
SRX3992213,-4.498227084,-1.9633231382
SRX3992210,-0.2158431647,-0.2100586657
SRX3992211,0.2158431647,0.2100586657
SRX357084,-0.0184628716,-0.0270791755
SRX357083,0.0184628716,0.0270791755
SRX4647134,1.4709626235,-0.7136761413
SRX4647137,-0.31939462750000003,-0.247859605
SRX4647136,1.2727011559,-0.5382768349
SRX4647135,1.3418354007,-0.6198684275
SRX4647139,-0.1019436694,-0.0656512409
SRX4647141,-0.0881176632,0.013909514900000001
SRX4647140,0.27398814990000003,0.0883275476
SRX4647138,-0.0839268173,-0.036585821500000004
SRX4647128,-0.21258297980000002,0.0963133696
SRX4647127,0.2173772658,0.016335348700000002
SRX4647129,-0.0332932702,-0.0119135217
SRX4647126,0.2614190077,-0.0338140462
SRX4647133,1.12525525,-0.7561682254000001
SRX4647132,1.3890890451,-0.8353935692000001
SRX4647131,1.0920662531,-0.9502441233000001
SRX4647130,1.1484389892,-0.7811403461
SRX6923924,-0.0872490873,-1.7487760231
SRX6923925,-0.8123571532,-1.3497957859
SRX6923923,0.517327822,-1.5750951527
SRX6923922,1.0036564045,-1.4179370356
SRX6923939,-0.014762300300000001,-0.0362880871
SRX6923938,0.014762300300000001,0.0362880871
SRX6923936,0.1601439721,0.034158447
SRX6923937,-0.1800155844,0.08099213770000001
SRX5509428,0.3494629627,-0.0551505695
SRX5509427,-0.3494629627,0.0551505695
SRX1882560,6.3110287694,-0.1797682123
SRX1882558,6.0098194987,-0.09343979150000001
SRX1882559,6.2655237032,-0.0193386637
SRX1882561,6.4707978409,-0.11713564500000001
SRX1882563,6.6044541674,0.0027787532
SRX1882562,6.4932178237,-0.0878454102
SRX1882565,7.0311697347,0.2009208047
SRX1882566,7.070311276,0.3388738483
SRX1882564,7.0883832524,0.2943211439
SRX1882568,7.1710238605,0.3787568766
SRX1882567,7.3650885927,0.4519392318
SRX1882569,7.2707991394,0.3528740544
SRX1882555,0.1363957368,-0.0765957281
SRX1882557,0.13379029350000002,-0.0702443727
SRX1882556,-0.2701860303,0.1468401008
SRX5088615,-2.7088782411,-2.8436418882
SRX5088616,-3.4257807709,-1.9045831609000001
SRX6845150,-0.8257948711,-2.444526551
SRX6845149,1.310098033,-2.1898864208
SRX6845151,-1.9939072643,-0.27688674620000003
SRX6845152,-2.9790311118,-0.5194299675
SRX6845145,1.3198393233,-2.7950651353
SRX6845146,2.6821381415000003,-1.9723194467
SRX6845142,-3.5828106093,-0.6736364956
SRX6845141,-1.5391302397,-0.38032308530000003
SRX6845144,-0.5453593337,-0.0416708103
SRX6845143,0.5453593337,0.0416708103
SRX5605051,0.3064265558,-0.1514316319
SRX5605045,-0.3064265558,0.1514316319
SRX5605060,-1.8007700152,0.8974855545
SRX5605059,-0.27053527450000003,0.5857424241
SRX2382017,0.4143341055,0.1048405953
SRX2382024,-0.4143341055,-0.1048405953
SRX2382027,2.5710621291,-1.5842706557000001
SRX2382029,2.724009476,-1.6764614875000001
SRX2382217,1.941723513,-1.187222551
SRX2382023,1.0546379837,-1.6876079372000001
SRX2382218,-1.1221768166,-0.8488330824
SRX2382219,0.2056830695,-1.1154853306999999
SRX2382213,2.4560504733,-1.0288436187
SRX2382019,0.3654232083,-1.9156472880000002
SRX2382214,1.4980892959,-2.0844677977
SRX2382215,0.9664108886,-1.6117950119
SRX2382020,1.9276619202,-0.4278512544
SRX2382216,2.8589922404,-1.9923178738
SRX2382022,2.0884702215,0.0101628824
SRX2382033,1.3157308415,-0.24740116980000001
SRX2382220,7.0320232973,-3.9114335784
SRX2382222,6.2434364226,-4.0228830985
SRX2382030,6.4792994169,-3.7359230496
SRX4506350,-0.0719279998,0.183201987
SRX4506352,0.3235401477,0.3387706814
SRX4506354,0.5774255701000001,0.3100017299
SRX4506348,-0.0682049503,0.013497696
SRX4506346,-0.033534300600000004,0.0176571241
SRX4506344,0.10173925090000001,-0.0311548201
SRX4506351,-0.2371333475,0.1476305713
SRX4506353,-0.4688526275,0.1794122757
SRX4506355,-0.20488111920000002,0.177889499
SRX4506349,0.10201076910000001,0.6409754515
SRX4506345,-0.0350273305,0.8032240598
SRX4506347,-0.0840112025,0.7472119782000001
SRX4514122,-1.3851951358,-0.3032676507
SRX4514124,2.4615610106,0.39409733700000005
SRX4514126,2.5833834766,0.4010380028
SRX4514120,-0.9045957277000001,-0.300793813
SRX4514112,-1.8344112198,-0.2060564608
SRX4514116,1.8733863575,0.20351923700000002
SRX4514118,2.1833274771,0.34676468190000004
SRX4514114,-2.2223026148000002,-0.34422745800000004
SRX4514121,-1.1928207063,-0.2773216597
SRX4514125,2.118091911,0.350675854
SRX4514127,2.4431509258,0.34479040380000003
SRX4514123,-1.388977253,-0.26992821580000004
SRX4514115,-1.6511492558,-0.3806098747
SRX4514117,1.9974913442000002,0.3092143532
SRX4514113,-1.6229169503,-0.32095884220000004
SRX4514119,2.5724696662,0.515459077
SRX958308,0.0236596195,1.0057579171
SRX958306,-0.029109386900000003,1.1452296701
SRX958307,-0.45730858150000003,1.1564504514
SRX958313,0.8622144971,-0.10996919200000001
SRX958312,-1.3325371813,-0.2563778946
SRX958314,0.4703226842,0.36634708660000004
SRX958320,-2.5224989808,-0.45002306270000003
SRX958318,-2.4861600824,-0.5248519057000001
SRX958319,-2.1092629143,-0.6152533345
SRX958323,-5.7043325625,-0.9759949336
SRX958322,-6.2504589265,-1.2647953825
SRX958321,-5.2645429842,-1.0949416423
SRX958310,-0.7421002707000001,-0.2142464132
SRX958309,0.9549813640000001,0.027300241700000002
SRX958311,-0.0118380015,-0.6103787835000001
SRX958317,2.6943745181,0.33090819800000004
SRX958315,3.648924009,0.5944071834
SRX958316,4.0998777526,0.7646006268000001
SRX958324,2.0565745429,2.2395681997
SRX958325,2.0995937605,2.2915133502
SRX4498322,0.4766450156,0.1184494393
SRX4498318,0.8937487451,0.3085610259
SRX4498320,-0.0232089378,0.27308531
