,Value,list
TF,sigC,
reg_genes,22,"['fadD26' 'moeW' 'Rv2336' 'PE35' 'lprK' 'mmpL8' 'PPE3' 'mmpL4' 'mce1B'
 'Rv1502' 'nrp' 'mce1D' 'espK' 'papA1' 'Rv0175' 'fadD29' 'fbpA' 'Rv0987'
 'Rv3902c']"
comp_genes,5,['Rv0097' 'PPE1']
both_genes,3,['fcoT' 'fadD10' 'Rv0100']
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
