sample,Rv0634B
SRX3995807,0.2583801596
SRX3995806,0.1458946325
SRX3995809,-0.1533035875
SRX3995808,-0.5933669969
SRX4619048,-0.1358022039
SRX4619047,-0.3343735057
SRX4619049,-0.6150021152
SRX4619050,-0.5881457645
SRX3995804,-0.2599948729
SRX3995805,0.2599948729
SRX5089845,-0.48693101450000004
SRX5089844,-0.4939205968
SRX5089860,-0.0356029444
SRX5089859,-0.06724559470000001
SRX5089858,0.1028485391
SRX5089854,-1.5427762493000001
SRX5089853,-1.4487678781
SRX5089852,-1.5039233926
SRX5089856,0.35592732400000004
SRX5089855,0.5137518876
SRX5089857,0.43132667
SRX5089868,-1.263967379
SRX5089866,-1.5401780002
SRX5089867,-1.2421459839
SRX5089870,0.4888637758
SRX5089869,0.7071899654
SRX5089871,0.6299121416
SRX5089846,-1.8804110191999999
SRX5089848,-1.3428139767
SRX5089847,-1.9045958621999999
SRX5089849,0.6604672928
SRX5089850,0.3192956181
SRX5089851,0.5467163643
SRX5089863,-1.3608682426
SRX5089861,-1.1642497566
SRX5089862,-1.1801030352
SRX5089865,0.3628550506
SRX5089864,0.7323686742000001
SRX5388955,-0.0713778478
SRX5388957,0.0603153554
SRX5388954,-0.1197986105
SRX5388956,0.1308611029
SRX5388960,-3.2095026333
SRX5388961,-3.1176380091
SRX5388959,-3.1144401761
SRX5388958,-2.8484401302
SRX5388964,-1.4148614161
SRX5388965,-1.5133674509000001
SRX5388962,-1.3524810224000001
SRX5388963,-1.2902841119000001
SRX6889335,-0.27981057460000003
SRX6889333,0.27981057460000003
SRX6810002,0.1654604175
SRX6810004,-0.0637283938
SRX6810003,-0.10173202370000001
SRX6810006,-1.017632605
SRX6810005,-1.0516070152
SRX6810007,-1.2737938489
ERX1818322,0.2718120418
ERX1818321,-0.2718120418
SRX2617830,0.3194935822
SRX2617831,0.3569370792
SRX2617833,-0.7444746793
SRX2617832,-0.8303726181000001
SRX2617828,0.1297728138
SRX2617827,-0.1552375365
SRX2617829,0.0254647227
SRX3456119,0.0586875914
SRX3456118,-0.21625424980000002
SRX3456117,0.1512248575
SRX3456101,-0.011552152500000001
SRX3456099,-0.1724261273
SRX3456100,0.1839782797
SRX3456107,2.4320672422
SRX3456105,2.1908288014
SRX4374122,-0.9593321834
SRX4374121,-0.7700252789
SRX4374123,-0.5199991183
SRX4374124,-0.146016947
SRX4374125,0.0684082558
SRX4374126,0.0776086912
SRX4374127,-0.2972243406
SRX4374128,-0.1151204281
SRX4374129,0.1643033583
SRX4374130,-0.10500306890000001
SRX4374132,0.1973029633
SRX4374131,0.1777944819
SRX4374133,-0.25712081870000003
SRX4374135,-0.2028995039
SRX4374134,-0.4199342816
SRX4374138,0.6631152878000001
SRX4374136,0.5339864881
SRX4374137,0.8519250143
SRX1091379,0.2429642226
SRX1091380,0.3595059458
SRX1091377,-0.024666786000000003
SRX1091378,0.024666786000000003
SRX4647145,0.2057234748
SRX4647146,0.36829419
SRX4647147,0.1681934406
SRX4647144,0.0440568404
SRX4647143,0.0677963738
SRX4647142,-0.11185321420000001
SRX4647155,1.1931324193
SRX4647152,0.9838937448
SRX4647153,1.0444386338
SRX4647154,1.5469472414
SRX4647148,1.2060916356
SRX4647149,1.147246559
SRX4647151,1.1485729184
SRX4647150,1.0451672185
SRX4647123,-0.0883276815
SRX4647124,0.0069779329
SRX4647125,0.08134974860000001
SRX3103185,0.0685058462
SRX3103189,0.0334640877
SRX3103187,-0.2617934804
SRX3103184,0.1332613564
SRX3103188,0.1534406352
SRX3103186,-0.2867019916
SRX1372110,0.0882956907
SRX1372111,0.2572034527
SRX1372108,-0.1867816584
SRX1372109,0.1867816584
SRX4506085,0.1068080354
SRX4506083,-0.023154285700000003
SRX4506089,0.145559082
SRX4506087,-0.0093556812
SRX4506077,0.0897364158
SRX4506079,0.0032861429
SRX4506075,-0.0538364925
SRX4506081,-0.0391860662
SRX4506084,1.6331062071
SRX4506086,1.720139782
SRX4506088,1.678848672
SRX4506090,1.5488238609
SRX4506078,1.4895636719
SRX4506080,1.6212133028
SRX4506082,1.539511556
SRX4506076,1.5290682073
SRX5352221,-0.4904182486
SRX5352223,-0.4170031611
SRX5352222,-0.2286921473
SRX5352229,-0.8788432128
SRX5352227,-0.6935904408
SRX5352228,-1.1074706222
SRX5352231,-0.4340453751
SRX5352232,-0.4167779608
SRX5352230,-0.37295395140000004
SRX5352225,-0.9726757296
SRX5352224,-0.8194497526000001
SRX5352226,-0.9736510711
SRX5352220,-0.0349775166
SRX5352219,-0.0186275691
SRX5352218,0.0536050858
SRX4498228,0.048374855200000004
SRX4498224,0.0440048646
SRX4498230,0.2365765907
SRX4498226,3.1543e-05
SRX4498218,0.1308622124
SRX4498216,-0.2743845049
SRX4498220,0.055741808100000005
SRX4498222,0.0877804844
SRX4498225,0.4895419005
SRX4498227,0.1463417717
SRX4498231,0.15837064180000002
SRX4498229,0.4229263502
SRX4498217,0.0945674588
SRX4498221,0.0139831989
SRX4498219,0.0848837216
SRX4498223,-0.0600003567
SRX5079928,-0.0817800177
SRX5079930,-0.2479980493
SRX5079929,-0.1093159566
SRX5079923,0.23518864990000002
SRX5079924,0.2307329365
SRX5079922,0.0817774646
SRX5079920,-0.0005879404
SRX5079921,0.0522445551
SRX5079919,-0.0516566147
SRX5079926,0.0058599080000000005
SRX5079925,-0.052912021100000005
SRX5079927,0.0296123888
SRX894005,-2.0443775904
SRX894004,-1.8845253336
SRX894006,-2.1999253821
SRX893999,0.23701606120000002
SRX894000,0.017873074200000002
SRX893998,-0.2548891354
SRX4647489,0.0151888293
SRX4647490,-0.0151888293
SRX4647492,-0.1365694852
SRX4647491,-0.3677274052
SRX4647496,0.23029347630000002
SRX4647495,-0.0340227987
SRX4647499,-0.1005380077
SRX4647500,0.0569360212
SRX4647493,0.043375916300000004
SRX4647494,0.2733521986
SRX4647497,-0.17890156440000002
SRX4647498,0.07091555940000001
SRX4505482,0.0597792113
SRX4505486,-0.36687559200000003
SRX4505484,-0.1481894525
SRX4505473,-0.4128034028
SRX4505476,-0.1578948004
SRX4505480,-0.1222947409
SRX4505478,0.10291491300000001
SRX4505474,0.17727462830000001
SRX4505483,0.1063478068
SRX4505485,0.1811504331
SRX4505487,0.15240321310000002
SRX4505488,-0.090432807
SRX4505481,0.2601760547
SRX4505477,-0.0262686608
SRX4505475,-0.011550663400000001
SRX4505479,0.1542039959
SRX4605773,0.1500079186
SRX4605774,0.1343335551
SRX4605772,-0.0501270408
SRX4605771,0.0501270408
SRX5178871,-0.0977561081
SRX5178872,-0.1434701719
SRX5178868,-0.0279161459
SRX5178870,0.0301867231
SRX5178869,-0.0022705772000000003
ERX1404045,0.0849985077
ERX1404046,-0.0849985077
ERX1404043,-0.0424860948
ERX1404044,-0.121030496
ERX237502,-4.2922726258
ERX237505,-3.0942509136
ERX237506,-4.2442431957
ERX237500,-5.9410985316
ERX237497,-6.1873753234
ERX237499,-5.8483769121
ERX237507,-0.0166961678
ERX237496,0.2362457771
ERX237504,-0.2195496093
ERX3772318,0.7707075021
ERX3772320,0.5998107851000001
ERX3772319,0.4629436825
ERX3772321,0.1726550925
ERX3772322,-0.13915963450000002
ERX3772323,-0.033495458
SRX4314262,0.1821051729
SRX4314263,-0.056951062600000005
SRX4314261,-0.1251541103
SRX4314265,-0.26046211550000004
SRX4314266,-0.30986218060000004
SRX4314264,-0.2797532397
SRX4314268,-0.0935354869
SRX4314267,-0.1483673234
SRX4314271,-0.084500901
SRX4314272,-0.2350557264
SRX4314275,-0.2385036607
SRX4314274,-0.26675168180000003
SRX4314273,0.0181798587
SRX4314278,-0.11844235530000001
SRX4314276,0.0288397906
SRX4314281,-0.36678229
SRX4314279,-0.35359496220000003
SRX4314280,-0.0803044946
SRX4314284,-0.0039444799
SRX4314283,-0.30565866540000003
SRX4314282,-0.44526989
SRX4314293,-0.3461137976
SRX4314292,-0.6632099538
SRX4314291,-0.9329030487000001
SRX4314297,-0.9363631330000001
SRX4314298,-0.8437721603
SRX4314299,-1.1420380977
SRX4314302,-1.3597698058
SRX4314301,-1.2000258736
SRX4314300,-1.0194968003
SRX4314305,-1.6408483500000002
SRX4314304,-1.2665315587000001
SRX4314303,-1.0609323116
SRX4314309,-1.162515327
SRX4314306,-1.4286556014
SRX4314308,-0.8591798945
SRX4314307,-1.0037247055
SRX4314311,-1.4097961556
SRX4314317,-1.0418391616
SRX4314316,-0.713320084
SRX4314318,-1.4410450845
SRX4314319,-1.4017132855
SRX4314331,-0.4009362024
SRX4314330,-0.3714358279
SRX4314332,-0.3209610999
SRX4314335,-0.1535256187
SRX4314334,-0.0665844522
SRX4314333,0.0427438131
SRX4314338,-0.0362440953
SRX4314336,-0.1886608582
SRX4314337,-0.1438053676
SRX4314339,-0.2842900815
SRX4314340,-0.0219643138
SRX4314341,-0.16868654500000002
SRX3686762,0.8145639523
SRX3686763,0.7386755465
SRX3686761,1.1106208465
SRX3686765,-0.48612846400000004
SRX3686769,-0.5607986446000001
SRX3686766,-0.31796067840000003
SRX3686768,-0.42487533660000004
SRX3686764,-0.4766706972
SRX3686767,-0.5721427718000001
SRX3686788,0.220653332
SRX3686791,0.09320012450000001
SRX3686792,-0.1031605233
SRX3686793,-0.36588476280000004
SRX3686790,0.42035234180000003
SRX3686789,-0.26516051220000003
SRX3686829,-0.07106624830000001
SRX3686830,-0.2772023863
SRX3686828,-0.2094747013
SRX3686819,0.0139379475
SRX3686818,-0.0595530759
SRX3686817,-0.08141504050000001
SRX3686822,-0.2639515987
SRX3686820,-0.46241254400000004
SRX3686821,-0.4040288924
SRX3686743,1.1627430321
SRX3686744,1.0761685664
SRX3686745,0.9309720944000001
SRX3686772,1.6457840066
SRX3686770,1.8703418687000002
SRX3686771,1.7560118111
SRX3686794,0.4781055991
SRX3686796,-0.25938241630000003
SRX3686751,1.3386466084
SRX3686749,1.4421265065
SRX3686750,1.2156875521
SRX3686778,0.8957022186
SRX3686777,1.237914021
SRX3686776,1.3415634547
SRX3686800,0.12413435900000001
SRX3686801,-0.0420666923
SRX3686755,0.8199980130000001
SRX3686757,1.285434875
SRX3686756,1.2694497102
SRX3686784,1.3473648011
SRX3686783,1.7154998174
SRX3686782,1.5375240387
SRX3686809,-0.4889188783
SRX3686807,-0.4109454114
SRX3686808,-0.2017993134
SRX3686787,-0.16143587280000002
SRX3686786,0.1595498668
SRX3686785,0.5049122368
SRX3686799,-0.7641489286
SRX3686797,-0.5811596804
SRX3686798,-0.6923157762000001
SRX3686746,0.7468145578000001
SRX3686748,0.8055847045000001
SRX3686747,0.7817669877000001
SRX3686773,1.313207974
SRX3686774,1.2513604221
SRX3686775,0.7222112735
SRX3686754,0.5334771365000001
SRX3686753,0.26335122250000004
SRX3686752,0.5001683386
SRX3686780,-0.044360096700000004
SRX3686779,0.2242168066
SRX3686781,0.0561439158
SRX3686806,-0.9928135137
SRX3686805,-1.0234743992
SRX3686758,0.262171508
SRX3686760,0.2309231264
SRX3686759,0.0558684896
SRX3686810,-1.0628371708
SRX3686811,-1.1071113498
SRX3686812,-0.9744364316
SRX3686813,1.3568329325000001
SRX3686815,-0.8460526512000001
SRX3686816,-0.9808664651000001
SRX3686823,0.8009676638000001
SRX3686824,0.3787514723
SRX3686825,-0.3553488533
SRX3686827,-0.5802914384
SRX3686826,-0.5890741347
SRX7054191,-0.0637237328
SRX7054189,0.1654623869
SRX7054190,-0.1017386541
SRX7054193,0.2793783098
SRX7054192,0.0239241327
SRX7054194,0.1231421067
SRX4506284,0.42348849580000003
SRX4506280,0.6648502187
SRX4506282,0.8168268934
SRX4506278,0.7960177026
SRX4506274,-0.1012698756
SRX4506273,0.0206737491
SRX4506271,-0.08550464070000001
SRX4506276,0.1661007672
SRX4506283,-0.5432124443
SRX4506279,-0.2590687232
SRX4506285,-0.44842984080000003
SRX4506281,-0.6506864157000001
SRX4506275,-0.31003166930000003
SRX4506277,-0.4412945603
SRX4506272,-0.40366679720000004
SRX2923393,0.0222324113
SRX2923394,-0.0222324113
SRX2923398,-0.6083368019000001
SRX2923397,-0.2660218643
SRX2923395,-1.5244072064
SRX2923396,-2.0003501604
SRX2923400,-1.859962944
SRX2923401,-1.9229784114
SRX2923403,-1.6359453562000001
SRX2923402,-2.2117215943
SRX6853288,0.1001097908
SRX6853287,-0.37137077630000004
SRX6853286,-0.3321711377
SRX6853284,0.0302953512
SRX6853285,0.0625202734
SRX6853283,-0.09281562460000001
SRX4319040,-0.178914011
SRX4319041,-0.0208672588
SRX4319039,0.1997812698
SRX4314613,0.9995837477
SRX4314614,1.2463039297
SRX4314615,1.0240552654
SRX4314632,1.6878006899
SRX4314631,1.4409525072
SRX4314633,1.4696657
SRX4314622,1.4838868985
SRX4314623,1.6539149848
SRX4314624,1.7041475086
SRX4314611,0.0834966471
SRX4314610,-0.08448963350000001
SRX4314612,0.0009929864
SRX4314630,0.4365000578
SRX4314628,0.6572024354
SRX4314629,0.2785247957
SRX4314619,0.6515465617
SRX4314621,0.5253377539
SRX4314620,0.45680667620000004
SRX7119390,-0.1706350906
SRX7119388,0.1706350906
SRX7119386,-2.3771563771
SRX7119385,-2.275119883
SRX7119387,-2.5524255636
SRX3746749,-1.8820305841
SRX3746748,-1.208912251
SRX3746751,1.6294220423999999
SRX3746750,0.6875935932
SRX3746752,0.0157614415
SRX3746753,1.1307186776
SRX3746755,0.464784413
SRX3746754,-0.464784413
SRX2345943,-0.00014138910000000002
SRX2345942,0.00014138910000000002
SRX2345941,-0.49553574770000003
SRX2345940,-0.7258875772000001
SRX3992217,-0.0043318406
SRX3992216,-0.2539510318
SRX3992214,1.2939059453000001
SRX3992215,0.4072655739
SRX3992221,0.2834870034
SRX3992220,0.8802656333000001
SRX3992219,1.7296391741
SRX3992218,1.7787873087000001
SRX3992201,1.7825982399
SRX3992200,1.722759252
SRX3992198,0.1670634473
SRX3992199,-0.0387868596
SRX3992202,-0.0838994389
SRX3992203,0.2681348659
SRX3992204,1.6499134378
SRX3992205,1.2465340967
SRX3992206,1.8266083904000001
SRX3992207,1.0771354864
SRX3992209,2.0109055201
SRX3992208,2.328214833
SRX3992212,2.0872250001
SRX3992213,2.0694006037
SRX3992210,0.0001283204
SRX3992211,-0.0001283204
SRX357084,0.0030141039
SRX357083,-0.0030141039
SRX4647134,-0.8425551813000001
SRX4647137,-0.0310746241
SRX4647136,-0.8489340442000001
SRX4647135,-0.9359613909000001
SRX4647139,-0.0407000504
SRX4647141,0.1181138315
SRX4647140,0.008710077600000001
SRX4647138,-0.0861238586
SRX4647128,0.343208363
SRX4647127,0.399944518
SRX4647129,0.35883828230000003
SRX4647126,0.47835073180000004
SRX4647133,0.3420400049
SRX4647132,0.37513522790000003
SRX4647131,0.1956981746
SRX4647130,0.591038575
SRX6923924,-1.1526696393
SRX6923925,-1.7214649633999999
SRX6923923,-1.5125616421
SRX6923922,-2.3589792646
SRX6923939,0.09741747070000001
SRX6923938,-0.09741747070000001
SRX6923936,-0.31352391300000004
SRX6923937,-0.0694907216
SRX5509428,0.2130292623
SRX5509427,-0.2130292623
SRX1882560,0.8453342135
SRX1882558,0.6783965559
SRX1882559,0.8413724598000001
SRX1882561,1.0248488553
SRX1882563,1.0738598048
SRX1882562,0.9787718118000001
SRX1882565,1.0435646756
SRX1882566,1.0651222052
SRX1882564,1.0025731835
SRX1882568,0.6700660157
SRX1882567,0.6119045842
SRX1882569,0.626174546
SRX1882555,-0.0819887744
SRX1882557,0.0065738273000000005
SRX1882556,0.0754149471
SRX5088615,-2.4203569756
SRX5088616,-1.6453860968
SRX6845150,-1.2248512153
SRX6845149,-0.9666928008000001
SRX6845151,-0.1230570067
SRX6845152,-0.23504585560000002
SRX6845145,-0.7090093276
SRX6845146,-0.21391451990000002
SRX6845142,0.2464962823
SRX6845141,0.3182369909
SRX6845144,-0.08865506270000001
SRX6845143,0.08865506270000001
SRX5605051,0.1400890126
SRX5605045,-0.1400890126
SRX5605060,0.5485240866000001
SRX5605059,0.7563157185
SRX2382017,-0.1607362377
SRX2382024,0.1607362377
SRX2382027,-0.09762650120000001
SRX2382029,-0.0066279589000000005
SRX2382217,0.0781352743
SRX2382023,-0.0600483309
SRX2382218,0.5267761544
SRX2382219,0.34963693570000004
SRX2382213,-0.37576313570000003
SRX2382019,0.0705338757
SRX2382214,0.754907753
SRX2382215,0.045984502100000005
SRX2382020,0.2535516987
SRX2382216,0.1287519795
SRX2382022,0.0796292824
SRX2382033,0.9560942836
SRX2382220,-1.6183851087
SRX2382222,-1.428608018
SRX2382030,-0.7429011343
SRX4506350,0.0794185825
SRX4506352,0.11115157340000001
SRX4506354,0.29595759600000004
SRX4506348,-0.1160165251
SRX4506346,0.0708573629
SRX4506344,0.045159162100000004
SRX4506351,1.9438073065
SRX4506353,1.9177303235
SRX4506355,1.8883095168000001
SRX4506349,1.6357307038000002
SRX4506345,1.6362815664
SRX4506347,1.4530076191
SRX4514122,-0.5376640862000001
SRX4514124,1.0733170372
SRX4514126,0.9978746022
SRX4514120,-0.5650957298
SRX4514112,-0.9919428616
SRX4514116,1.0339543583
SRX4514118,0.9029414296
SRX4514114,-0.9449529263
SRX4514121,-0.5083361864
SRX4514125,1.052382641
SRX4514127,1.2573562636
SRX4514123,-0.5396089184
SRX4514115,-0.9048417997
SRX4514117,0.9701074882
SRX4514113,-0.9269309937
SRX4514119,1.0454972179
SRX958308,-0.333841476
SRX958306,-0.6563768289
SRX958307,-0.44775222330000003
SRX958313,0.0175684808
SRX958312,-0.0075709756
SRX958314,-0.0099975051
SRX958320,-0.9609090399
SRX958318,-1.3107026707
SRX958319,0.0409294199
SRX958323,-0.7573029152
SRX958322,-0.9640359522
SRX958321,-1.0977040732
SRX958310,0.1195681662
SRX958309,0.5102367328
SRX958311,0.1106417601
