,0
gene_id,Rv0634B
name,rpmG2
operon,Op419
gene_product,50S ribosomal protein L33
COG,"Translation, ribosomal structure and biogenesis"
regulator,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0691c,Rv0767c,csoR,Rv1255c,Rv1353c,devR,whiB1,Rv3249c,espR"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0634B"">External Database</a>"
