,0
gene_id,Rv0054
name,ssb
operon,Op36
gene_product,single-strand DNA-binding protein
COG,"Replication, recombination and repair"
regulator,"csoR,whiA,Rv2250c,Rv3249c"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0054"">External Database</a>"
