,0
gene_id,Rv2156c
name,murX
operon,Op1349
gene_product,phospho-N-acetylmuramoyl-pentappeptidetransferase
COG,Cell wall/membrane/envelope biogenesis
regulator,"Rv0302,Rv0324,csoR,Rv1776c,Rv2887,Rv3249c,Rv3736"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2156c"">External Database</a>"
