,-0.13533142699731848,-0.11728723673100935,-0.09924304646470022,-0.0811988561983911,-0.06315466593208197,-0.04511047566577284,-0.027066285399463708,-0.009022095133154578,0.00902209513315455,0.02706628539946368,0.04511047566577281,0.06315466593208194,0.08119885619839107,0.0992430464647002,0.11728723673100933,0.13533142699731848,0.15337561726362758,0.17141980752993669,0.18946399779624584,0.207508188062555
thresh,-0.14435352213047303,0.14435352213047303,2,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,6,26,258,1686,1650,222,33,4,3,0,0,0,0,0,0,0
Rv2621c,0,0,0,0,0,0,0,2,5,0,1,2,0,0,1,0,0,4,2,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Rv2621c_genes,[],[],[],[],[],[],[],['Rv2161c' 'Rv1870c'],['Rv1459c' 'ino1' 'PE_PGRS41' 'Rv1871c' 'Rv2619c'],[],['Rv2621c'],['Rv2622' 'Rv2620c'],[],[],['Rv1460'],[],[],['Rv1466' 'Rv1465' 'Rv1461' 'csd'],['Rv1462' 'Rv1463'],[]
