,A,Rv2621c
SRX3686826,-2.6936113012,0.8855861905
SRX7054191,-0.3783137029,-0.5905958167
SRX7054189,-0.08285415730000001,-0.037085174000000005
SRX7054190,0.4611678602,0.6276809907
SRX7054193,-1.4662689048,-0.09676105630000001
SRX7054192,-3.3312903359,0.062136801500000005
SRX7054194,-3.2849522002000002,-0.19917790800000001
SRX4506284,4.6771769276,0.1033740207
SRX4506280,4.3354199191,-0.109597393
SRX4506282,3.6072026901000003,-0.38225600190000003
SRX4506278,4.0193095101,-0.040946580100000005
SRX4506274,0.3654229833,0.1413862736
SRX4506273,0.0109547492,-0.2575696357
SRX4506271,-0.168918166,0.057665869
SRX4506276,-0.2074595665,0.0585174932
SRX4506283,0.5082219582,0.6249516519
SRX4506279,0.3694187182,0.4061315028
SRX4506285,0.6791185682,0.49366218450000005
SRX4506281,0.8267791148,0.6771860894
SRX4506275,-1.4412736447,-0.1439605159
SRX4506277,-1.158034811,-0.0479583717
SRX4506272,-1.7005853984,-0.2516142972
SRX2923393,-0.0095245286,0.0678079151
SRX2923394,0.0095245286,-0.0678079151
SRX2923398,-1.4262477559,0.1531927155
SRX2923397,-1.7506210714,0.47448509510000003
SRX2923395,3.7532131209,0.9375653540000001
SRX2923396,3.863666855,1.0200493708
SRX2923400,1.3022006909,-0.9635536010000001
SRX2923401,0.2894917949,-1.195656891
SRX2923403,8.206661273,0.8853615163
SRX2923402,7.4477017641,1.2775722046
SRX6853288,1.6959125925,-0.2313907275
SRX6853287,0.8352712548000001,0.2913291818
SRX6853286,0.0423002434,0.2411370931
SRX6853284,-0.2081210932,0.049785967
SRX6853285,0.5381049465000001,-0.1822448555
SRX6853283,-0.3299838533,0.1324588885
SRX4319040,-0.0470792814,0.1514622974
SRX4319041,0.1863607468,-0.1869482499
SRX4319039,-0.13928146530000002,0.0354859525
SRX4314613,0.07223535560000001,-0.8157085372
SRX4314614,-0.1424782285,-0.6343929789
SRX4314615,0.31914587,-1.2644139958
SRX4314632,2.5713092712,1.2861619953
SRX4314631,3.0246732464,1.4540338421
SRX4314633,2.5814857882,1.4796305547
SRX4314622,4.0011549125,0.1883043891
SRX4314623,3.504051268,-0.4644898202
SRX4314624,2.8534716571,-0.0501296018
SRX4314611,-0.1192524447,-0.1704908582
SRX4314610,0.3660505725,-0.2383071888
SRX4314612,-0.2467981279,0.408798047
SRX4314630,0.3415503326,-0.0229241984
SRX4314628,0.032815743700000004,0.1995627425
SRX4314629,0.1184929685,0.3155564772
SRX4314619,0.29733832990000003,0.17562729600000002
SRX4314621,-0.0829900631,-0.0072644816
SRX4314620,-0.0116766818,0.11563462000000001
SRX7119390,-0.3051581288,-0.0127253851
SRX7119388,0.3051581288,0.0127253851
SRX7119386,9.1356344569,3.5090588917
SRX7119385,11.9634013659,3.1104323215
SRX7119387,9.9883313235,3.4382337533
SRX3746749,0.3949497155,-0.9617366340000001
SRX3746748,-1.688784604,-1.216007557
SRX3746751,-4.0624479167,-1.1716268234
SRX3746750,-3.416203989,-1.061176601
SRX3746752,-0.582598499,-0.4026352798
SRX3746753,-3.5550262714,-1.2805482626
SRX3746755,-1.3660926178000001,0.1271531058
SRX3746754,1.3660926178000001,-0.1271531058
SRX2345943,-0.2458552943,-0.4103819306
SRX2345942,0.2458552943,0.4103819306
SRX2345941,3.9730798855,1.4880479615
SRX2345940,5.041060683,0.9415045698000001
SRX3992217,-0.1074361217,0.4479974392
SRX3992216,1.2249035679,0.6129449647
SRX3992214,-11.7468545905,-0.4232251804
SRX3992215,-9.2343882168,-0.208424463
SRX3992221,-9.2410737282,-0.0325756213
SRX3992220,-10.3885245483,-0.2975375099
SRX3992219,-5.0379677633,-1.1160254214
SRX3992218,-4.6029522586,-1.108501729
SRX3992201,-4.2956755094,-1.1801468404
SRX3992200,-4.8811144218999996,-1.04776086
SRX3992198,0.2736139208,0.5052269482
SRX3992199,1.1011551968,0.62686809
SRX3992202,0.3883598702,0.0343212553
SRX3992203,-0.4132931251,0.0010790218
SRX3992204,-13.4369570355,-1.0872750814
SRX3992205,-11.5233195645,-0.42095662710000004
SRX3992206,-13.8531463713,-1.1662448736
SRX3992207,-11.5499384044,-0.5013234367
SRX3992209,-3.5614961151999998,-0.7828197011
SRX3992208,-3.3335436518,-1.1704580349
SRX3992212,-3.1992663688,-0.8955247474
SRX3992213,-3.9344812248,-0.706647608
SRX3992210,0.32633013,0.1275038007
SRX3992211,-0.32633013,-0.1275038007
SRX357084,0.0857935296,0.1917045678
SRX357083,-0.0857935296,-0.1917045678
SRX4647134,-0.5144710092,0.3670934639
SRX4647137,0.6640823273,0.22423953470000002
SRX4647136,-0.6588554684,0.4573836777
SRX4647135,-0.5183290829,0.5106455613
SRX4647139,0.18435225260000002,0.0728871891
SRX4647141,-0.19482613840000002,-0.27841313370000004
SRX4647140,-0.3261533394,0.06620461550000001
SRX4647138,0.3366272252,0.1393213291
SRX4647128,1.7841298329000002,0.3042333917
SRX4647127,1.9625998517,0.348348005
SRX4647129,1.8887758448,0.2046063326
SRX4647126,1.5868002684,0.1595224938
SRX4647133,7.3306487519,0.4934538296
SRX4647132,7.0980817985,0.3691683132
SRX4647131,7.6171975056,0.39596771810000003
SRX4647130,6.8635775469,0.8372664168
SRX6923924,0.1628098745,-0.7499533006
SRX6923925,-0.8993116113,-0.6516350734
SRX6923923,4.1668302389,-0.5553687838
SRX6923922,4.2951284571,-1.9513691992000002
SRX6923939,-0.2221616127,0.1191237073
SRX6923938,0.2221616127,-0.1191237073
SRX6923936,4.3935304898,0.1772210629
SRX6923937,4.0205653933,0.3047116862
SRX5509428,-0.1263595922,-0.1094032048
SRX5509427,0.1263595922,0.1094032048
SRX1882560,-6.3167012918,0.031196805100000002
SRX1882558,-6.7224876921,0.2703507666
SRX1882559,-6.2528570878,0.1969643945
SRX1882561,-5.8086195,-0.0591670559
SRX1882563,-5.8353232278,-0.059544197300000004
SRX1882562,-5.7849520711,-0.061648719500000004
SRX1882565,-6.4325310892,-0.2035947696
SRX1882566,-6.6354811826999995,-0.2850607462
SRX1882564,-6.2949388633,-0.2770316179
SRX1882568,-6.2426408423,-0.46050085290000004
SRX1882567,-6.8380020616,-0.4095455313
SRX1882569,-7.1035295579,-0.63893347
SRX1882555,-0.0008626358,0.0366763626
SRX1882557,-0.009702437000000001,-0.0717198743
SRX1882556,0.0105650728,0.0350435117
SRX5088615,-4.5853987936,1.3806096952
SRX5088616,-4.0441239841,1.1111759402
SRX6845150,-7.5278217671,1.7444609997
SRX6845149,-10.2810243749,1.5787831639
SRX6845151,-0.0642224588,0.0499929569
SRX6845152,1.2928590497,0.5092308038
SRX6845145,-10.5578198051,2.0008092112
SRX6845146,-14.0762199656,1.8619325203
SRX6845142,-0.7083705382000001,0.33204515760000003
SRX6845141,-0.1919711908,0.2156471258
SRX6845144,-0.1138029748,0.2194078445
SRX6845143,0.1138029748,-0.2194078445
SRX5605051,0.0053367480000000005,-0.0271299885
SRX5605045,-0.0053367480000000005,0.0271299885
SRX5605060,-0.9514136766,-0.015106453300000001
SRX5605059,-2.1021166412,-0.3208198591
SRX2382017,0.0077996995,0.1439416906
SRX2382024,-0.0077996995,-0.1439416906
SRX2382027,3.5606626186,-0.6223069444
SRX2382029,3.4990343305,-0.7090440867000001
SRX2382217,4.6244846922,-0.5178199297
SRX2382023,3.5887916603,-0.5049137401
SRX2382218,-2.4011705561,0.22426140460000002
SRX2382219,-0.2921789467,0.3148854293
SRX2382213,4.694269342,-0.5430500222
SRX2382019,4.648484098,-0.5853097424
SRX2382214,-0.7016512514000001,0.24545191870000002
SRX2382215,-0.068874921,0.4960112629
SRX2382020,-3.2261532356,0.4089646582
SRX2382216,-3.0768744957,0.4042900722
SRX2382022,0.3380794985,-0.5143557958
SRX2382033,1.1678110906,0.2243190492
SRX2382220,-4.5536939464,2.3103617262
SRX2382222,-4.2740336138,2.1073647607
SRX2382030,-6.7741966625,2.0359729424
SRX4506350,-0.0003220395,0.1092100809
SRX4506352,-0.3225373982,-0.10425401270000001
SRX4506354,-0.1301702803,-0.2190202592
SRX4506348,0.0956007824,0.024334262500000002
SRX4506346,-0.0132212803,0.0040674457
SRX4506344,-0.0823795021,-0.0284017082
SRX4506351,3.7031267505,-0.6389921765000001
SRX4506353,3.4945493135,-0.7335212924000001
SRX4506355,3.3990227769,-0.8061559771
SRX4506349,4.3887718564,-0.6305499086
SRX4506345,4.2504813866,-0.5041500155
SRX4506347,4.3691747323,-0.2662296044
SRX4514122,-1.5726130647,-0.4374553738
SRX4514124,0.8039007682,0.23863287390000001
SRX4514126,1.1035423081,0.15168892820000002
SRX4514120,-1.5761019082,-0.2631670512
SRX4514112,-1.2643055001999999,-0.3225379929
SRX4514116,1.2448376991,0.1193536376
SRX4514118,0.7240583643,0.14738932700000001
SRX4514114,-0.7045905631,0.0557950283
SRX4514121,-1.8790717335,-0.33133240410000003
SRX4514125,1.182337059,0.1236820537
SRX4514127,1.0419931953,0.1970264991
SRX4514123,-1.6709360124,-0.4005591449
SRX4514115,-0.9514056185,-0.39536579650000003
SRX4514117,1.2350359532,0.1700616329
SRX4514113,-0.8707126358,-0.0603113528
SRX4514119,0.5845444273,0.1585880983
SRX958308,0.2487511642,3.0032990544
SRX958306,-0.7090335068,1.9684954237
SRX958307,-0.8963559907,3.2433782339
SRX958313,-0.22972907720000002,0.0210361953
SRX958312,-0.3495831424,-0.4996466365
SRX958314,0.5793122196,0.4786104412
SRX958320,10.9093382437,3.374672516
SRX958318,10.7781342656,3.0255349158
SRX958319,10.9254390025,3.0541575001
SRX958323,16.8187057094,4.180291507
SRX958322,18.6165473795,4.3081166002
SRX958321,18.092614773,4.0946496747
SRX958310,1.6557430584000001,-0.1663461617
SRX958309,1.2206942495,-0.5546273637
SRX958311,2.0295733757,-0.21377325860000002
SRX958317,0.0910630414,-0.1014924146
SRX958315,-0.35289091380000004,-0.1814279675
SRX958316,-0.5493375027,-0.3278358978
SRX958324,1.8358640217,-0.4871480392
SRX958325,2.1901711019,-0.4791511107
SRX4498322,-0.148515128,-0.26636712300000004
SRX4498318,-0.3895417487,-0.3335347442
SRX4498320,0.1410162241,-0.2237721875
SRX4498316,0.6322142901000001,-0.0597534185
SRX4498312,-0.1143734799,-0.14659672270000002
SRX4498308,0.0275908149,0.0951161353
SRX4498314,0.3468408273,0.0708975887
SRX4498310,-0.2600581623,-0.0194170014
