,0
gene_id,Rv0607
name,Rv0607
operon,Op399
gene_product,hypothetical protein
COG,No COG annotation
regulator,"sigH,whiB4"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0607"">External Database</a>"
