,A,Rv0078,Rv2034
SRX4647147,-0.0064852014000000005,-0.0466205123,0.2142119073
SRX4647144,0.0167923221,0.0369095449,-0.2394025881
SRX4647143,-0.0121408169,0.0132769989,-0.042827022400000005
SRX4647142,-0.0046515052,-0.050186543800000004,0.2822296105
SRX4647155,-0.48518664250000004,0.1810848274,-0.12300494070000001
SRX4647152,-0.5947643504,0.38002453140000003,0.7055326286
SRX4647153,-0.52753628,0.128773354,0.4483038567
SRX4647154,-0.6172020614,0.15025854290000001,-0.0263646714
SRX4647148,-0.31469431200000003,0.4354101208,0.1637578513
SRX4647149,-0.3064006137,0.026271811000000003,-0.0778405466
SRX4647151,-0.1688505776,0.4882378082,-0.2764163691
SRX4647150,-0.4400615491,0.4041435633,-0.171465905
SRX4647123,0.0508240708,-0.38160854920000004,0.0248896503
SRX4647124,-0.2468166906,0.08298559330000001,-0.0312106724
SRX4647125,0.19599261980000002,0.2986229559,0.0063210221
SRX3103185,-0.10122293800000001,0.7803174392000001,-0.12461867380000001
SRX3103189,-0.7449683556000001,0.2805540761,0.5795353199000001
SRX3103187,-1.021800976,0.3575275446,-0.4550126244
SRX3103184,0.16734964630000002,0.037571915000000004,0.015412286
SRX3103188,0.7730949121,0.610285226,0.2305378979
SRX3103186,-0.9404445584000001,-0.647857141,-0.2459501839
SRX1372110,0.6646534842,0.4792566607,-0.7191382229000001
SRX1372111,1.1223140292,0.6370612547,-0.5502352482
SRX1372108,-0.5358440861,-0.2165210549,-0.4491661796
SRX1372109,0.5358440861,0.2165210549,0.4491661796
SRX4506085,-0.047553742600000004,0.06885730970000001,-0.2780577211
SRX4506083,0.1844031699,0.035036442800000005,0.049301015100000005
SRX4506089,0.25834318700000003,-0.0016276369,0.4934266976
SRX4506087,0.08960794,-0.1236190954,0.2346157587
SRX4506077,-0.2058971471,-0.0873816546,0.0517255651
SRX4506079,-0.0044400131,0.0454633006,0.3023963176
SRX4506075,0.3292934309,0.0371088542,-0.5802070309
SRX4506081,-0.1189562707,0.0048094997,0.2260851482
SRX4506084,1.3905414208,0.7402449547000001,0.46632902270000004
SRX4506086,1.5869088897,0.4358931747,0.9113417522
SRX4506088,1.5718570231,0.3116010392,0.4841325067
SRX4506090,1.4191068167,0.444530482,1.2271257014999999
SRX4506078,0.4849658536,0.177421361,1.1545641957
SRX4506080,0.6260036458,0.3167490495,0.6196825381000001
SRX4506082,0.603605563,0.372100869,0.9389304268
SRX4506076,0.4883200224,0.125752626,0.8212187965000001
SRX5352221,-1.5882349014,-0.5684665751,-0.6793991416
SRX5352223,-1.8277408448,-0.6853639097,-0.5817986123000001
SRX5352222,-0.8843653308,0.16414174410000001,-0.4794752439
SRX5352229,3.5911023858,0.749282328,1.1508757821
SRX5352227,3.9536162291,0.6204670415,1.1352407098
SRX5352228,3.7343004547,0.607036044,1.2147272159
SRX5352231,-3.4109869143,-3.4536356928,-0.0737871863
SRX5352232,-3.9564967929,-4.3513338915,-0.34603388090000003
SRX5352230,-2.7479988176,-3.5769260339,-0.3823055938
SRX5352225,-0.2942419959,0.0642601008,-0.39522101870000004
SRX5352224,-1.0531432197,0.5061509106000001,-0.3098139675
SRX5352226,-1.0766749168,-0.1138225266,-0.2952974241
SRX5352220,0.0628772274,0.2054712945,-0.1296816723
SRX5352219,0.0117142057,-0.054433279,-0.0016833216
SRX5352218,-0.0745914331,-0.1510380155,0.1313649938
SRX4498228,0.1140896195,0.19678677900000002,0.1011047005
SRX4498224,-0.1346323384,0.216988274,0.2554893982
SRX4498230,-0.565999138,0.044696834000000005,-0.0844897757
SRX4498226,0.3501843566,0.1865048114,0.12791347150000001
SRX4498218,0.0517184235,0.0453806895,0.128474962
SRX4498216,-0.2025987783,0.1685212535,0.5199403584
SRX4498220,0.16761714300000002,-0.15300902730000002,-0.3237180286
SRX4498222,-0.0167367882,-0.0608929157,-0.3246972918
SRX4498225,-0.3479247817,-0.5645531071000001,0.5358632122
SRX4498227,-0.4557899023,-0.8212448950000001,0.38451903940000004
SRX4498231,-0.4833388132,-0.47878301360000003,1.1478569647
SRX4498229,-0.37398865130000003,-0.5702999648,0.1545274006
SRX4498217,-0.47380102350000003,-0.2757163854,1.398061454
SRX4498221,-0.3510767533,-0.5666877607,0.5220547128
SRX4498219,-0.2267260562,-0.3066919983,1.0598939717
SRX4498223,-0.4378412144,-0.3804096943,0.5571369992
SRX5079928,-1.2868280921,-0.9414962286,-0.2188784178
SRX5079930,-1.4893305116,-1.2381985111,-0.1582272077
SRX5079929,-1.2379539275,-0.8570276997,-0.227681515
SRX5079923,-1.0880061908,-0.8341492222,-0.42814880120000004
SRX5079924,-1.4967475436,-0.9494435766,-0.6374021155
SRX5079922,-0.9740932617,-0.6989212308,-0.1794715874
SRX5079920,0.21058823070000002,0.0525150112,0.1146529052
SRX5079921,-0.548869872,-0.0114436476,-0.09807903650000001
SRX5079919,0.3382816413,-0.0410713637,-0.0165738687
SRX5079926,-0.7237238889000001,-0.7801772868,-0.1679842939
SRX5079925,-0.7547763535,-0.8162489446000001,-0.20776698370000002
SRX5079927,-0.7630351909,-0.6024597817,-0.4726795762
SRX894005,-1.000494652,0.6622919481,2.3987546374
SRX894004,0.0337396149,0.4734496509,2.130343459
SRX894006,0.7731602405,0.6209031953,1.9773945133000002
SRX893999,-0.5201740306,-0.1005722463,0.1721947708
SRX894000,-0.0491343542,-0.0301291097,0.2347708412
SRX893998,0.5693083848,0.13070135600000002,-0.4069656119
SRX4647489,0.1399123659,0.0113805055,0.2361829376
SRX4647490,-0.1399123659,-0.0113805055,-0.2361829376
SRX4647492,0.2480219739,0.36281021680000003,0.2148196507
SRX4647491,0.2629889402,0.2720132686,-0.0932910507
SRX4647496,1.2194980248,-0.4269180728,0.4901588216
SRX4647495,1.0224304849,0.31699669750000004,-0.0778765383
SRX4647499,0.6310959957,-0.0446125619,0.4830830782
SRX4647500,0.8033595715,0.2820605285,0.19096492
SRX4647493,-0.14347000470000001,-0.0175425899,-0.1916467068
SRX4647494,-0.058773083100000005,0.13810293540000002,-0.6651702488
SRX4647497,0.5995154899,0.0626524421,0.6902496782
SRX4647498,0.7239250233000001,-0.3607002097,0.452501939
SRX4505482,-0.2829482934,-0.48581184520000004,-0.37456496180000004
SRX4505486,-0.6646219278000001,-0.29540383400000003,-0.3744396426
SRX4505484,-0.2911990371,-0.1473662265,-0.7599737355
SRX4505473,-0.5983073736,-0.461909308,-0.23817024920000002
SRX4505476,0.35734442920000004,0.1713758131,0.1719315172
SRX4505480,-0.23819361390000002,-0.08380090330000001,-0.0067608253
SRX4505478,-0.1384954983,0.0850565143,0.4024117512
SRX4505474,0.019344683,-0.1726314241,-0.567582443
SRX4505483,-0.7601348527,-0.07646665100000001,-0.33259582260000004
SRX4505485,-0.9290960189,-0.3740247848,-0.5946855280000001
SRX4505487,-0.7896004159000001,-0.0727507644,-0.3574652311
SRX4505488,-0.6691716997,-0.031440628000000005,0.12483186930000001
SRX4505481,-0.5640477876000001,-0.18785281380000002,-0.3984382601
SRX4505477,-0.6577543342000001,-0.1273136005,0.20949025170000002
SRX4505475,-0.6474691538,-0.13972482390000002,0.0907877205
SRX4505479,-0.8709565778,-0.3260999878,-0.2896728307
SRX4605773,0.0315030155,0.10283883490000001,0.49962694430000004
SRX4605774,0.6544709541,0.1343154001,0.18565989600000002
SRX4605772,-0.0713862151,-0.178298008,0.1078783215
SRX4605771,0.0713862151,0.178298008,-0.1078783215
SRX5178871,-0.2147515656,-0.1693582253,-0.2804003544
SRX5178872,0.1361869712,-0.19487671410000001,-0.39732239550000004
SRX5178868,-0.06280639340000001,-0.2132763013,-0.2402697073
SRX5178870,0.06630400830000001,0.2846515503,0.2630093035
SRX5178869,-0.0034976149000000003,-0.07137524890000001,-0.0227395963
ERX1404045,-0.3636556396,-0.1881003401,0.5786650025
ERX1404046,0.3636556396,0.1881003401,-0.5786650025
ERX1404043,-0.479351161,-0.13581507980000002,-0.5125317474000001
ERX1404044,0.0163621846,-0.1631404381,0.24202266600000003
ERX237502,-0.2023336803,-1.1460421094,-1.2362383509
ERX237505,0.7972404768,-0.4809611514,-0.6131154997
ERX237506,1.1569514787,-0.627371856,-0.6998930002
ERX237500,1.3591057243,-2.2149571992,1.9357192696
ERX237497,1.1472758629,-1.9361279953000001,2.3044266843
ERX237499,2.2585904302,-2.1089810071,2.6723837942
ERX237507,0.0036018584,0.1608573451,-0.4962960253
ERX237496,1.0158240542,-0.24727628880000002,0.3001167052
ERX237504,-1.0194259126,0.0864189437,0.19617932
ERX3772318,1.4136445465,0.4369266538,0.5181692191
ERX3772320,1.6378784691,0.4173020311,0.3217190031
ERX3772319,1.6529803703,0.6436333792000001,0.4060650402
ERX3772321,-0.4904016614,-0.3148185553,-0.1322418009
ERX3772322,-0.0708332925,0.0800554727,-0.1318806907
ERX3772323,0.561234954,0.2347630826,0.2641224917
SRX4314262,-0.2586416251,-0.3187028126,0.1108436473
SRX4314263,0.19969586690000002,-0.15835931250000002,-0.1214850905
SRX4314261,0.058945758200000004,0.4770621251,0.0106414432
SRX4314265,0.7243862542,0.1567378332,-0.37089134490000003
SRX4314266,0.7561154127,0.9414263778,-0.6750628777000001
SRX4314264,-1.1480237736,-0.3499410101,-1.3352191716
SRX4314268,0.14663640220000002,-0.7233610583000001,-0.46172703410000004
SRX4314267,-0.4809303232,-0.7280825352,-1.1435361041
SRX4314271,-1.9986476852,-1.4557761241,-1.3140659664
SRX4314272,-1.456621548,-0.44476482380000004,-0.8570972309
SRX4314275,-1.4806656033,-1.0652684044,-1.485343257
SRX4314274,-1.3694423258000001,-0.6860068427,-0.6718230827
SRX4314273,-2.1895610051,-1.4749566395,-1.2391540345
SRX4314278,-1.617505188,-1.8991113725000002,-0.2595631433
SRX4314276,-1.6051804460999999,-1.4384380145,-1.2722690829
SRX4314281,-2.4257970816,-1.7027417604,-1.609160444
SRX4314279,-0.8890225757,-0.9397214174,-2.0323744783
SRX4314280,-1.090983643,-1.0168495778,-1.4758172036000001
SRX4314284,-0.829806691,-1.4746022296,-1.1593491481
SRX4314283,-0.9698641755,-0.9480161429,-1.0798176635
SRX4314282,-1.3394725769,-1.304941206,-0.9404862979
SRX4314293,-0.5825148038,-0.7233458219000001,-0.6833185363000001
SRX4314292,-0.8051240416000001,-1.6045514725,-0.8434599542000001
SRX4314291,-1.6863060216,-1.0669649485,-0.4990390086
SRX4314297,-0.5101728990000001,-1.7149574623000001,0.3252819474
SRX4314298,-1.5590228206,-1.0318792399,0.3936634784
SRX4314299,0.5143741279,-1.6766680978,-0.23652083910000002
SRX4314302,0.5380461009,-0.9395183695,-0.26899462
SRX4314301,-0.263784517,-1.1205957734,0.1647947464
SRX4314300,-1.0949121377,-1.6796890903000001,0.1352182132
SRX4314305,0.5991018036,-1.7394100103999999,0.7076378582
SRX4314304,0.5821429642,-2.1312090456,1.2992747739000001
SRX4314303,0.1706867783,-1.9732405438,1.1586296592
SRX4314309,-0.9101669388,-1.6001129759000001,0.7696870769
SRX4314306,-0.0837227443,-0.5890628543,1.0204141025
SRX4314308,0.696765061,-0.4257001399,0.7947151095
SRX4314307,0.48659951700000004,-0.6019378685,0.8871932313
SRX4314311,0.8183311637,-1.5051749646,0.5878982748
SRX4314317,2.5638023493,-0.25174226180000003,1.5507724174000002
SRX4314316,2.306599979,-0.528889481,1.7505836229
SRX4314318,1.2195321639,-2.0455750413,1.4743977758
SRX4314319,1.2949131556,-1.635114732,1.4203858718
SRX4314331,0.09447760350000001,-1.6061173694000002,1.6616574784
SRX4314330,0.3245225798,-1.5767139720999999,1.9105444956
SRX4314332,0.5939901393,-0.6889700021,1.6613143514000002
SRX4314335,0.4337475999,-0.9846817830000001,1.1826630618
SRX4314334,0.1951563903,-1.9678988602,1.2749804823
SRX4314333,0.8875045479,-0.97952616,1.4261545677
SRX4314338,0.0382395351,-1.0607543734,0.6686288574
SRX4314336,-0.23653384360000002,-1.3882305907,0.545987813
SRX4314337,-0.2600969617,-1.2646417417,0.6562458181
SRX4314339,-0.9694067296000001,-1.7125597847,-0.0480276216
SRX4314340,-0.7532938334,-2.034573889,-0.24493754050000002
SRX4314341,-0.662248401,-1.6705295394,-0.2177987009
SRX3686762,1.1701974067,2.2378733272,3.1940461429
SRX3686763,0.7485644764,2.4689173712,3.1344724566
SRX3686761,2.2783559245,2.7912998352000002,3.2424996754
SRX3686765,-2.1453906624,0.3740024641,1.1386254502
SRX3686769,-2.2571868883,-0.095036072,1.2457858743
SRX3686766,-1.6448808893,0.4177260104,1.3998148912000001
SRX3686768,-1.8138139922,-0.1464906364,0.6531035012
SRX3686764,-2.3708590829,-0.0216228885,1.4366207624
SRX3686767,-2.0729825945,0.24029409270000002,0.9995797797
SRX3686788,0.5686139551,0.6424915209000001,2.1648460975
SRX3686791,-0.8826690087,0.3147797889,-2.0046912479
SRX3686792,0.7178190117000001,0.2327244262,0.0852542387
SRX3686793,-0.2215122622,-2.4052594983,0.25813186720000003
SRX3686790,-0.6409989923,0.2656005334,-2.0046912479
SRX3686789,0.4587472965,0.9496632288,1.5011502924
SRX3686829,-0.9561258410000001,1.1526075986,2.6080002767
SRX3686830,-0.8669695583,1.2423545613,2.7631641694
SRX3686828,-0.8110658811,1.0769836367,2.8703484946
SRX3686819,-0.8070889599000001,1.3425562223,2.9682114993
SRX3686818,-0.8557685359,1.0685728158,3.1490835315
SRX3686817,-0.8786420042,0.7813282352,3.1799801271
SRX3686822,11.7425085991,4.0758705341,5.9002339069000005
SRX3686820,10.860099329,4.0300020637,6.1675108525
SRX3686821,11.466371349,4.082511463,5.9675028093
SRX3686743,4.5722397003,3.2692361399,3.2583185364
SRX3686744,4.6296764917,3.2468036823,3.3096177919
SRX3686745,4.4922967767,3.1493834924,3.8383936515
SRX3686772,4.8246361679,3.1507110563,2.7447779748
SRX3686770,6.6921187236,3.3225876632,3.0079851057
SRX3686771,5.7506936234,3.2981932233,3.2976619271
SRX3686794,1.4647735817,1.0724973713,0.5167806971
SRX3686796,-0.9191335859,0.9521834454,2.064149681
SRX3686751,3.6793926862,2.8478989854,3.154410597
SRX3686749,3.8841403384,2.8505935625000003,2.865548933
SRX3686750,3.4006672383,2.8847650357,3.4648647243
SRX3686778,1.4648276609,2.4567246654,3.0014945901
SRX3686777,2.8710545066,2.8556116639,3.0546630106
SRX3686776,4.1691335954,2.736104663,3.2985725618
SRX3686800,-0.7813997912,0.6207069091,2.2506241813
SRX3686801,-1.1328420082,0.5272102761,2.0683860332
SRX3686755,4.7711141152,2.4981239865,4.1631394492
SRX3686757,4.0554111173,2.6442891123,3.7700778769000003
SRX3686756,3.9076150116,2.6442290524,3.7542785542
SRX3686784,2.8309932186999998,2.7565970206,3.2584630376
SRX3686783,4.5243688845,3.0572360172,3.3764911565
SRX3686782,5.7253924715,3.4267984201,3.6258537225
SRX3686809,-1.4650131144,0.9383404498000001,2.4111978597
SRX3686807,-0.9391975896,0.8897214763,3.3105006566
SRX3686808,-1.2044088774,0.9508394314,2.5046783538
SRX3686787,13.7258994732,4.3814692473,7.0397344549
SRX3686786,13.6786410654,4.2494903355,7.0951294765
SRX3686785,14.0442717884,4.3623249328,6.8680136985
SRX3686799,12.0279925751,3.9130405043,1.9323940348000002
SRX3686797,12.1017785758,3.9601322129,2.1126749068
SRX3686798,12.2730193817,4.0990156031,2.3117558686
SRX3686746,13.9791959961,4.6199712773,3.4124799017000003
SRX3686748,13.537489873,4.619944185,3.2954949642
SRX3686747,13.1837001873,4.5980439388,3.5362409284
SRX3686773,14.0104179737,4.4304402232,2.6624687579
SRX3686774,14.3061530595,4.4090555542,2.5009997036
SRX3686775,13.9407616203,4.3444361951,2.7356723177
SRX3686754,13.7543976305,4.3464225366,4.6531739234
SRX3686753,13.739729629,4.3125426499,4.9808063747
SRX3686752,13.9910298854,4.1770469041,4.804496969
SRX3686780,13.9907487838,4.2745032223,5.1301278991
SRX3686779,14.3634767667,4.2108834488,4.5012491062999995
SRX3686781,13.9383381093,4.2853004362,4.7024136541
SRX3686806,13.5556703113,3.9534456451,4.2671598289
SRX3686805,13.2533747311,3.9409110466,4.4181794844
SRX3686758,13.0307404155,4.2935170662,7.9899897644
SRX3686760,12.7332456518,4.4070087601,7.5943586825
SRX3686759,12.7190083881,4.276270182,7.9449958123
SRX3686810,13.2311111738,3.9197883453,6.3360113401
SRX3686811,13.2420466446,4.0401002076,6.437321568
SRX3686812,12.9041340015,3.8772985864000002,6.273373714
SRX3686813,2.3141142067000002,2.7524831417,2.994859494
SRX3686815,13.103802116,4.3994879165,6.4359567278
SRX3686816,13.204223431,4.2972945455,6.4889075623
SRX3686823,1.0804833724,2.4553760445,2.9948194906000003
SRX3686824,0.327522319,1.9907924602,2.5094327127
SRX3686825,12.3302475392,4.1393014453,6.4686577424
SRX3686827,12.8995947053,4.4482176939,6.7954826341
SRX3686826,12.7144388433,4.3156168717,6.9306449558
SRX7054191,0.172493328,-0.14184095830000001,-0.1646892648
SRX7054189,-0.3358917329,-0.3989477601,-0.0234944506
SRX7054190,0.16339840490000002,0.5407887184,0.1881837153
SRX7054193,-4.1785533813,1.0850488896,0.9872341406
SRX7054192,-5.9526078059,0.0500369411,0.7121398692
SRX7054194,-5.7852497575,-0.2652870115,0.6009295871
SRX4506284,2.1388095396,-0.1127618447,-0.4702106601
SRX4506280,1.9637651861,-0.7642268954,-0.063617246
SRX4506282,2.1522720551,-0.5049943252,-0.2349740821
SRX4506278,1.8089921659,-0.6214862798,0.010799343900000001
SRX4506274,-0.15886605180000002,0.0697452206,0.0161758142
SRX4506273,-0.1075860812,-0.0040932494,0.15276962830000002
SRX4506271,-0.0908245334,-0.1211767844,-0.1506948
SRX4506276,0.3572766664,0.0555248132,-0.0182506425
SRX4506283,-0.1611379024,-0.36535886300000003,0.1783926925
SRX4506279,0.1981073303,-0.2956019916,0.3772919792
SRX4506285,0.32469273400000004,-0.3058245305,0.5879952736
SRX4506281,0.0816859283,-0.2327002775,0.4667666193
SRX4506275,-0.0402734534,-0.2593344734,-1.0511550197
SRX4506277,0.0344132204,-0.0953822777,-0.2493414287
SRX4506272,-0.1611958436,-0.5004081578,-0.2525340571
SRX2923393,-0.1683297178,-0.0007182295,-0.0787404624
SRX2923394,0.1683297178,0.0007182295,0.0787404624
SRX2923398,4.8667052185,-0.8892829002,6.0033019334
SRX2923397,5.1944882908,-0.6956207913,5.0732629897
SRX2923395,7.0781996556,1.2171003084,4.7332645393
SRX2923396,7.3630649841,1.0184055371,4.7696633367
SRX2923400,2.0953746744,-0.9572863495,0.9556596388
SRX2923401,2.3201748597,-1.6080276721,1.1015050688
SRX2923403,0.5513347975,-1.0644185838,1.1882212152
SRX2923402,2.2012710833,-1.3799847686,1.9555896414
SRX6853288,0.1461706076,-0.11416899280000001,0.6162069622
SRX6853287,0.0742783741,-0.0915438352,0.5589628635
SRX6853286,-0.5323549968,-0.1662944404,0.5880282659
SRX6853284,0.0587637846,0.127129982,0.00010666790000000001
SRX6853285,-0.0961552459,-0.4047934884,0.0441942388
SRX6853283,0.037391461200000004,0.27766350640000004,-0.0443009067
SRX4319040,0.1834716038,0.5795126091,0.3748046827
SRX4319041,-0.0586561733,-0.2039410784,-0.4807796037
SRX4319039,-0.1248154305,-0.3755715307,0.10597492110000001
SRX4314613,2.6691105367,0.34131062500000003,1.390265607
SRX4314614,3.2866860488,0.9382746928000001,0.7795094147
SRX4314615,3.9929562608999998,0.686450262,1.0639986868
SRX4314632,4.1805047956,0.3865323536,1.1190067366
SRX4314631,5.5199694322,0.5892908161,1.8021979668
SRX4314633,3.7621852839,0.7197274217,1.7343532764
SRX4314622,5.0511794821,0.5525143859,1.8095767427
SRX4314623,4.6354634671,0.5725201857000001,1.5157161978
SRX4314624,4.4281762322,0.25777783330000004,1.7303381357
SRX4314611,0.08323177200000001,-0.3060440257,0.1249876077
SRX4314610,-0.1134533488,0.1562689829,-0.07267342040000001
SRX4314612,0.0302215768,0.1497750427,-0.0523141874
SRX4314630,-0.09402345940000001,0.5419309306,-0.1660021918
SRX4314628,-0.13272012360000002,0.3703519279,0.4208033095
SRX4314629,0.1625122296,1.3254540872,0.6896503323000001
SRX4314619,0.8188445088,1.0562187467,-0.6179438815
SRX4314621,0.5916224680000001,0.7948243380000001,-0.49817908920000004
SRX4314620,0.7446011536,1.3995829625,0.47514839810000004
SRX7119390,-0.0043944995,-0.4083300079,0.036734984400000004
SRX7119388,0.0043944995,0.4083300079,-0.036734984400000004
SRX7119386,-0.9449695296,-1.4347401229,3.6439159279
SRX7119385,-0.9399956061,-1.7683615093,3.6004654445
SRX7119387,-0.6939365737000001,-1.2835686043,3.8915263936
SRX3746749,-3.2565663362,-0.5043448586,-0.37538940940000004
SRX3746748,-2.9215195928,-0.6700461641000001,-0.9737685967
SRX3746751,1.6081880346,-1.205294268,-2.4805107191
SRX3746750,0.42905412600000004,-0.243537614,-1.3516552918
SRX3746752,-0.3521359349,-0.5106069695000001,-1.0668863585
SRX3746753,0.1729710049,-1.6085045908,-2.8600084608
SRX3746755,-0.0302436242,-0.9020642350000001,0.2422231785
SRX3746754,0.0302436242,0.9020642350000001,-0.2422231785
SRX2345943,-0.2094089287,0.0750299363,-0.3832631305
SRX2345942,0.2094089287,-0.0750299363,0.3832631305
SRX2345941,0.8150916421000001,0.1315693264,2.7853232808
SRX2345940,-0.5213002429,0.3700177385,1.8638110003000001
