,-0.052906978637886334,-6.938893903907228e-18,0.05290697863788632,0.10581395727577265,0.158720935913659,0.21162791455154528,0.26453489318943163,0.3174418718273179,0.37034885046520427,0.4232558291030906,0.4761628077409769,0.5290697863788633,0.5819767650167497,0.634883743654636,0.6877907222925222,0.7406977009304087,0.793604679568295,0.8465116582061812,0.8994186368440676,0.9523256154819538
thresh,-0.0793604679568295,0.0793604679568295,1,,,,,,,,,,,,,,,,,
unreg,67,3745,91,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
unreg_genes,[],[],[],['Rv3113' 'Rv3745c'],[],[],[],[],[],[],[],[],[],['Rv2635'],[],[],[],[],[],[]
