,0
gene_id,Rv3312b
name,Rv3312b
operon,Op2074
gene_product,hypothetical protein
COG,No COG annotation
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv3312b"">External Database</a>"
