sample,Rv3312b
SRX4505487,-1.593181624
SRX4505488,-1.4883711564
SRX4505481,-1.5394234628999999
SRX4505477,-1.4610787677000001
SRX4505475,-1.6706019045
SRX4505479,-1.4099985886
SRX4605773,0.2416035584
SRX4605774,0.15733431050000002
SRX4605772,-0.058178494500000004
SRX4605771,0.058178494500000004
SRX5178871,0.0242024997
SRX5178872,-0.1323598873
SRX5178868,-0.0208844917
SRX5178870,0.025919170800000002
SRX5178869,-0.0050346791
ERX1404045,0.0844104942
ERX1404046,-0.0844104942
ERX1404043,-0.4413273285
ERX1404044,0.0227810773
ERX237502,-2.0720500584
ERX237505,-2.9463659878
ERX237506,-2.2534016835
ERX237500,-3.5292771978
ERX237497,-3.3717437048
ERX237499,-2.6657113601
ERX237507,0.1710797068
ERX237496,-0.2233972226
ERX237504,0.0523175158
ERX3772318,-0.3035030926
ERX3772320,-0.3239814191
ERX3772319,-0.0895429617
ERX3772321,0.0472161986
ERX3772322,-0.1977369525
ERX3772323,0.1505207539
SRX4314262,-0.3817919568
SRX4314263,0.009385718000000001
SRX4314261,0.3724062389
SRX4314265,-0.9361117385000001
SRX4314266,-1.4125702849000001
SRX4314264,-0.7587364471
SRX4314268,-0.794667721
SRX4314267,-1.0804064747
SRX4314271,-0.666810396
SRX4314272,-1.1415678349
SRX4314275,-2.1288194306
SRX4314274,-1.1483136519000001
SRX4314273,-0.8777868820000001
SRX4314278,-2.0134781492
SRX4314276,-1.3280204225
SRX4314281,-1.0809254653
SRX4314279,-1.2932917508
SRX4314280,-1.0957776438
SRX4314284,-1.1277108037
SRX4314283,-1.4348787533
SRX4314282,-1.1735493455000001
SRX4314293,-1.3410253705000001
SRX4314292,-1.0136707378
SRX4314291,-1.6103559888999999
SRX4314297,-1.35797956
SRX4314298,-1.3201440823000001
SRX4314299,-3.1170305182
SRX4314302,-3.3313429956
SRX4314301,-1.7096836298
SRX4314300,-1.7830332320000002
SRX4314305,-0.6766073741
SRX4314304,-0.24289869300000003
SRX4314303,-0.489418102
SRX4314309,-0.3929068891
SRX4314306,-0.175395767
SRX4314308,-2.1453978014
SRX4314307,-0.5341290709000001
SRX4314311,-1.600923082
SRX4314317,-0.7589837715000001
SRX4314316,-0.4273112563
SRX4314318,-0.0347752982
SRX4314319,0.285523232
SRX4314331,0.8023648409
SRX4314330,0.6033176654
SRX4314332,0.44545423510000004
SRX4314335,0.4595630341
SRX4314334,0.4906253366
SRX4314333,0.5264858933000001
SRX4314338,0.1811666217
SRX4314336,0.46688569430000004
SRX4314337,0.2727788047
SRX4314339,0.1011244755
SRX4314340,0.0518772293
SRX4314341,-0.1336731953
SRX3686762,1.6153456342
SRX3686763,1.7985780022000002
SRX3686761,1.0995339226
SRX3686765,0.3456748958
SRX3686769,0.51716337
SRX3686766,0.7368662084000001
SRX3686768,0.6166882229
SRX3686764,0.5218566444
SRX3686767,0.6202759309
SRX3686788,0.1651157493
SRX3686791,-0.3415985942
SRX3686792,0.1775760558
SRX3686793,0.1652581495
SRX3686790,-0.0161246265
SRX3686789,-0.1502267339
SRX3686829,1.4010624684000001
SRX3686830,1.2398198116
SRX3686828,1.2677786457
SRX3686819,1.7196179011
SRX3686818,1.6468169341
SRX3686817,1.9341213925
SRX3686822,0.7703114848
SRX3686820,0.7599454638
SRX3686821,0.7238863442
SRX3686743,0.6734471306
SRX3686744,0.6095945663
SRX3686745,0.5919304931
SRX3686772,0.5980667714
SRX3686770,-0.1437331142
SRX3686771,0.3368927607
SRX3686794,0.7856628393
SRX3686796,1.2005918617
SRX3686751,0.8945595823
SRX3686749,0.3460165196
SRX3686750,0.43306741730000003
SRX3686778,1.5183508311
SRX3686777,1.2766465864
SRX3686776,0.695716627
SRX3686800,1.3533853135
SRX3686801,1.2741576182
SRX3686755,0.2212349908
SRX3686757,0.6836893184
SRX3686756,0.3930368574
SRX3686784,1.3619765886000001
SRX3686783,0.6408793805
SRX3686782,0.0882539875
SRX3686809,1.5001949352000001
SRX3686807,1.4520592603
SRX3686808,1.488829239
SRX3686787,0.6605748598
SRX3686786,0.4607626434
SRX3686785,0.33018703180000003
SRX3686799,0.5738032495000001
SRX3686797,0.7553646203000001
SRX3686798,0.42739114780000004
SRX3686746,0.1713292676
SRX3686748,0.2767810804
SRX3686747,0.6582614093
SRX3686773,0.2430659148
SRX3686774,0.200939312
SRX3686775,0.4500167733
SRX3686754,0.4070281867
SRX3686753,0.7384834948
SRX3686752,0.2706535657
SRX3686780,0.6003241941
SRX3686779,0.8865817214
SRX3686781,0.8574859992
SRX3686806,0.47625816590000003
SRX3686805,0.5498703186
SRX3686758,-0.3045546027
SRX3686760,-0.1583662035
SRX3686759,-0.40244305880000003
SRX3686810,0.6101632829
SRX3686811,0.567079968
SRX3686812,0.5065148468
SRX3686813,1.0917084763
SRX3686815,0.8464221557
SRX3686816,1.0260694025
SRX3686823,1.2063292713
SRX3686824,1.4690982049
SRX3686825,0.45726417100000005
SRX3686827,-0.1077904461
SRX3686826,0.0959241962
SRX7054191,-0.2569826611
SRX7054189,0.1826010774
SRX7054190,0.0743815837
SRX7054193,0.9168564677000001
SRX7054192,1.4897290476
SRX7054194,1.5141517645
SRX4506284,-0.2991506772
SRX4506280,0.020896302500000002
SRX4506282,-0.19983415370000002
SRX4506278,-0.4903490177
SRX4506274,-0.1289820703
SRX4506273,0.0880446747
SRX4506271,0.0901152165
SRX4506276,-0.0491778208
SRX4506283,0.5203178740000001
SRX4506279,0.42138664070000004
SRX4506285,0.247926271
SRX4506281,0.5310491866
SRX4506275,0.4616081952
SRX4506277,0.2895629193
SRX4506272,0.52521577
SRX2923393,0.1179723882
SRX2923394,-0.1179723882
SRX2923398,-1.338557089
SRX2923397,-0.3372658038
SRX2923395,-1.9217813912000001
SRX2923396,-1.9921162805
SRX2923400,-2.0174986305
SRX2923401,-2.0648135873
SRX2923403,0.4607276515
SRX2923402,-0.7308153469
SRX6853288,0.5615916062
SRX6853287,0.4760619052
SRX6853286,0.21791488620000002
SRX6853284,-0.3202450193
SRX6853285,0.3055996676
SRX6853283,0.0146453517
SRX4319040,-0.0512466078
SRX4319041,0.4512509115
SRX4319039,-0.4000043037
SRX4314613,-3.7520449992
SRX4314614,0.9842991153
SRX4314615,-3.5029325799
SRX4314632,-4.4366021154
SRX4314631,-5.9041840991
SRX4314633,-3.8130778159
SRX4314622,-5.9041840991
SRX4314623,-4.5787268083
SRX4314624,-4.3491518834
SRX4314611,0.1436802339
SRX4314610,-0.0950675695
SRX4314612,-0.0486126645
SRX4314630,-1.6726077929
SRX4314628,-2.5238134572
SRX4314629,-2.1750387204
SRX4314619,-1.6357624619000002
SRX4314621,-1.7216687723000001
SRX4314620,-1.3173601542
SRX7119390,0.0764139169
SRX7119388,-0.0764139169
SRX7119386,0.7446635638
SRX7119385,-0.0747557225
SRX7119387,0.8085967512000001
SRX3746749,-0.45334316490000004
SRX3746748,-0.8628979427000001
SRX3746751,-0.7637689714
SRX3746750,-0.6568785020000001
SRX3746752,0.1896124352
SRX3746753,-0.5271091013
SRX3746755,-0.0766014653
SRX3746754,0.0766014653
SRX2345943,-0.0003701954
SRX2345942,0.0003701954
SRX2345941,-1.1809474119
SRX2345940,-1.1249356142
SRX3992217,-0.1578205761
SRX3992216,-0.5474596137000001
SRX3992214,3.3029617484
SRX3992215,3.0853125318
SRX3992221,2.8382302057
SRX3992220,3.1056547744
SRX3992219,-1.4382268142
SRX3992218,-1.6249189566000002
SRX3992201,-1.6959704521
SRX3992200,-1.2464247322
SRX3992198,-0.0662938492
SRX3992199,-0.23827211210000002
SRX3992202,-0.08442345920000001
SRX3992203,0.1708195808
SRX3992204,3.2996023778
SRX3992205,2.971433513
SRX3992206,3.1400549635
SRX3992207,2.8026221081
SRX3992209,-1.4650554081
SRX3992208,-1.295999239
SRX3992212,-1.0995688595
SRX3992213,-1.234983038
SRX3992210,0.0070803394
SRX3992211,-0.0070803394
SRX357084,0.1839236595
SRX357083,-0.1839236595
SRX4647134,-0.31541965110000003
SRX4647137,-0.2024129418
SRX4647136,-0.24136207040000002
SRX4647135,-0.296468916
SRX4647139,-0.0551276584
