,0
gene_id,Rv2970A
name,Rv2970A
operon,Op1861
gene_product,hypothetical protein
COG,Function unknown
regulator,"Rv0047c,Rv0081,phoP,Rv3249c,lsr2"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2970A"">External Database</a>"
