sample,Rv1818c
SRX3995807,0.1318501733
SRX3995806,0.2044501947
SRX3995809,0.1861604558
SRX3995808,0.9991870033
SRX4619048,0.3741817874
SRX4619047,1.1153285082
SRX4619049,0.7481314068
SRX4619050,-0.0011283416000000001
SRX3995804,-0.0164900402
SRX3995805,0.0164900402
SRX5089845,-1.8085858578
SRX5089844,-1.3557717284
SRX5089860,-0.020783868400000002
SRX5089859,0.0064825413
SRX5089858,0.0143013271
SRX5089854,-1.2646431557
SRX5089853,-1.1141059561
SRX5089852,-1.367699326
SRX5089856,-1.0472410257
SRX5089855,-1.1520773712
SRX5089857,-1.1302855075
SRX5089868,-0.0705700687
SRX5089866,0.0646233108
SRX5089867,0.10893525920000001
SRX5089870,0.27278005250000004
SRX5089869,0.1558960676
SRX5089871,0.1714664639
SRX5089846,-0.8227931636
SRX5089848,-1.2133194541
SRX5089847,-0.7296294421
SRX5089849,-1.3152956396
SRX5089850,-0.9865854104
SRX5089851,-1.299443185
SRX5089863,0.0103072782
SRX5089861,0.0991364939
SRX5089862,0.0957364316
SRX5089865,-0.11272441050000001
SRX5089864,-0.2208851114
SRX5388955,0.0856540751
SRX5388957,-0.1271896004
SRX5388954,0.131256331
SRX5388956,-0.0897208058
SRX5388960,1.3595715389
SRX5388961,1.1687300132
SRX5388959,1.5749033253
SRX5388958,1.4047691816
SRX5388964,0.9801057117
SRX5388965,0.8790947817
SRX5388962,0.744477448
SRX5388963,0.8629158888
SRX6889335,0.0078627523
SRX6889333,-0.0078627523
SRX6810002,-0.0572463631
SRX6810004,-0.1360758959
SRX6810003,0.19332225900000002
SRX6810006,0.6066258397000001
SRX6810005,0.1172879778
SRX6810007,0.44484887710000004
ERX1818322,0.0098813756
ERX1818321,-0.0098813756
SRX2617830,-0.6631150715
SRX2617831,-0.6073526939
SRX2617833,-0.6554901437
SRX2617832,-0.3809949824
SRX2617828,0.1229975977
SRX2617827,0.1885398828
SRX2617829,-0.3115374805
SRX3456119,-0.0617124131
SRX3456118,-0.0145684765
SRX3456117,-0.2975126073
SRX3456101,0.0682861019
SRX3456099,0.19399999040000002
SRX3456100,-0.2622860923
SRX3456107,-0.7640561520000001
SRX3456105,-0.6352038927
SRX4374122,0.1454909597
SRX4374121,-0.002388854
SRX4374123,0.0818503039
SRX4374124,-0.1900553337
SRX4374125,0.18672418100000002
SRX4374126,0.0033311527000000002
SRX4374127,0.3262304768
SRX4374128,0.6195863461000001
SRX4374129,-0.12080572510000001
SRX4374130,0.21716398790000002
SRX4374132,0.1519264023
SRX4374131,0.235083275
SRX4374133,0.1107755587
SRX4374135,-0.1870910442
SRX4374134,0.0749994147
SRX4374138,-0.2116241453
SRX4374136,-0.0302626862
SRX4374137,0.203737769
SRX1091379,-0.5542238809
SRX1091380,-0.5895018564
SRX1091377,0.0028907768
SRX1091378,-0.0028907768
SRX4647145,-0.2659902301
SRX4647146,-0.060669518400000004
SRX4647147,-0.09172965300000001
SRX4647144,0.014909894500000001
SRX4647143,-0.0633639464
SRX4647142,0.0484540519
SRX4647155,0.08695258
SRX4647152,0.3180185165
SRX4647153,0.2217531126
SRX4647154,-0.6043492251
SRX4647148,0.17564737530000002
SRX4647149,0.19016337800000002
SRX4647151,0.21622438770000002
SRX4647150,0.30692511580000004
SRX4647123,0.0275517514
SRX4647124,-0.072081723
SRX4647125,0.0445299716
SRX3103185,0.0127197366
SRX3103189,-0.8059647160000001
SRX3103187,-0.20195523610000002
SRX3103184,-0.0384297846
SRX3103188,0.083074828
SRX3103186,-0.0446450434
SRX1372110,0.5163954629
SRX1372111,0.4328735241
SRX1372108,0.046102537900000004
SRX1372109,-0.046102537900000004
SRX4506085,0.1243772197
SRX4506083,0.1183496712
SRX4506089,0.20618322390000002
SRX4506087,0.1607969964
SRX4506077,0.18802497
SRX4506079,0.2447549877
SRX4506075,-0.5977194777
SRX4506081,0.16493952
SRX4506084,0.0832611646
SRX4506086,0.0115916014
SRX4506088,0.0618996154
SRX4506090,0.0652439787
SRX4506078,0.2751001285
SRX4506080,0.1194975013
SRX4506082,0.019876542400000002
SRX4506076,0.0979658793
SRX5352221,0.2855399336
SRX5352223,0.4568822322
SRX5352222,0.2231277365
SRX5352229,-0.1989284802
SRX5352227,-0.729366195
SRX5352228,-0.1872023444
SRX5352231,0.2696549485
SRX5352232,0.1873633449
SRX5352230,0.11672268200000001
SRX5352225,0.39464812990000003
SRX5352224,0.44563852930000003
SRX5352226,0.3325182792
SRX5352220,-0.005930666
SRX5352219,-0.0352730154
SRX5352218,0.041203681400000004
SRX4498228,0.10920627020000001
SRX4498224,-0.3055692991
SRX4498230,0.07224246370000001
SRX4498226,0.10373560820000001
SRX4498218,-0.3335045546
SRX4498216,0.45204862240000004
SRX4498220,-0.08917143970000001
SRX4498222,-0.0293726282
SRX4498225,-0.029976270500000003
SRX4498227,0.20091558210000002
SRX4498231,-0.030345036800000003
SRX4498229,-0.11711538980000001
SRX4498217,0.06478753720000001
SRX4498221,-0.0917155511
SRX4498219,0.06644579810000001
SRX4498223,-0.23873659760000002
SRX5079928,0.1086051115
SRX5079930,-0.034777321
SRX5079929,0.084873927
SRX5079923,-0.0393297351
SRX5079924,-0.18278778240000002
SRX5079922,0.030885650900000002
SRX5079920,0.0472008196
SRX5079921,-0.07184751190000001
SRX5079919,0.024646692300000002
SRX5079926,0.097321559
SRX5079925,0.0645658338
SRX5079927,0.0973806636
SRX894005,-0.287253959
SRX894004,-0.0968718221
SRX894006,-0.2737150647
SRX893999,-0.34741051240000004
SRX894000,-0.0352889823
SRX893998,0.38269949480000004
SRX4647489,-0.1132111831
SRX4647490,0.1132111831
SRX4647492,0.1027484573
SRX4647491,0.15137573170000002
SRX4647496,-0.582503019
SRX4647495,-0.5112035573
SRX4647499,0.0880260263
SRX4647500,-0.1955976463
SRX4647493,-0.3406609097
SRX4647494,-0.5604644325
SRX4647497,-0.1367846725
SRX4647498,-0.47337862210000003
SRX4505482,-0.42583376570000003
SRX4505486,0.1746235142
SRX4505484,-0.4514987244
SRX4505473,0.1013192497
SRX4505476,0.1345725341
SRX4505480,0.0336108617
SRX4505478,-0.085988116
SRX4505474,-0.0821952798
SRX4505483,0.3339018371
SRX4505485,0.11759601100000001
SRX4505487,0.0042158510000000005
SRX4505488,0.4378923114
SRX4505481,0.236349414
SRX4505477,0.450899565
SRX4505475,0.6676215795
SRX4505479,0.0588234201
SRX4605773,-0.06998719240000001
SRX4605774,0.1535168904
SRX4605772,-0.1066720241
SRX4605771,0.1066720241
SRX5178871,-0.1315205169
SRX5178872,-0.046781937
SRX5178868,-0.11117131820000001
SRX5178870,0.054766149400000005
SRX5178869,0.0564051688
ERX1404045,-0.0683411352
ERX1404046,0.0683411352
ERX1404043,0.1165368826
ERX1404044,-0.5359957670000001
ERX237502,-1.2883749988
ERX237505,-0.0119892259
ERX237506,-0.5063395757
ERX237500,-1.6730533058
ERX237497,-1.5717260919
ERX237499,-0.2101736485
ERX237507,-0.0872742548
ERX237496,0.10400369990000001
ERX237504,-0.0167294451
ERX3772318,-0.2204785286
ERX3772320,-0.1329703877
ERX3772319,0.140476505
ERX3772321,-0.216717491
ERX3772322,0.0764138057
ERX3772323,0.1403036853
SRX4314262,0.0030592729
SRX4314263,0.1584862018
SRX4314261,-0.1615454747
SRX4314265,-0.3075309954
SRX4314266,-0.5090870187000001
SRX4314264,-0.21949664840000002
SRX4314268,-1.4428818013
SRX4314267,-0.9784691528
SRX4314271,-0.3209864005
SRX4314272,-0.31585583780000004
SRX4314275,-0.1581828781
SRX4314274,-0.09638911530000001
SRX4314273,-0.502200949
SRX4314278,0.306374896
SRX4314276,-0.855359925
SRX4314281,0.3527610412
SRX4314279,0.1314553515
SRX4314280,0.1645041947
SRX4314284,-0.5097919648
SRX4314283,-0.14924603220000002
SRX4314282,-0.1172729633
SRX4314293,-0.2401166046
SRX4314292,-0.2906527774
SRX4314291,0.3335712034
SRX4314297,0.9966965977000001
SRX4314298,0.8061524343
SRX4314299,0.788668216
SRX4314302,1.0831763577
SRX4314301,0.7815009151000001
SRX4314300,0.2756921513
SRX4314305,1.1455562312
SRX4314304,0.3013317046
SRX4314303,0.8590577279
SRX4314309,0.6161409881000001
SRX4314306,0.3429880181
SRX4314308,0.2708782564
SRX4314307,-0.106918039
SRX4314311,1.1594549678
SRX4314317,0.46327280060000003
SRX4314316,0.0654721348
SRX4314318,0.7999164653
SRX4314319,0.9778441094
SRX4314331,-0.1794255525
SRX4314330,-0.2371827655
SRX4314332,-0.0083145586
SRX4314335,-0.1388277218
SRX4314334,-0.33205883010000004
SRX4314333,-0.6850011814
SRX4314338,0.0803993491
SRX4314336,0.239272599
SRX4314337,0.0888561217
SRX4314339,0.1733946746
SRX4314340,0.0012016633
SRX4314341,0.35236978760000004
SRX3686762,0.8338325276
SRX3686763,0.7109792904000001
SRX3686761,0.6704971669
SRX3686765,0.3880103991
SRX3686769,0.45017878240000003
SRX3686766,0.2504293065
SRX3686768,0.3724398776
SRX3686764,0.49133869420000004
SRX3686767,0.3654243756
SRX3686788,0.0520368301
SRX3686791,0.2182402139
SRX3686792,-0.1984670674
SRX3686793,0.2243297632
SRX3686790,0.0023288622
SRX3686789,-0.2984686019
SRX3686829,0.5163737891
SRX3686830,0.7964583119
SRX3686828,0.6192775593000001
SRX3686819,1.7160011178999999
SRX3686818,1.7592390853
SRX3686817,1.8724055428000002
SRX3686822,1.7540867788
SRX3686820,1.803653602
SRX3686821,1.7220925051
SRX3686743,0.8127711182
SRX3686744,0.7580034429
SRX3686745,0.8434177925
SRX3686772,-0.155666058
SRX3686770,-0.1204942264
SRX3686771,-0.18744077820000002
SRX3686794,-0.48713468860000003
SRX3686796,0.3173742493
SRX3686751,0.8241926326
SRX3686749,0.8588497315
SRX3686750,0.8892870886
SRX3686778,0.5735731985
SRX3686777,0.40072266040000004
SRX3686776,0.2124540148
