,-0.061179734155464,-0.030589867077732,0.0,0.030589867077731994,0.061179734155464,0.09176960123319601,0.12235946831092799,0.15294933538866,0.183539202466392,0.21412906954412397,0.244718936621856,0.275308803699588,0.30589867077731997,0.336488537855052,0.367078404932784,0.397668272010516,0.428258139088248,0.45884800616598004,0.48943787324371196,0.520027740321444
thresh,-0.07647466769433,0.07647466769433,1,,,,,,,,,,,,,,,,,
unreg,12,307,3287,268,21,4,1,2,2,0,0,0,1,0,1,0,0,0,0,0
unreg_genes,[],[],[],[],[],['Rv3828c' 'Rv1403c' 'fadD9' 'Rv0575c'],['scoB'],['Rv1405c' 'fadE35'],['Rv3829c' 'scoA'],[],[],[],['Rv3830c'],[],['Rv3832c'],[],[],[],[],[]
