,-0.09658884785747601,-0.048294423928738006,0.0,0.048294423928738006,0.09658884785747601,0.14488327178621402,0.19317769571495202,0.24147211964369003,0.28976654357242804,0.33806096750116604,0.38635539142990405,0.4346498153586421,0.48294423928738006,0.531238663216118,0.5795330871448561,0.6278275110735941,0.6761219350023321,0.72441635893107,0.7727107828598081,0.8210052067885462
thresh,-0.07244163589310701,0.07244163589310701,1,,,,,,,,,,,,,,,,,
unreg,2,80,3717,100,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
unreg_genes,['Rv2614A' 'Rv3656c'],[],[],[],['PE_PGRS61' 'Rv3638' 'Rv0603' 'Rv0887c' 'Rv1051c' 'Rv0793'],[],[],[],[],[],[],[],[],[],['Rv2224d'],[],[],[],[],[]
