,-0.06950015505659567,-0.05405567615512996,-0.038611197253664256,-0.02316671835219855,-0.007722239450732846,0.0077222394507328596,0.023166718352198565,0.03861119725366427,0.054055676155129975,0.0695001550565957,0.08494463395806139,0.10038911285952708,0.1158335917609928,0.1312780706624585,0.14672254956392422,0.16216702846538988,0.1776115073668556,0.19305598626832132,0.20850046516978704,0.2239449440712527
thresh,-0.07722239450732851,0.07722239450732851,4,,,,,,,,,,,,,,,,,
unreg,1,0,22,247,1247,1037,176,27,7,2,3,0,1,0,0,0,0,0,0,0
Rv1776c,0,0,8,62,453,309,70,16,2,3,1,0,0,0,1,0,0,0,0,0
whiB4,0,0,4,9,51,52,17,2,4,1,2,0,0,0,1,0,1,0,0,0
Rv1776c and whiB4,0,0,1,4,19,25,3,2,1,1,0,2,3,4,0,1,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],['Rv2693c' 'Rv3837c' 'Rv2742c'],[],['Rv2694c'],[],[],[],[],[],[],[]
Rv1776c_genes,[],[],"['Rv0320' 'Rv0232' 'Rv1518' 'PPE36' 'Rv3047c' 'Rv3231c' 'Rv3485c'
 'Rv3165c']","['Rv0163' 'Rv2186c' 'Rv3776' 'echA18' 'atpH' 'ribA1' 'atpA' 'metC' 'atpC'
 'eis' 'Rv0828c' 'atpG' 'Rv3007c' 'Rv0027' 'rpfB' 'ethA' 'Rv2415c'
 'Rv3235' 'vapB20' 'metA' 'Rv0386' 'ksgA' 'Rv3762c' 'Rv2955c' 'atpD'
 'cyp144' 'lexA' 'Rv2308' 'Rv3427c' 'Rv2886c' 'Rv1744c' 'lat' 'hpx' 'lppH'
 'Rv0219' 'fadD5' 'hisG' 'Rv2642' 'ispE' 'lppW' 'Rv0495c' 'PE4' 'Rv1619'
 'Rv2272' 'Rv2022c' 'Rv2298' 'Rv3083' 'ppk2' 'Rv2581c' 'Rv1817' 'Rv0178'
 'Rv1776c' 'glgC' 'Rv1535' 'Rv2311' 'Rv0199' 'Rv1685c' 'Rv1362c' 'Rv3192'
 'mce4D' 'Rv2348c' 'Rv0274']","['lipJ' 'echA1' 'plsC' 'Rv3181c' 'rplV' 'lpqR' 'Rv3180c' 'gid' 'fadD15'
 'frr' 'Rv3813c' 'Rv2257c' 'mce1D' 'pyrH' 'rimI' 'vapC20' 'Rv1957'
 'Rv1000c' 'Rv1974' 'Rv0196' 'fabG3' 'cdsA' 'lprK' 'mce4F' 'pknK' 'glyA2'
 'mce3B' 'mazF8' 'Rv0770' 'fadE32' 'Rv2113' 'dnaB' 'amiA2' 'Rv1978'
 'Rv3633' 'Rv3342' 'fprB' 'ctpD' 'Rv2647' 'pitB' 'hrp1' 'Rv3137'
 'PE_PGRS2' 'Rv2484c' 'pca' 'mmpS4' 'Rv1770' 'Rv3099c' 'Rv1026' 'Rv1419'
 'Rv0499' 'Rv0463' 'Rv0264c' 'Rv1314c' 'Rv1977' 'rpsG' 'hisS' 'bkaR'
 'murF' 'fadD30' 'gcp' 'cfp6' 'lprP' 'Rv3322c' 'ephF' 'chaA' 'Rv0776c'
 'Rv1765c' 'fabD2' 'vapB14' 'Rv0421c' 'hisI' 'zur' 'Rv3294c' 'Rv3640c'
 'Rv1708' 'iniR' 'espI' 'Rv2721c' 'ldtB' 'Rv0498' 'Rv3760' 'Rv1312'
 'Rv3737' 'pykA' 'Rv1424c' 'Rv0738' 'Rv3714c' 'higA' 'nuoG' 'Rv3683'
 'pknA' 'fadE36' 'Rv0434' 'pbpA' 'Rv3241c' 'esxH' 'Rv2653c' 'pstP'
 'Rv2189c' 'kdpD' 'Rv3725' 'lipG' 'accD6' 'arsC' 'relA' 'epiA' 'Rv1269c'
 'Rv3921c' 'Rv1271c' 'lprH' 'Rv1866' 'rplD' 'scpB' 'Rv0226c' 'yrbE1B'
 'arsB2' 'mce3R' 'Rv1045' 'Rv3239c' 'Rv0135c' 'dop' 'fadE30' 'fadD10'
 'zmp1' 'Rv3034c' 'Rv3706c' 'Rv2302' 'hycQ' 'Rv0228' 'murX' 'dnaZX'
 'Rv1645c' 'Rv0439c' 'vapC1' 'vapC14' 'lppE' 'Rv3166c' 'lpqW' 'Rv3784'
 'Rv0023' 'fadE13' 'Rv2898c' 'Rv1245c' 'tgs3' 'Rv2820c' 'Rv1232c' 'Rv0158'
 'Rv0026' 'malQ' 'plsB2' 'rplT' 'Rv0057' 'pknE' 'rpmI' 'Rv1341' 'menE'
 'Rv2644c' 'cyp135B1' 'fadD35' 'Rv1543' 'moaX' 'idi' 'Rv1272c' 'rmlB'
 'Rv0870c' 'Rv1825' 'Rv3548c' 'Rv0953c' 'lgt' 'eccCb1' 'Rv0497' 'Rv0464c'
 'Rv2242' 'Rv1998c' 'Rv1520' 'argR' 'Rv2668' 'pcp' 'Rv2300c' 'Rv0814c'
 'purK' 'Rv0203' 'PE31' 'vapC24' 'recR' 'ethR' 'Rv1364c' 'Rv0457c'
 'Rv2731' 'Rv0201c' 'Rv2630' 'Rv2120c' 'plcC' 'rphA' 'Rv0318c' 'Rv2669'
 'PE_PGRS5' 'rplW' 'aroG' 'recO' 'Rv2258c' 'pknF' 'Rv0044c' 'lipZ' 'gpm2'
 'thrS' 'lppU' 'tyrS' 'Rv3716c' 'Rv1546' 'Rv1717' 'Rv3736' 'Rv0394c'
 'Rv0696' 'moaA2' 'Rv3632' 'nirB' 'Rv0028' 'Rv2884' 'citE' 'gmhB' 'eccD3'
 'Rv2956' 'PE_PGRS31' 'lprN' 'Rv2576c' 'Rv2230c' 'Rv0295c' 'Rv2597'
 'PE_PGRS28' 'gmdA' 'Rv0176' 'mce1A' 'Rv0449c' 'sucD' 'nadE' 'Rv2438A'
 'Rv2957' 'Rv0897c' 'Rv3856c' 'Rv0648' 'Rv0493c' 'Rv1711' 'Rv2264c'
 'Rv0149' 'nth' 'tpx' 'gpsI' 'Rv0699' 'Rv1951c' 'mutY' 'Rv1724c' 'Rv2688c'
 'Rv0221' 'Rv0543c' 'hrcA' 'rplB' 'Rv1318c' 'Rv2228c' 'Rv3726' 'mmpL12'
 'Rv2423' 'ileS' 'Rv1762c' 'Rv2307c' 'Rv0175' 'Rv0976c' 'trpA' 'PPE30'
 'Rv0492c' 'Rv1425' 'lpqB' 'Rv1353c' 'Rv1591' 'nadR' 'Rv3492c' 'fadD34'
 'Rv0496' 'Rv1973' 'fbpB' 'Rv1639c' 'Rv2021c' 'Rv0204c' 'Rv1882c' 'Rv2509'
 'gadB' 'hemE' 'gca' 'Rv1883c' 'cyp132' 'purE' 'php' 'fadD25' 'Rv0807'
 'mmaA1' 'lpqC' 'hycP' 'Rv2499c' 'Rv1824' 'vapB30' 'ctpI' 'fdhD' 'Rv0963c'
 'Rv3224' 'Rv1958c' 'Rv3600c' 'Rv0961' 'rnhB' 'pbpB' 'Rv0883c' 'cyp121'
 'Rv0042c' 'pknG' 'purF' 'Rv2310' 'xerC' 'PE17' 'ackA' 'gcvB' 'glcB'
 'engA' 'viuB' 'Rv1748' 'glpD2' 'glgA' 'Rv2361c' 'rfe' 'Rv3057c' 'Rv2489c'
 'Rv3433c' 'Rv1254' 'Rv3394c' 'Rv1885c' 'mce3D' 'Rv2686c' 'accA1' 'esxA'
 'Rv1647' 'Rv3579c' 'ilvD' 'Rv3207c' 'cspB' 'Rv1727' 'Rv0597c' 'trpG'
 'Rv1393c' 'lepB' 'ilvC' 'Rv0104' 'sdaA' 'Rv0494' 'Rv2817c' 'cobN' 'pta'
 'Rv3172c' 'gabP' 'PPE56' 'cut2' 'Rv3766' 'Rv1186c' 'Rv0479c' 'fixB'
 'pgsA2' 'Rv1823' 'vapB4' 'pks7' 'PE_PGRS16' 'lprF' 'Rv1816' 'Rv2645'
 'Rv3040c' 'vapB44' 'Rv1972' 'Rv3049c' 'Rv3163c' 'fadE25' 'Rv1718' 'nuoF'
 'Rv0737' 'Rv3741c' 'echA17' 'esxB' 'Rv2522c' 'Rv2459' 'Rv2681' 'hycD'
 'cyp138' 'glyS' 'fusA1' 'Rv3559c' 'Rv1044' 'Rv0958' 'lipR' 'rpsC'
 'Rv3213c' 'Rv0209' 'Rv2275' 'mce3F' 'atsB' 'Rv0148' 'Rv0674' 'lipE'
 'cyp141' 'Rv0541c' 'arcA' 'mce1B' 'PE_PGRS62' 'Rv2375' 'Rv1638A' 'ppsC'
 'PPE51' 'tesB1' 'PE1' 'nuoE' 'ilvN' 'Rv2614A' 'lipQ' 'Rv0200' 'mycP3'
 'Rv3081' 'fba' 'Rv3729' 'Rv0310c' 'recF' 'eccB1' 'Rv2414c' 'yrbE1A'
 'Rv0565c' 'espJ' 'Rv2000' 'Rv0823c' 'Rv0268c' 'murD' 'Rv1686c' 'mak'
 'PPE66' 'Rv1760' 'nusA' 'Rv3351c' 'Rv2962c' 'deoC' 'Rv3196' 'miaA'
 'Rv1048c' 'Rv2819c' 'Rv0836c' 'accD2' 'fadD36' 'Rv2488c' 'Rv2926c'
 'Rv1865c' 'rbsK']","['Rv2818c' 'mpt70' 'recC' 'espH' 'argF' 'mutA' 'Rv2229c' 'Rv0021c' 'parA'
 'lprM' 'TB16.3' 'rplC' 'Rv1255c' 'phoR' 'rmlC' 'Rv0810c' 'Rv0075'
 'Rv0077c' 'Rv0567' 'Rv2084' 'fdhF' 'erm(37)' 'Rv3786c' 'mbtG' 'mtrB'
 'Rv2687c' 'Rv0366c' 'ctpH' 'aftD' 'Rv0180c' 'deaD' 'lpdA' 'Rv2646'
 'Rv3008' 'fadE8' 'Rv1771' 'Rv2553c' 'rpsS' 'Rv1544' 'Rv2816c' 'Rv2019'
 'serC' 'Rv3258c' 'eccC3' 'rpfC' 'echA21' 'lysX' 'Rv1887' 'sigG' 'mce1F'
 'espG1' 'thiC' 'moxR3' 'rpsL' 'Rv2507' 'Rv0361' 'Rv2680' 'vapC15' 'thiX'
 'Rv2342' 'vapC4' 'Rv3727' 'murA' 'Rv2260' 'fadD3' 'Rv1950c' 'Rv1545'
 'espK' 'Rv3910' 'Rv2823c' 'dnaE1' 'Rv2273' 'Rv1615' 'mmaA3' 'Rv0177'
 'Rv1761c' 'Rv0296c' 'tcrX' 'lprJ' 'fhaA' 'cmk' 'pks9' 'moeA2' 'rplP'
 'cysS1' 'murC' 'ctaC' 'htpG' 'Rv1931c' 'Rv3395c' 'leuS' 'Rv3740c' 'trmD'
 'Rv1842c' 'purB' 'moeY' 'eccA1' 'lpqI' 'ppsB' 'pks12' 'cysA2' 'rplK'
 'tcrA' 'pks17' 'Rv2508c' 'aspB' 'Rv3195' 'mscR' 'PPE49' 'Rv1786' 'dacB2'
 'cysM' 'Rv1648' 'nei' 'Rv0375c' 'Rv1830' 'Rv0406c' 'PPE4' 'PE5' 'Rv2672'
 'PE14' 'ctpC' 'vapC35' 'Rv3050c' 'TB7.3' 'topA' 'Rv2655c' 'fasR'
 'Rv2377c' 'Rv3644c' 'mce3C' 'mctB' 'Rv2972c' 'Rv3575c' 'Rv3277' 'Rv1453'
 'iniC' 'Rv0634c' 'esxG' 'bfrA' 'eccC2' 'Rv1367c' 'Rv1779c' 'Rv3353c'
 'Rv0812' 'dinP' 'Rv0161' 'cfp21' 'ppiA' 'Rv3046c' 'accA2' 'asnB' 'Rv0194'
 'Rv0036c' 'ftsQ' 'Rv2901c' 'Rv0083' 'pimB' 'Rv0817c' 'PE_PGRS25'
 'Rv1855c' 'panC' 'tcrY' 'cyp143' 'fixA' 'Rv0303' 'Rv1192' 'Rv0110' 'mbtE'
 'purU' 'lppD' 'mmpL11' 'Rv1747' 'thiD' 'Rv3742c' 'Rv3785' 'Rv3684' 'kdpF'
 'PE26' 'Rv0367c' 'Rv1725c' 'mmpL3' 'Rv1841c' 'Rv1428c' 'cyp128' 'smtB'
 'Rv1395' 'Rv1251c' 'murI' 'Rv0805' 'murG' 'dipZ' 'Rv0473' 'eccA3'
 'fadE33' 'rnc' 'Rv0157A' 'Rv1429' 'Rv3077' 'rimJ' 'rpsJ' 'ilvB1' 'fadD13'
 'Rv2514c' 'oxyS' 'Rv2515c' 'cpsY' 'cmaA2' 'purM' 'tsnR' 'Rv0039c' 'erg3'
 'Rv2876' 'mbtF' 'Rv3354' 'lprO' 'rpoB' 'Rv3435c' 'rpmC' 'Rv0141c' 'proX'
 'tuf' 'mce3A' 'Rv2821c' 'Rv3209' 'mce1R' 'Rv2896c' 'Rv3717' 'Rv3183'
 'Rv2631' 'Rv0804' 'rpsO' 'mmaA4' 'gltB' 'vapC30' 'treS' 'Rv1616' 'Rv0336'
 'alaS' 'Rv1337' 'secE1' 'Rv0811c' 'icd2' 'narX' 'Rv3085' 'Rv1831' 'ctpF'
 'Rv1405c' 'vapC13' 'Rv0349' 'Rv3439c' 'Rv2867c' 'cobG' 'rimM' 'eccC5'
 'PE_PGRS59' 'Rv2554c' 'mas' 'Rv0603' 'Rv0368c' 'Rv1930c' 'gcpE' 'Rv2437'
 'dapF' 'Rv3035' 'Rv2223c' 'Rv3160c' 'adoK' 'Rv3295' 'rpoC' 'Rv0955'
 'Rv2551c' 'Rv0111' 'Rv0818' 'Rv3060c' 'rpsQ' 'iniA' 'secA2' 'relE'
 'Rv3030' 'mmpL10' 'Rv0076c' 'Rv1215c' 'Rv0666' 'ricR' 'cstA' 'nusG'
 'cobS' 'ppiB' 'Rv3087' 'sigI' 'Rv2017' 'Rv0045c' 'adhD' 'Rv0477' 'gyrB'
 'ftsX' 'sthA' 'acn' 'moeA1' 'Rv2712c' 'fadA2' 'virS' 'PPE60' 'Rv1780'
 'Rv2897c' 'Rv2598' 'pks4' 'echA15']","['Rv1188' 'Rv0514' 'caeA' 'phoH2' 'Rv2254c' 'aroE' 'Rv0007' 'lppX' 'mazF5'
 'Rv0197' 'Rv0213c' 'eccA5' 'Rv0954' 'serB2' 'rshA' 'Rv0476' 'lipY'
 'Rv3182' 'Rv2599' 'papA3' 'Rv0515' 'Rv2179c' 'desA1' 'Rv0990c' 'ligB'
 'fabG4' 'Rv1682' 'Rv2542' 'Rv2199c' 'ppsE' 'espG3' 'Rv1975' 'Rv0383c'
 'Rv0474' 'grcC2' 'Rv3041c' 'htdX' 'Rv1474c' 'rplA' 'fadD28' 'yrbE3B'
 'Rv0248c' 'mbtD' 'ansP2' 'hbhA' 'Rv0653c' 'PPE32' 'Rv3645' 'echA9'
 'Rv2840c' 'echA8' 'clpC1' 'PE_PGRS18' 'Rv0830' 'desA2' 'ppsD' 'lppA'
 'atsA' 'Rv0298' 'Rv3259' 'Rv1069c' 'cysD' 'papA5' 'Rv0195' 'narU'
 'Rv3675' 'drrC' 'Rv0381c' 'Rv2837c' 'pyrE']","['Rv3098c' 'Rv0348' 'Rv3352c' 'nadB' 'PPE33' 'nadC' 'nadA' 'drrB' 'htrA'
 'Rv0516c' 'fmu' 'Rv2267c' 'Rv0249c' 'Rv3861' 'Rv2372c' 'mprB']",['infB' 'mprA'],['moaB2' 'pepD' 'Rv1043c'],['ppm1'],[],[],[],['Rv2052c'],[],[],[],[],[]
whiB4_genes,[],[],['alkB' 'icl1' 'nirD' 'ahpD'],"['nrdB' 'Rv3822' 'leuD' 'Rv1805c' 'ahpC' 'Rv3334' 'Rv2659c' 'Rv3173c'
 'Rv3312A']","['Rv0325' 'efpA' 'Rv2331A' 'Rv0987' 'PPE20' 'Rv1289' 'Rv0693' 'Rv3827c'
 'Rv1128c' 'Rv2312' 'Rv3074' 'Rv0412c' 'Rv3828c' 'Rv3686c' 'Rv2331'
 'Rv2216' 'leuC' 'Rv0694' 'Rv2640c' 'Rv1674c' 'Rv3415c' 'Rv0692' 'Rv1907c'
 'katG' 'Rv3517' 'Rv3527' 'Rv3484' 'Rv1671' 'whiB4' 'fadD19' 'furA'
 'Rv1466' 'recX' 'ltp1' 'Rv3463' 'rubA' 'Rv1588c' 'Rv1012' 'recA' 'Rv3586'
 'Rv3226c' 'Rv3902c' 'uvrA' 'PPE38' 'espF' 'mmpL4' 'Rv3249c' 'whiB6'
 'cysW' 'cysT' 'csd']","['Rv2734' 'fbpD' 'Rv0331' 'Rv1587c' 'groES' 'Rv1278' 'cysA1' 'Rv2792c'
 'Rv1463' 'fadE10' 'Rv2979c' 'Rv0184' 'Rv0326' 'Rv0885' 'Rv1461' 'Rv2827c'
 'Rv0605' 'rubB' 'alkA' 'Rv1462' 'narK1' 'radA' 'Rv2169c' 'fadD23'
 'Rv0324' 'Rv3531c' 'lysS' 'Rv2791c' 'Rv1465' 'Rv1277' 'Rv3201c' 'Rv2722'
 'mmpL8' 'lprD' 'Rv2978c' 'thiL' 'Rv2366c' 'Rv1875' 'Rv2204c' 'Rv1673c'
 'pks3' 'PPE19' 'Rv2517c' 'Rv3242c' 'Rv2989' 'Rv2706c' 'PPE3' 'Rv1200'
 'Rv1767' 'Rv0140' 'rpiB' 'Rv0607']","['PE35' 'fadE24' 'Rv2622' 'fadE23' 'bglS' 'Rv2035' 'Rv2516c' 'Rv3467'
 'Rv3767c' 'nrdF1' 'cmtR' 'PE20' 'Rv0146' 'Rv2466c' 'moeB1' 'Rv2620c'
 'Rv1573']",['Rv2617c' 'Rv3054c'],['ideR' 'Rv2050' 'clpP2' 'clpP1'],['Rv2699c'],['clpB' 'Rv0250c'],[],[],[],['sigB'],[],['clgR'],[],[],[]
Rv1776c and whiB4_genes,[],[],['pks16'],['Rv1184c' 'pks6' 'Rv1592c' 'nrdF2'],"['Rv1049' 'Rv0068' 'fadB2' 'Rv2885c' 'Rv2015c' 'hddA' 'glnH' 'kasB' 'cysO'
 'Rv2016' 'kasA' 'Rv2719c' 'sigH' 'eccCa1' 'Rv1342c' 'Rv0181c' 'mec'
 'yrbE3A' 'Rv1833c']","['ogt' 'Rv3555c' 'Rv2024c' 'Rv0794c' 'Rv3222c' 'fadD21' 'ndh' 'fadD9'
 'fabD' 'ldtA' 'Rv3202c' 'ppsA' 'iniB' 'fas' 'Rv0147' 'tgs4' 'pks2' 'lhr'
 'Rv1593c' 'fmt' 'PPE68' 'Rv0839' 'acpM' 'Rv3191c' 'fadE22']",['Rv0145' 'drrA' 'Rv0654'],['trxB2' 'trxC'],['dnaJ2'],['trxB1'],[],['hspR' 'dnaJ1'],['Rv1072' 'Rv2743c' 'Rv1073'],['dnaK' '35kd_ag' 'htpX' 'grpE'],[],['fxsA'],[],[],['hsp'],[]
