,A,Rv1776c,whiB4
SRX3686818,2.1607626135,-0.019302675300000002,0.2883777061
SRX3686817,1.5442449106,-0.09834284480000001,0.2643392287
SRX3686822,9.3739884255,0.47771878830000003,-0.7418996079
SRX3686820,7.1962664335,0.6747422507,-0.7418840396
SRX3686821,8.8656076475,0.6392049641,-0.8053127232
SRX3686743,-0.050893212900000005,-0.2384483352,0.1203361718
SRX3686744,-0.6010462481000001,-0.3412903465,0.1417026282
SRX3686745,0.2131862779,-0.1632836527,0.2167396417
SRX3686772,-0.0682240778,-0.512475212,0.0776668241
SRX3686770,-1.245506428,-0.5073777295,0.5054834574
SRX3686771,-0.6154660402000001,-0.2985597047,0.2227226039
SRX3686794,-0.20204130550000002,0.0774620545,0.5858864819
SRX3686796,1.2938829399,-0.36453044490000003,0.1675259197
SRX3686751,-0.5049260883,-0.4126451036,0.1588647745
SRX3686749,0.7407675752,-0.3397819414,0.18451152880000002
SRX3686750,-0.5705381529,-0.2488717731,0.0641829379
SRX3686778,-0.1254126452,-0.29217854320000003,0.1398143376
SRX3686777,-0.4210770902,-0.40738653680000003,0.0175434205
SRX3686776,-1.2145125596,-0.49453296300000005,0.0284110162
SRX3686800,2.731033394,-0.6073419986,0.1765467749
SRX3686801,1.6925245022,-0.641632663,0.1442105802
SRX3686755,0.3875469473,-0.1788129258,0.1437106416
SRX3686757,0.0765177158,-0.1946276052,0.1257417442
SRX3686756,0.4296337268,-0.4648631347,0.1170291091
SRX3686784,-0.2592173128,-0.5756894142,-0.2061255002
SRX3686783,-0.7408307044,-0.6024035947,-0.22459888200000003
SRX3686782,-1.4676121208000001,-0.9642920583000001,0.0070589924
SRX3686809,3.7068078069,-0.7710784043000001,0.0094884696
SRX3686807,3.8165637607000003,-0.6142589110000001,-0.008951611200000001
SRX3686808,3.4166560269,-0.6703592388,0.0963730188
SRX3686787,11.5989778621,0.1845873091,-0.9194448513000001
SRX3686786,10.4693435349,-0.12163023170000001,-0.9426904701000001
SRX3686785,10.8805413323,0.21614688240000002,-0.8847373998
SRX3686799,6.1525331033,-0.1073006539,-0.5474836482000001
SRX3686797,6.9010513322,-0.3720135653,-0.40934811800000004
SRX3686798,6.3355398979,-0.5546868114,-0.34512571280000004
SRX3686746,4.5856369869,-0.43109448840000003,-0.2948663433
SRX3686748,4.3094016616,-0.0374775599,-0.3319340919
SRX3686747,3.8796690269000003,-0.36706144820000003,-0.1802614042
SRX3686773,5.4457097424,-0.23215738760000001,-0.08292283040000001
SRX3686774,5.7308288224,-0.3796040725,-0.1921773467
SRX3686775,5.9562071869,-0.3944591234,-0.3101844965
SRX3686754,6.9823807847,0.069221007,-0.40839920160000004
SRX3686753,7.2451233097,0.1068511272,-0.5018389917
SRX3686752,7.1984137871,-0.5292027437,-0.5320153486
SRX3686780,9.0117457283,-0.06439042860000001,-0.7655924733
SRX3686779,8.2940851468,-0.3980324052,-0.5107310812
SRX3686781,8.5154841074,-0.4405236944,-0.6994789594
SRX3686806,8.8827953648,-0.0948440507,-1.0478436946
SRX3686805,10.0246001184,-0.1791948937,-0.8791967713000001
SRX3686758,10.7204412343,0.1158545088,-0.7320489648
SRX3686760,10.0982316971,0.1274386701,-0.740280994
SRX3686759,10.9068481325,-0.075905399,-0.7058704211
SRX3686810,13.4601329832,0.0741713974,-0.9209895220000001
SRX3686811,11.6720966886,-0.1149628437,-1.0148459425
SRX3686812,11.6468157374,-0.1351032311,-1.0751907994
SRX3686813,0.42260056490000003,-0.30016393620000004,-0.0090802301
SRX3686815,13.2241219342,0.40838868180000004,-1.1132535493
SRX3686816,12.9438666006,0.3888512615,-1.0961371668
SRX3686823,1.1149706001,-0.107644101,-0.0202049933
SRX3686824,1.3715777093,-0.1978641144,0.07751158600000001
SRX3686825,10.7807499432,0.4355739174,-0.654298492
SRX3686827,13.1299205805,0.7150048892,-0.6021311303
SRX3686826,12.9899388517,0.5079360996,-0.4964782726
SRX7054191,-0.5973851831,-0.0435324932,-0.0118836101
SRX7054189,0.0207160517,0.2201727225,-0.0943186531
SRX7054190,0.5766691314,-0.1766402293,0.10620226320000001
SRX7054193,1.8650413113000002,0.23963843380000002,0.0041208193
SRX7054192,3.0455214896,0.2793422136,-0.116000084
SRX7054194,3.2649093951,0.41239022280000004,0.1465339168
SRX4506284,-4.8788035133,-0.6295397412,0.4012559103
SRX4506280,-4.3790041976000005,-0.7420443280000001,0.5443184627000001
SRX4506282,-4.5738519127,-0.3855685996,0.6293675235
SRX4506278,-4.6140663922,-0.8260016261,0.5466591093000001
SRX4506274,0.16001079810000002,-0.0973975358,-0.1576649091
SRX4506273,-0.2534267197,0.010152796300000001,0.0464030489
SRX4506271,0.1465539102,-0.0578980849,0.0567004912
SRX4506276,-0.053137988600000005,0.1451428244,0.054561369000000005
SRX4506283,5.3024041889,-0.43809917400000004,0.37918309720000004
SRX4506279,4.8976857818,-0.36159687220000003,0.3893255232
SRX4506285,5.2753994574,-0.5132005234,0.3519140754
SRX4506281,5.2763684407,-0.3946401869,0.29227936520000003
SRX4506275,-1.3574300707,0.1806533116,-0.0446195647
SRX4506277,-1.135063576,0.1946323928,-0.236091558
SRX4506272,-1.3481622251,0.18889407300000002,-0.0144775122
SRX2923393,0.3799602214,-0.016836992000000002,0.1209805548
SRX2923394,-0.3799602214,0.016836992000000002,-0.1209805548
SRX2923398,9.3967933671,1.5852298956,2.9839660519
SRX2923397,8.1858625901,1.5664205174,2.6209357877
SRX2923395,5.5584106008,2.9926371777,1.5668710907999999
SRX2923396,5.2963740117,2.8526111593,1.3752248065
SRX2923400,2.0268676902,-1.0407628507,-1.0485079829
SRX2923401,0.7667052881,-0.44968067440000004,-1.3851122688
SRX2923403,4.8313589909,0.4585668913,-0.433578018
SRX2923402,5.0055386802,0.11418675310000001,-0.8102553663000001
SRX6853288,1.8496557497000001,-0.3745687451,0.0075569459000000005
SRX6853287,1.4693016843,-0.0578831221,-0.1440318153
SRX6853286,2.1266759333,-0.41139291180000004,-0.006703760600000001
SRX6853284,-0.057986136,0.0064748735000000005,-0.09548995390000001
SRX6853285,0.3483075839,-0.1277729822,0.0240988141
SRX6853283,-0.29032144790000003,0.1212981088,0.0713911398
SRX4319040,-0.0471845461,0.1775825658,-0.0872582632
SRX4319041,-0.11630093130000001,-0.22097595,-0.015282859800000001
SRX4319039,0.16348547730000001,0.0433933842,0.10254112300000001
SRX4314613,2.2340740791,-1.5023959399,-0.6528237022000001
SRX4314614,2.8874200317,-0.5682153749000001,0.0680301661
SRX4314615,2.8048217636,-0.7340184505,-0.6894202412
SRX4314632,5.0694840608,0.20032862610000002,-0.5775449526
SRX4314631,5.4472435078,-0.1774001214,-0.6596816600000001
SRX4314633,5.9755776336,0.32244656200000005,-0.8007551983000001
SRX4314622,5.9125758327,-0.2928729975,-0.8182227555
SRX4314623,4.9065803216,-1.3550318694999999,-0.8791653382
SRX4314624,4.6214252955,-0.27730115450000004,-0.9032809246
SRX4314611,0.21870330600000001,-0.17993496050000002,-0.1510051734
SRX4314610,0.2267741732,0.1673779725,-0.0020174518000000002
SRX4314612,-0.4454774792,0.012556988000000002,0.1530226252
SRX4314630,0.8400628253,0.4798917159,-0.3852289109
SRX4314628,1.1061960057,0.7443136437,-0.2673512263
SRX4314629,0.9122260061,0.8785201976,-0.4571330322
SRX4314619,0.8901195779000001,0.0918672036,0.21910462
SRX4314621,0.8128995174,0.1175365042,0.2290444223
SRX4314620,0.587553141,0.1268790947,0.0200289992
SRX7119390,0.6069361773,-0.0916231742,0.1423062529
SRX7119388,-0.6069361773,0.0916231742,-0.1423062529
SRX7119386,18.3360799519,0.6463286367000001,-1.1546291323
SRX7119385,19.4172283978,0.24761295290000002,-1.0031527422
SRX7119387,18.3020596499,0.1590123186,-0.9118754830000001
SRX3746749,-3.3011827869,-0.0084343862,-1.1281040632
SRX3746748,-5.4873447456,0.08297598760000001,-0.6831360421
SRX3746751,-2.4433378301,-0.8745594998,0.013411866000000001
SRX3746750,-3.0389858679,-0.1486128581,0.1331694131
SRX3746752,-1.4223583654,0.09108098810000001,0.2011719502
SRX3746753,-3.9545994399,-0.6959991872,0.2601917391
