,-0.06977165129445885,-0.05708589651364815,-0.04440014173283745,-0.031714386952026746,-0.019028632171216045,-0.006342877390405344,0.006342877390405358,0.01902863217121606,0.03171438695202676,0.04440014173283746,0.05708589651364816,0.06977165129445888,0.08245740607526957,0.09514316085608025,0.10782891563689097,0.12051467041770168,0.13320042519851238,0.14588617997932307,0.15857193476013376,0.1712576895409445
thresh,-0.06342877390405349,0.06342877390405349,2,,,,,,,,,,,,,,,,,
unreg,2,3,6,31,283,1694,1220,179,31,6,6,5,2,0,0,0,0,0,0,0
sigH,0,1,2,8,28,167,142,40,10,0,4,4,3,7,10,6,3,1,2,0
unreg_genes,['Rv3342' 'metA'],[],[],[],[],[],[],[],[],[],[],['Rv0309' 'Rv3352c' 'Rv1773c' 'Rv2292c' 'Rv0039c'],['lipL' 'add'],[],[],[],[],[],[],[]
sigH_genes,[],['rpfE'],['whiB6' 'lipX'],['Rv3054c' 'ftsZ' 'Rv0302' 'yfiH' 'Rv2943A' 'Rv0654' 'Rv0095c' 'Rv0196'],"['Rv3123' 'usfY' 'PPE3' 'fdxB' 'PPE57' 'Rv0607' 'nrp' 'pks1' 'Rv0303'
 'Rv2943' 'nrdF2' 'Rv0197' 'cysA1' 'Rv3047c' 'tgs1' 'Rv0367c' 'Rv0488'
 'Rv3712' 'bioF2' 'lat' 'Rv3182' 'Rv1176c' 'Rv1954c' 'groEL1' 'Rv2990c'
 'Rv2252' 'PE_PGRS32' 'Rv0100']","['pks6' 'Rv2729c' 'Rv3289c' 'Rv1519' 'Rv0516c' 'grcC2' 'Rv1578c' 'gcvB'
 'gatC' 'Rv0849' 'Rv2787' 'cydA' 'Rv3076' 'PE36' 'Rv3162c' 'Rv2042c'
 'Rv0481c' 'Rv0026' 'Rv2989' 'Rv2739c' 'Rv3098c' 'lppT' 'mazF8' 'Rv0083'
 'Rv0428c' 'Rv0330c' 'Rv3796' 'trmD' 'dnaK' 'Rv2113' 'Rv0480c' 'Rv2455c'
 'lppX' 'cobQ2' 'mntH' 'Rv1996' 'Rv3127' 'Rv1258c' 'cysK2' 'oxcA'
 'Rv1584c' 'Rv1045' 'cydD' 'Rv0991c' 'Rv0057' 'accD3' 'Rv0964c' 'cyp124'
 'fadD13' 'esxQ' 'Rv3218' 'Rv2958c' 'Rv2049c' 'Rv2387' 'bpoC' 'Rv0316'
 'gatA' 'cadI' 'Rv1976c' 'iunH' 'Rv2114' 'Rv2037c' 'Rv2251' 'dnaE1'
 'cysA3' 'hrp1' 'Rv3030' 'Rv3027c' 'Rv2735c' 'cyp136' 'lpqA' 'pknB' 'pbpA'
 'Rv2680' 'thrB' 'TB31.7' 'Rv1277' 'Rv2077A' 'PPE67' 'Rv1986' 'cydC'
 'Rv3205c' 'Rv0452' 'Rv3591c' 'radA' 'Rv3437' 'Rv0059' 'fadD9' 'birA'
 'Rv0078' 'hycP' 'alaS' 'lpqI' 'Rv3005c' 'Rv3586' 'Rv3587c' 'fadD7'
 'Rv2719c' 'Rv3822' 'modC' 'lipR' 'Rv1974' 'asnB' 'irtA' 'pncA' 'Rv0106'
 'Rv0571c' 'accD5' 'Rv3032' 'iniR' 'accA2' 'cydB' 'Rv0082' 'tatD'
 'Rv3172c' 'rubB' 'PPE29' 'pth' 'PPE69' 'hspX' 'Rv1674c' 'fdhD' 'Rv1301'
 'Rv0794c' 'Rv3066' 'Rv3033' 'Rv3137' 'Rv3087' 'mbtI' 'Rv2033c' 'hemK'
 'clpB' 'dprE1' 'bfrB' 'Rv0080' 'hsp' 'ltp4' 'esxR' 'Rv2659c' 'Rv1708'
 'Rv1044' 'Rv0141c' 'plcB' 'mez' 'cysW' 'Rv0784' 'Rv0376c' 'Rv0311'
 'Rv2147c' 'Rv2012' 'Rv1473' 'htpG' 'alkB' 'Rv2646' 'dinP' 'Rv3049c'
 'echA12' 'hycE' 'Rv2041c' 'Rv1278' 'esxJ' 'kdpE' 'def' 'Rv2454c'
 'Rv1320c' 'PPE55' 'PPE51']","['irtB' 'cysM' 'ephA' 'adhD' 'Rv2004c' 'plcA' 'Rv3773c' 'Rv2331A' 'rubA'
 'leuC' 'pstB' 'pks9' 'Rv1813c' 'Rv2016' 'ogt' 'Rv2944' 'rmlC' 'Rv0430'
 'groES' 'Rv0158' 'ethA' 'Rv2681' 'vapB43' 'apa' 'Rv2962c' 'Rv2132' 'rshA'
 'cysO' 'Rv3165c' 'tgs4' 'Rv1273c' 'Rv1112' 'Rv3202c' 'Rv3083' 'Rv1218c'
 'dacB2' 'recA' 'Rv3714c' 'mshB' 'recX' 'Rv3201c' 'Rv2955c' 'pks8'
 'Rv0205' 'Rv1286' 'ruvA' 'Rv2959c' 'Rv0315' 'Rv0111' 'prpR' 'Rv0817c'
 'Rv1804c' 'Rv3466' 'Rv2645' 'Rv3031' 'Rv1220c' 'Rv2585c' 'lpqJ' 'Rv1043c'
 'Rv0891c' 'Rv3131' 'Rv2078' 'Rv2510c' 'Rv2165c' 'Rv3395c' 'fabD' 'Rv3789'
 'Rv0845' 'helZ' 'hycQ' 'Rv3439c' 'Rv2005c' 'Rv0881' 'mobA' 'Rv3222c'
 'murB' 'trxC' 'Rv2164c' 'Rv2254c' 'rpiB' 'Rv1724c' 'pbpB' 'vapC43'
 'Rv2003c' 'fgd2' 'pntAb' 'msrB' 'Rv0142' 'murI' 'Rv1874' 'pntAa'
 'Rv1592c' 'Rv2663' 'Rv3263' 'infA' 'Rv1279' 'fadE5' 'kasB' 'ethR' 'prpC'
 'fprB' 'Rv3463' 'otsB1' 'ruvB' 'Rv0358' 'sigE' 'Rv1733c' 'Rv1738'
 'Rv3268' 'Rv0859' 'Rv2963' 'Rv0883c' 'Rv1670' 'Rv2166c' 'acg' 'udgB'
 'Rv2331' 'Rv2466c' 'Rv0081' 'umaA' 'leuD' 'Rv0140' 'vapB21' 'PPE15'
 'Rv0307c' 'Rv0880' 'Rv2119' 'mec' 'Rv0759c' 'ruvC' 'PPE50' 'Rv1217c'
 'cysT' 'lipQ' 'Rv1632c' 'rplJ' 'vapC15' 'Rv2917' 'pks16' 'vapC27'
 'Rv1057' 'fadE15']","['kstR2' 'thiX' 'prpD' 'Rv3603c' 'Rv3788' 'Rv2664' 'Rv1251c' 'bioA' 'iniB'
 'Rv0997' 'Rv0996' 'plcC' 'fas' 'Rv0885' 'trxA' 'subI' 'Rv1671' 'lprE'
 'PPE35' 'Rv0597c' 'lpqS' 'Rv1524' 'kdpA' 'pepR' 'lpqG' 'dnaQ' 'dacB1'
 'fadE20' 'ahpD' 'serB2' 'Rv3267' 'Rv2560' 'Rv0519c' 'efpA' 'sigB' 'icl1'
 'rbsK' 'Rv3811' 'lprI' 'Rv2248']","['Rv2253' 'Rv3833' 'ahpC' 'Rv1816' 'ftsK' 'Rv2864c' 'Rv2927c' 'Rv1434'
 'Rv3258c' 'Rv3311']",[],['Rv1691' 'Rv1774' 'Rv1697' 'Rv1815'],['mctB' 'Rv2075c' 'Rv3353c' 'Rv0063'],['Rv1075c' 'Rv3209' 'Rv1433'],['Rv2525c' 'Rv0208c' 'xerC' 'Rv3413c' 'Rv3354' 'sapM' 'Rv3675'],"['Rv3717' 'Rv1478' 'Rv1987' 'lprO' 'Rv2721c' 'sigD' 'ripA' 'lprJ'
 'Rv2293c' 'Rv1435c']",['fbpC' 'ctpD' 'Rv1772' 'Rv1157c' 'Rv1566c' 'Rv1754c'],['lipU' 'pirG' 'Rv0312'],['Rv1158c'],['mtc28' 'Rv0888'],[]
