,Value,list
TF,sigH,
reg_genes,438,"['Rv0859' 'Rv0430' 'Rv2166c' 'recX' 'Rv1519' 'Rv2251' 'Rv3162c' 'PPE51'
 'hrp1' 'Rv0140' 'Rv0376c' 'vapC15' 'hspX' 'Rv2664' 'mbtI' 'Rv1816' 'ethR'
 'pstB' 'cysM' 'ruvB' 'Rv1733c' 'pbpB' 'iunH' 'Rv0358' 'iniR' 'Rv1045'
 'irtB' 'rpfE' 'umaA' 'kasB' 'Rv3268' 'Rv1278' 'apa' 'PPE15' 'Rv1974'
 'ftsK' 'Rv2729c' 'Rv2943' 'Rv2077A' 'Rv1578c' 'Rv2037c' 'mazF8' 'bpoC'
 'Rv3222c' 'nrp' 'Rv3788' 'iniB' 'hemK' 'Rv2254c' 'Rv0106' 'dnaE1'
 'TB31.7' 'Rv0315' 'pks6' 'fadD9' 'icl1' 'Rv2003c' 'mez' 'helZ' 'PPE29'
 'Rv3030' 'Rv0516c' 'Rv3165c' 'pbpA' 'Rv2739c' 'groES' 'Rv0197' 'cyp136'
 'rpiB' 'PPE67' 'Rv2510c' 'pncA' 'oxcA' 'cydB' 'Rv2955c' 'Rv1258c'
 'Rv3202c' 'kstR2' 'Rv3005c' 'Rv1218c' 'Rv2646' 'accD5' 'Rv3172c' 'Rv1286'
 'Rv0311' 'Rv2078' 'Rv0885' 'Rv2147c' 'Rv0964c' 'fas' 'Rv3712' 'tatD'
 'ogt' 'Rv1043c' 'fprB' 'Rv2645' 'Rv1277' 'rbsK' 'cydA' 'cysA1' 'irtA'
 'Rv0059' 'htpG' 'usfY' 'leuD' 'kdpE' 'Rv1774' 'kdpA' 'Rv0794c' 'Rv3289c'
 'recA' 'Rv3833' 'Rv1273c' 'Rv0883c' 'radA' 'Rv3087' 'Rv0991c' 'pks9'
 'Rv1986' 'PPE69' 'Rv0891c' 'esxQ' 'Rv2033c' 'PE_PGRS32' 'Rv2719c'
 'Rv0849' 'trxC' 'Rv1251c' 'modC' 'vapB21' 'Rv0302' 'ephA' 'fdhD' 'Rv2331'
 'Rv1434' 'Rv0481c' 'Rv2016' 'lppX' 'cydC' 'Rv3182' 'adhD' 'Rv0330c'
 'fadD13' 'Rv3587c' 'Rv0880' 'Rv2113' 'pks16' 'Rv3437' 'plcC' 'Rv2252'
 'lpqI' 'Rv2387' 'Rv0759c' 'msrB' 'Rv0817c' 'rshA' 'grcC2' 'Rv3311'
 'Rv2927c' 'rmlC' 'bfrB' 'gatC' 'Rv3127' 'ethA' 'Rv2735c' 'cysO' 'Rv0316'
 'mntH' 'Rv0078' 'Rv1217c' 'cydD' 'Rv1697' 'cadI' 'Rv2917' 'Rv3054c'
 'pks8' 'tgs1' 'Rv3263' 'Rv0081' 'Rv1473' 'ftsZ' 'Rv0141c' 'Rv3033' 'infA'
 'Rv2680' 'Rv0303' 'Rv3123' 'Rv3205c' 'Rv1738' 'Rv1301' 'Rv1112' 'PPE35'
 'Rv0997' 'cysT' 'Rv0095c' 'Rv3066' 'Rv2681' 'Rv1057' 'dnaK' 'rubA'
 'Rv2119' 'Rv3714c' 'Rv2944' 'yfiH' 'ahpD' 'Rv1708' 'whiB6' 'Rv1874'
 'Rv0080' 'serB2' 'trmD' 'Rv3137' 'acg' 'murI' 'bioA' 'pntAa' 'Rv1671'
 'Rv2864c' 'PPE3' 'otsB1' 'Rv3047c' 'vapC43' 'lprE' 'hycE' 'Rv1320c'
 'Rv3218' 'trxA' 'cysW' 'fadE15' 'Rv2958c' 'Rv3027c' 'vapB43' 'hycQ'
 'lipR' 'Rv3131' 'birA' 'Rv0571c' 'Rv2049c' 'Rv2114' 'rplJ' 'Rv0100'
 'Rv0607' 'udgB' 'Rv0307c' 'Rv0205' 'Rv2253' 'Rv3789' 'Rv1584c' 'Rv1996'
 'accD3' 'Rv3049c' 'fdxB' 'Rv2959c' 'Rv3773c' 'Rv2989' 'Rv3083' 'Rv0367c'
 'hycP' 'Rv1954c' 'thrB' 'lpqS' 'lpqJ' 'Rv1804c' 'cysA3' 'esxR' 'pepR'
 'bioF2' 'Rv1976c' 'lipQ' 'Rv2005c' 'Rv2663' 'Rv3439c' 'Rv0519c' 'Rv3463'
 'Rv1044' 'leuC' 'pth' 'Rv0488' 'Rv1670' 'ltp4' 'lat' 'Rv2004c' 'hsp'
 'Rv1220c' 'Rv0142' 'Rv0082' 'lipX' 'sigE' 'Rv1279' 'pntAb' 'Rv3258c'
 'Rv2963' 'Rv1813c' 'asnB' 'Rv1176c' 'Rv2248' 'fgd2' 'Rv3796' 'lprI'
 'murB' 'fadE5' 'groEL1' 'Rv3603c' 'fabD' 'Rv0196' 'prpC' 'Rv3586'
 'Rv3822' 'Rv0428c' 'Rv2990c' 'Rv1592c' 'Rv0784' 'PE36' 'Rv1691' 'Rv2042c'
 'sigB' 'lppT' 'Rv3098c' 'Rv2466c' 'PPE55' 'Rv0026' 'nrdF2' 'Rv2132'
 'Rv0996' 'dnaQ' 'Rv0845' 'cyp124' 'vapC27' 'gcvB' 'Rv2455c' 'dprE1'
 'Rv1632c' 'Rv3031' 'def' 'Rv3076' 'Rv3267' 'Rv2041c' 'efpA' 'Rv0597c'
 'mobA' 'Rv2943A' 'PPE57' 'Rv0654' 'cysK2' 'alaS' 'Rv3201c' 'Rv0083'
 'tgs4' 'dacB1' 'dacB2' 'prpD' 'ruvA' 'cobQ2' 'clpB' 'esxJ' 'Rv1524'
 'Rv2962c' 'prpR' 'gatA' 'plcB' 'fadE20' 'ruvC' 'Rv3395c' 'Rv2164c' 'lpqA'
 'dinP' 'fadD7' 'Rv3591c' 'Rv3466' 'mec' 'Rv2787' 'Rv2585c' 'pks1' 'plcA'
 'Rv0480c' 'Rv2165c' 'thiX' 'Rv2560' 'Rv3811' 'Rv1674c' 'Rv0057' 'Rv1815'
 'alkB' 'Rv0452' 'ahpC' 'Rv0158' 'Rv2659c' 'Rv2331A' 'mshB' 'accA2'
 'Rv3032' 'Rv2454c' 'subI' 'echA12' 'pknB' 'rubB' 'Rv0881' 'lpqG' 'Rv0111'
 'Rv1724c' 'PPE50' 'Rv2012']"
comp_genes,45,"['metA' 'add' 'lipL' 'Rv2292c' 'Rv1773c' 'Rv0309' 'Rv3342' 'Rv3352c'
 'Rv0039c']"
both_genes,36,"['lprO' 'xerC' 'Rv1435c' 'Rv2525c' 'Rv1772' 'Rv1478' 'lprJ' 'Rv3717'
 'Rv3413c' 'sigD' 'Rv1075c' 'Rv1433' 'Rv1158c' 'Rv3354' 'fbpC' 'Rv3353c'
 'Rv2293c' 'Rv2721c' 'Rv3209' 'Rv0063' 'pirG' 'lipU' 'Rv1987' 'Rv1566c'
 'mtc28' 'sapM' 'Rv3675' 'Rv2075c' 'Rv1754c' 'ctpD' 'Rv0208c' 'mctB'
 'Rv0888' 'ripA' 'Rv1157c' 'Rv0312']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
