,-0.06151354156476639,-0.030756770782383196,0.0,0.03075677078238319,0.06151354156476639,0.0922703123471496,0.12302708312953277,0.15378385391191596,0.18454062469429916,0.21529739547668236,0.24605416625906557,0.27681093704144877,0.3075677078238319,0.3383244786062151,0.3690812493885983,0.3998380201709815,0.4305947909533647,0.4613515617357479,0.49210833251813113,0.5228651033005143
thresh,-0.07689192695595799,0.07689192695595799,2,,,,,,,,,,,,,,,,,
unreg,0,199,3540,148,6,1,1,3,1,0,1,0,0,1,1,0,0,0,0,0
Rv2488c,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],['mmpS4'],['Rv0452'],['Rv0678' 'mmpL5' 'mmpS5'],['Rv1219c'],[],['PPE53'],[],[],['Rv3160c'],['Rv3161c'],[],[],[],[],[]
Rv2488c_genes,[],[],['Rv2488c'],[],[],[],['Rv1216c'],[],['Rv1217c' 'Rv1218c'],[],[],[],[],[],[],[],[],[],[],[]
