,A,Rv2488c
R2,,0.016055635286681746
xmin,,-2.017474758
xmid,,
xmax,,8.566853612100001
ystart,,0.6497206621498092
yend,,-3.4970709131078395
SRX3995807,-0.7756724146,-0.1102921042
SRX3995806,-0.8126520841,0.20210091
SRX3995809,-0.0134392968,-0.2166779869
SRX3995808,-0.6309462535,0.31235886900000004
SRX4619048,-0.6161133808,0.044773587100000005
SRX4619047,-0.8603263407,0.2990675217
SRX4619049,-0.37621764,0.07285331190000001
SRX4619050,-0.42879695630000003,-0.23947792780000002
SRX3995804,0.3506912562,-0.11788749999999999
SRX3995805,-0.3506912562,0.11788749999999999
SRX5089845,-1.7869744715,0.2180684095
SRX5089844,-3.1287670925,-0.0591834507
SRX5089860,-0.2667756429,-0.131535321
SRX5089859,1.3198256136,0.0510102359
SRX5089858,-1.0530499707,0.0805250851
SRX5089854,0.5980450475,7.7256459712000005
SRX5089853,-0.8324078060000001,7.5903185713
SRX5089852,-1.3156601163000001,7.4641692555
SRX5089856,-6.0529381315,0.28948189150000003
SRX5089855,-6.1863922818,0.2541087859
SRX5089857,-5.2136194477,0.2078035298
SRX5089868,-1.6448604778,7.0590412474
SRX5089866,-1.3152468567,7.2525221545
SRX5089867,-1.1568265692,6.9316880587
SRX5089870,-5.3093899544,0.4504498709
SRX5089869,-5.5681004097999995,0.4164581452
SRX5089871,-4.8389498404,0.39564299880000003
SRX5089846,2.9132186409000003,8.5251656647
SRX5089848,3.8841125207,8.5517503503
SRX5089847,3.7047713573000003,8.566853612100001
SRX5089849,-5.1917140743,0.2065487658
SRX5089850,-5.4951088318,0.3061851969
SRX5089851,-5.2454437272,0.12086072660000001
SRX5089863,0.49588879350000004,7.918099067
SRX5089861,1.4570768186,7.7706703234
SRX5089862,0.9210671794,7.6565374792
SRX5089865,-5.3206464352000005,0.21456900750000002
SRX5089864,-5.5660600434,0.14520978780000002
SRX5388955,0.33228585110000003,-0.1680256887
SRX5388957,-0.0397293806,-0.029076282000000002
SRX5388954,0.032788492,0.1214580195
SRX5388956,-0.3253449625,0.0756439513
SRX5388960,10.8063867029,-0.3235745143
SRX5388961,10.1554094124,0.059828512300000004
SRX5388959,10.4184461335,-0.1315419972
SRX5388958,11.0943522823,-0.32809079020000004
SRX5388964,7.3759321853,-0.0185751855
SRX5388965,6.9443606802,0.3082055208
SRX5388962,6.818934218,0.2327102909
SRX5388963,7.341166453,0.09703990750000001
SRX6889335,1.3815161913,-0.28411301040000003
SRX6889333,-1.3815161913,0.28411301040000003
SRX6810002,0.15415119230000002,0.1952234461
SRX6810004,-0.4868422546,-0.3332058872
SRX6810003,0.3326910624,0.1379824412
SRX6810006,4.6174926138,0.6064821428
SRX6810005,4.7774965846,0.321706421
SRX6810007,4.7620832694,0.6215535442
ERX1818322,-0.4798561329,-0.0327212382
ERX1818321,0.4798561329,0.0327212382
SRX2617830,11.681494666,0.2178115824
SRX2617831,11.6241472952,0.25266061300000003
SRX2617833,13.8979857129,2.2412356276
SRX2617832,13.6232378233,2.3836453994
SRX2617828,-0.3446701023,0.0232517652
SRX2617827,-0.2787561537,0.024509404300000003
SRX2617829,0.623426256,-0.0477611695
SRX3456119,0.4399010957,0.1471886466
SRX3456118,0.5149151506,-0.0724749974
SRX3456117,0.5136706027,0.4637426452
SRX3456101,0.2323495817,0.22623837330000002
SRX3456099,0.31010972740000003,0.012733750700000001
SRX3456100,-0.5424593091000001,-0.238972124
SRX3456107,-5.1718679467,0.7979964108000001
SRX3456105,-4.897088313,0.9680343417
SRX4374122,3.5481467747,0.1825281619
SRX4374121,4.1304082621,0.2788336181
SRX4374123,2.0104146372,0.010864054000000001
SRX4374124,0.0908935574,0.0373038094
SRX4374125,0.1832780112,0.0101261189
SRX4374126,-0.27417156870000003,-0.0474299283
SRX4374127,1.1773520944,-0.056652036700000005
SRX4374128,0.17035225780000002,0.2678028183
SRX4374129,-0.4665294012,-0.4686833722
SRX4374130,-0.5085079618,-0.2952586172
SRX4374132,-2.1479430441,-0.7462330110000001
SRX4374131,-1.631812555,-0.4426362411
SRX4374133,1.5381312506,-0.47386904900000004
SRX4374135,1.3339106191,-0.8995303145
SRX4374134,2.109246271,-0.5558197061
SRX4374138,-2.2640512680000002,-0.8365923651
SRX4374136,-0.5759378615,-0.3769389542
SRX4374137,-1.5144639047,-0.5413301878
SRX1091379,7.611671655,1.556871958
SRX1091380,7.5363725041,1.4701327229
SRX1091377,-0.0835086911,0.0446041828
SRX1091378,0.0835086911,-0.0446041828
SRX4647145,-0.086577866,0.10348032330000001
SRX4647146,-0.17522146,0.054510384200000005
SRX4647147,-0.2250209205,0.027297337300000002
SRX4647144,0.0669595032,-0.0457384073
SRX4647143,-0.0073776655,-0.051925271700000004
SRX4647142,-0.0595818377,0.097663679
SRX4647155,0.08565366690000001,-0.63481895
SRX4647152,0.1026525076,-0.3439520269
SRX4647153,-0.0091706908,-0.49979607210000004
SRX4647154,0.26594982640000003,-0.9406248991
SRX4647148,-0.5805177605,-0.444302715
SRX4647149,-0.8124308247,-0.3334548091
