,0
gene_id,Rv3395A
name,Rv3395A
operon,Op2128
gene_product,membrane protein
COG,No COG annotation
regulator,"Rv0081,Rv0880,csoR,trcR"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv3395A"">External Database</a>"
