,-0.09066872067847045,-0.07253497654277637,-0.05440123240708228,-0.03626748827138819,-0.018133744135694102,-1.3877787807814457e-17,0.018133744135694074,0.036267488271388176,0.05440123240708225,0.07253497654277632,0.09066872067847043,0.10880246481416453,0.1269362089498586,0.14506995308555268,0.1632036972212468,0.18133744135694088,0.19947118549263496,0.21760492962832903,0.2357386737640231,0.25387241789971726
thresh,-0.09973559274631749,0.09973559274631749,1,,,,,,,,,,,,,,,,,
unreg,1,3,14,66,763,2329,630,68,15,3,4,3,3,2,0,0,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],['cysA2' 'cysA1' 'cysT'],['Rv0485' 'subI' 'Rv2386a'],['cysW' 'PPE27'],[],[],['Rv1065'],['Rv1066'],[],[]
