,0
gene_id,Rv0456B
name,mazE1
operon,Op303
gene_product,antitoxin MazE1
COG,No COG annotation
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0456B"">External Database</a>"
